date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,2.116631,2.24622,-0.345572,-0.835297,-0.835297,2.168467,3.87905,3.706263,3.534557,2.843197,2.37509,-1,44.90654976091869
2017-01-04,-0.149893,1.584582,-0.749465,0.863931,0.863931,0.475375,2.586724,2.690935,2.752677,1.979443,1.529622,1,45.294511313928794
2017-01-05,1.372848,2.266289,-0.610155,-1.734475,-1.734475,1.473088,3.671824,4.220237,4.507518,3.692308,3.30791,-1,44.508889169083346
2017-01-06,-0.779052,1.103657,-1.601385,0.69732,0.69732,0.320277,2.248431,3.251821,3.519801,2.954339,2.60189,1,44.819258411491425
2017-01-09,-2.272727,0.552251,-2.761257,1.882709,1.882709,-1.367884,0.016992,1.171056,1.503823,1.164826,0.758284,1,45.66307478928839
2017-01-10,-3.052805,0.061881,-3.114686,2.973662,2.973662,-3.316832,-2.871287,-1.633663,-1.54703,-1.560231,-2.037266,1,47.020940224823725
2017-01-11,1.336349,2.590461,-1.110197,0.330033,0.330033,-2.837171,-3.184622,-1.949013,-1.762952,-1.643914,-2.212856,0,47.17612484602776
2017-01-12,1.185031,1.871102,-2.619543,-1.110197,-1.110197,-0.827443,-2.008316,-1.003465,-0.633056,-0.400832,-1.031185,-1,46.65237674946413
2017-01-13,1.070304,1.636936,-0.23085,-0.935551,-0.935551,0.713536,-0.998951,-0.32319,0.27702,0.455824,-0.011892,-1,46.21592000232777
2017-01-17,1.73262,2.139037,-0.171123,-1.888772,-1.888772,2.51123,0.919786,1.319073,2.041711,2.278503,1.984314,-1,45.343006508055055
2017-01-18,-0.503778,0.335852,-2.078086,1.903743,1.903743,0.243493,-0.684299,-0.691296,0.13644,0.199832,0.186818,1,46.206220963502524
2017-01-19,0.804063,1.756242,-0.804063,-0.797649,-0.797649,0.46551,0.232755,-0.083228,0.801947,0.977571,1.101002,-1,45.83765748814293
2017-01-20,-0.958333,0.333333,-1.583333,1.565806,1.565806,-1.125,-0.872917,-1.577778,-0.879167,-0.565833,-0.348611,1,46.55538636121161
2017-01-23,2.045164,2.449936,-0.404772,-2.208333,-2.208333,0.805283,1.521091,0.600767,1.089689,1.59608,1.780287,-1,45.52728824573485
2017-01-24,-1.030711,0.546908,-1.556584,1.278228,1.278228,-0.134623,0.336559,-0.549713,-0.30711,0.249895,0.459964,1,46.109230575249995
2017-01-25,-0.020872,0.626174,-0.626174,0.778292,0.778292,-0.793154,-0.557295,-1.093717,-1.136506,-0.500939,-0.436235,1,46.468095011784335
2017-01-26,-2.339181,0.241984,-2.540835,3.506575,3.506575,-3.214358,-3.734624,-4.055925,-4.386973,-3.79028,-3.6748,1,48.097533534426745
2017-01-27,6.496273,6.496273,-0.489883,-5.323654,-5.323654,1.780618,1.43344,1.489528,0.912673,1.426198,1.678381,-1,45.536987284560105
2017-01-30,1.603563,2.271715,-2.316258,-4.366347,-4.366347,5.518931,5.452116,5.928731,5.258352,5.649889,6.096511,-1,43.548684325383356
2017-01-31,1.220339,1.333333,-1.152542,-1.447661,-1.447661,5.581921,6.436158,7.05838,6.528814,6.800452,7.349906,-1,42.91824680174195
2017-02-01,1.589103,2.15664,-0.317821,-0.451977,-0.451977,4.30874,6.104427,6.874007,6.757094,6.883087,7.566402,0,42.7242660252369
2017-02-02,-0.908884,1.158828,-0.999773,-0.090806,-0.090806,1.867757,5.462395,6.269787,6.548512,6.562145,7.318034,0,42.68546986993589
2017-02-03,0.248869,0.791855,-0.995475,0.43172,0.43172,0.18552,4.149321,5.224736,5.899321,5.790045,6.47813,0,42.86975160761569
2017-02-06,-1.103753,0.662252,-1.236203,2.488688,2.488688,-2.07064,1.258278,2.323767,3.227373,3.049007,3.585725,1,43.936645878393456
2017-02-07,1.284038,2.125304,-0.354217,-0.286976,-0.286976,-1.381448,1.025017,2.385064,3.31304,3.210981,3.624087,0,43.810558373665174
2017-02-08,0.443853,0.443853,-1.220595,-0.243524,-0.243524,-0.69241,0.639148,2.253292,3.185752,3.352863,3.624057,0,43.7038689465874
2017-02-09,-2.656587,0.647948,-2.937365,2.751886,2.980615,-2.535289,-2.960491,-0.829386,-0.041833,0.335878,0.466285,1,45.00651282150981
2017-02-10,0.365985,0.538213,-0.602799,0.323974,0.323974,-1.838977,-3.359051,-1.356796,-0.530736,0.068867,0.0619,0,45.15232225829656
2017-02-13,-1.792871,0.780426,-1.919426,2.066738,2.066738,-2.894076,-4.765464,-3.273461,-2.559028,-1.847513,-1.945614,1,46.085502653731744
2017-02-14,1.481641,1.524587,-0.257677,-1.771778,-1.771778,-0.49821,-2.528405,-1.652513,-0.809627,-0.111925,-0.178138,-1,45.26896980772596
2017-02-15,0.105175,1.072781,-1.28313,2.082886,2.082886,-1.442995,-3.762504,-3.696146,-2.832883,-2.220059,-2.120736,1,46.21187083228026
2017-02-16,1.12838,1.447733,-0.659996,-1.19899,-1.19899,0.038322,-1.943622,-2.883695,-1.673418,-1.166478,-0.906409,-1,45.65779497249062
2017-02-17,-0.170539,0.405031,-1.023236,-0.127741,-0.127741,0.362396,-1.219574,-2.750344,-1.65247,-1.132427,-0.699942,0,45.59947119777592
