date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,-1.075544,0.076825,-1.818182,1.666233,1.666233,-1.362356,-1.646607,-1.227486,-1.181818,-1.376697,-1.096884,1,36.71044343959463
2017-01-04,-0.762195,0.940041,-0.762195,0.793854,0.793854,-1.753049,-2.162093,-1.97832,-1.841972,-2.090447,-1.916497,1,37.001870775478736
2017-01-05,-1.15869,0.125945,-1.813602,0.863821,0.863821,-1.848866,-2.619647,-2.774139,-2.521411,-2.831234,-2.761545,1,37.32150075677099
2017-01-06,-2.648357,0.514958,-2.746444,2.720403,2.720403,-3.236881,-4.575772,-5.028609,-4.820991,-5.138794,-5.117705,1,38.336795991464
2017-01-09,0.12273,0.785469,-0.294551,-0.098087,-0.098087,-1.998036,-3.880707,-4.639175,-4.474718,-4.737359,-4.880543,0,38.299192464253146
2017-01-10,-1.162509,0.799225,-1.235166,1.350025,1.350025,-2.218455,-4.465972,-5.394365,-5.494066,-5.677888,-5.97562,1,38.816240963402365
2017-01-11,-0.073028,0.827653,-1.436222,-0.508598,0.133398,-1.38847,-3.929299,-5.035846,-5.360555,-5.52152,-5.890851,0,38.86802092893434
2017-01-12,0.171906,0.171906,-1.006876,-0.876339,-0.876339,0.10934,-2.405825,-3.741983,-4.335641,-4.436118,-4.875617,-1,38.52740536091058
2017-01-13,-0.439775,1.050574,-0.586367,0.515717,0.515717,-0.203238,-2.206425,-3.757775,-4.538305,-4.662885,-5.110877,0,38.72609777559111
2017-01-17,-0.562347,0.342298,-0.904645,-0.073296,-0.073296,0.075928,-1.465681,-3.221739,-4.19694,-4.351587,-4.75268,0,38.69771314492246
2017-01-18,0.711482,0.834151,-0.613346,-0.342298,-0.342298,0.2895,-0.646288,-2.466314,-3.511616,-3.845304,-4.171769,0,38.56525153513544
2017-01-19,0.594059,0.816832,-0.39604,-0.883219,-0.883219,0.846535,0.558931,-1.259334,-2.366446,-2.844784,-3.134984,-1,38.22463596711167
2017-01-20,0.123579,0.766189,-0.271873,0.148515,0.148515,0.568463,0.660558,-0.996296,-2.200449,-2.863021,-3.090269,0,38.28140522844897
2017-01-23,-0.049579,0.520575,-0.34705,-0.296589,-0.296589,0.575112,0.915734,-0.325714,-1.618847,-2.398668,-2.62791,0,38.16786670577438
2017-01-24,0.024808,0.471347,-0.471347,-0.074368,-0.074368,0.357231,0.948964,0.103426,-1.26462,-2.164324,-2.400147,0,38.13948207510573
2017-01-25,-1.364426,0.396924,-2.62962,0.0,0.0,0.133962,0.771521,0.353218,-0.999633,-1.920784,-2.287575,0,38.13948207510573
2017-01-26,-1.220703,0.390625,-1.245117,1.612503,1.612503,-1.181641,-0.856934,-0.937812,-2.252388,-3.197352,-3.674505,1,38.754482406259754
2017-01-27,0.268293,0.756098,-0.243902,0.097656,0.097656,-1.014634,-0.885366,-0.781688,-1.978844,-2.993759,-3.621094,0,38.79232858048462
2017-01-30,-0.365764,0.316996,-0.585223,0.02439,0.02439,-0.712021,-0.890027,-0.72599,-1.643611,-2.723322,-3.44636,0,38.801790124040835
2017-01-31,-2.489825,0.047881,-2.801053,1.853207,1.853207,-1.819488,-2.485037,-2.326187,-3.001512,-4.136497,-4.956585,1,39.52086743431324
2017-02-01,-1.93716,0.094496,-2.102528,1.340675,1.340675,-2.16395,-3.404205,-3.412867,-3.867738,-5.011958,-5.861619,1,40.05071387346131
2017-02-02,-0.982456,0.093567,-2.105263,0.992204,0.992204,-2.287719,-3.803509,-4.101365,-4.386189,-5.533713,-6.423461,1,40.44809870282238
2017-02-03,0.374007,0.818139,-0.56101,0.070175,0.070175,-1.524077,-3.328658,-3.847592,-4.063509,-5.15068,-6.11236,0,40.476483333491025
2017-02-06,0.329955,0.754183,-0.471365,-0.818139,-0.818139,-0.042423,-2.038652,-2.81876,-3.046892,-3.956719,-4.989462,-1,40.145329309023474
2017-02-07,-0.746095,0.209839,-0.909303,1.084139,1.084139,-0.592213,-2.487759,-3.551721,-3.805634,-4.546014,-5.631877,1,40.5805603126094
2017-02-08,0.613208,0.778302,-0.283019,-1.142457,-1.142457,0.589623,-0.867925,-2.179245,-2.53184,-3.103233,-4.209044,-1,40.11694467835483
2017-02-09,-0.329102,0.564175,-0.51716,0.330189,0.330189,0.15985,-0.822755,-2.165805,-2.681006,-3.099381,-4.196173,0,40.24940628814185
2017-02-10,0.0,0.140384,-0.608329,0.470146,0.470146,-0.327562,-0.879738,-2.267977,-2.900094,-3.244491,-4.272853,0,40.438637159266165
2017-02-13,-0.509024,0.0,-0.832948,1.12307,1.12307,-1.06895,-1.469227,-2.909147,-3.713559,-4.069035,-4.938369,1,40.89279124996452
2017-02-14,-1.466208,0.183276,-1.580756,0.99491,0.99491,-1.695304,-2.009164,-3.355479,-4.347079,-4.723457,-5.455871,1,41.2996376228818
2017-02-15,-1.136364,0.181818,-1.318182,0.801833,0.801833,-1.75,-2.409091,-3.565152,-4.739773,-5.210909,-5.81396,1,41.63079164734935
