date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,-0.943614,0.245155,-1.822471,2.942717,2.942717,-3.977057,-7.077108,-8.388917,-9.260835,-9.702206,-9.99522,1,205.75414953555654
2017-01-04,0.565968,1.568009,-0.932455,-0.29141,-0.29141,-2.2982,-5.738078,-7.354178,-8.430135,-8.963815,-9.364446,0,205.15456068219885
2017-01-05,-1.960784,0.461894,-3.427976,2.444795,2.444795,-3.11099,-6.651723,-8.734622,-9.938641,-10.62573,-11.079262,1,210.17016902695295
2017-01-06,0.419938,1.39675,-0.69381,-0.792465,-0.792465,-1.253423,-4.760818,-7.193719,-8.549388,-9.459376,-9.908861,-1,208.50464443429266
2017-01-09,-0.004543,0.626988,-0.540663,0.465583,0.465583,-0.794184,-4.015902,-6.791458,-8.254657,-9.338664,-9.91731,0,209.47540733972892
2017-01-10,-0.40226,0.922034,-1.79887,0.52249,0.52249,-0.852429,-3.512768,-6.418983,-8.076158,-9.239322,-9.948173,0,210.56989492919138
2017-01-11,1.970033,2.86256,-1.937662,-2.264407,-2.264407,1.507584,-0.548927,-3.520471,-5.357242,-6.672956,-7.457146,-1,205.8017359524897
2017-01-12,-1.109878,0.430078,-3.648724,0.0,0.0,1.083056,0.014336,-2.752497,-4.827275,-6.204957,-7.093353,0,205.8017359524897
2017-01-13,-0.175812,0.8513,-0.198945,-0.046245,-0.046245,0.857777,0.473767,-2.024305,-4.234061,-5.672805,-6.71355,0,205.7065631186234
2017-01-17,-0.176925,0.512152,-1.559736,-0.629222,-0.629222,1.001024,1.332061,-0.758606,-3.111789,-4.585529,-5.744017,-1,204.4122125780417
2017-01-18,-0.027706,1.186738,-0.858884,0.828755,0.828755,-0.262283,0.516254,-1.036202,-3.359808,-4.920761,-6.105159,1,206.10628902086188
2017-01-19,1.127785,1.342157,-0.200391,-0.914296,-0.914296,0.503309,1.39808,0.314723,-1.954749,-3.599403,-4.87526,-1,204.2218669103091
2017-01-20,0.19595,0.807129,-0.564524,-0.111846,-0.111846,0.438556,1.208827,0.746789,-1.308202,-3.099188,-4.40484,0,203.99345210903
2017-01-23,-1.112559,1.51755,-1.727027,0.223943,0.223943,0.091239,0.784378,0.757844,-1.043897,-2.89824,-4.229122,0,204.45028171158822
2017-01-24,0.882174,1.107409,-1.130871,-0.796015,-0.796015,0.737647,1.265074,1.663304,0.198724,-1.734503,-3.075251,-1,202.8228262524745
2017-01-25,0.06087,0.842815,-1.156529,0.215851,0.215851,0.240671,0.687362,1.362551,0.322143,-1.557335,-2.951257,0,203.26062128825944
2017-01-26,1.665085,1.963947,-0.094877,-1.296999,-1.296999,1.199241,1.752372,2.54396,1.884962,0.082543,-1.359108,-1,200.62433379016292
2017-01-27,-0.778612,0.65197,-1.121013,1.13852,1.13852,-0.046904,0.464353,1.151032,0.952392,-0.633771,-2.158693,1,202.90848180295413
2017-01-30,0.523906,0.627743,-0.528626,-0.623827,-0.623827,0.302072,0.893472,1.559132,1.696087,0.327559,-1.238181,-1,201.64268311253235
2017-01-31,-4.102517,0.301521,-4.376628,3.313353,3.313353,-2.386587,-2.154507,-1.734814,-1.362557,-2.435013,-4.005513,1,208.32381604994666
2017-02-01,-4.54823,0.558172,-5.128205,4.76495,4.76495,-5.452643,-6.048317,-5.969533,-5.562533,-6.34502,-7.840863,1,218.25034262220188
2017-02-02,-0.348554,2.470373,-1.315789,0.087214,0.087214,-3.903799,-5.479261,-5.665737,-5.340711,-5.920704,-7.384251,0,218.4406882899345
2017-02-03,-0.324858,0.589076,-1.32109,0.588184,0.588184,-2.934985,-5.315979,-5.794892,-5.676788,-6.006324,-7.354933,1,219.72552154712957
2017-02-06,-2.418632,0.063985,-3.16939,1.541993,1.541993,-2.484324,-5.917331,-6.705342,-6.781769,-6.969245,-8.186808,1,223.1136744327699
2017-02-07,1.027471,2.489145,-0.743734,-0.776351,-0.776351,-0.541679,-4.342892,-5.464368,-5.7835,-5.852715,-6.915008,-1,221.3815288564032
2017-02-08,-2.106398,1.090517,-3.99718,3.679979,3.679979,-3.089107,-6.593689,-8.139487,-8.7146,-8.780031,-9.637185,1,229.52832343535857
2017-02-09,-1.835721,1.611853,-1.835721,1.87005,1.87005,-3.552589,-6.888636,-8.981873,-9.791192,-9.964181,-10.682867,1,233.82061824272878
2017-02-10,-0.349083,0.336905,-1.160903,0.276783,0.276783,-2.561292,-5.799643,-8.366618,-9.428885,-9.798182,-10.357066,0,234.46779351301964
2017-02-13,-0.348517,1.150916,-0.348517,0.162364,0.162364,-1.71989,-4.538418,-7.65224,-8.95526,-9.495704,-9.96812,0,234.84848484848482
2017-02-14,-0.768395,0.281611,-1.577021,0.733506,0.733506,-1.151386,-4.039506,-7.373644,-8.938528,-9.696584,-10.10661,1,236.57111314146488
2017-02-15,-0.08824,0.649767,-1.131077,0.301726,0.301726,-0.794962,-3.525991,-6.696347,-8.555471,-9.517889,-9.934087,0,237.28490939546214
2017-02-16,0.971935,1.040781,-0.692504,-0.958607,-0.958607,0.266472,-1.887175,-4.81783,-7.015348,-8.14498,-8.638886,-1,235.01027866605756
2017-02-17,-0.493228,0.380028,-0.6792,0.170089,0.170089,0.176268,-1.387508,-4.059026,-6.505963,-7.797857,-8.436628,0,235.410004568296
2017-02-21,0.076873,1.084318,-0.307493,-0.076814,-0.076814,0.285645,-0.79665,-3.033393,-5.779859,-7.224955,-7.987538,0,235.22917618395002
2017-02-22,0.381617,1.088016,-0.121793,-0.339861,-0.339861,0.44495,0.098246,-1.960323,-4.784427,-6.396395,-7.318935,0,234.4297243794731
2017-02-23,-0.619358,0.627454,-0.87034,0.288243,0.288243,-0.029146,0.047767,-1.764158,-4.380844,-6.172044,-7.237448,0,235.10545149992384
2017-02-24,0.301585,0.615397,-0.578718,-0.671983,-0.389473,0.291664,0.454713,-0.931732,-3.290349,-5.293324,-6.47069,0,234.1897799072289
2017-02-27,-0.913706,0.337056,-1.124873,0.358642,0.358642,-0.099102,0.119635,-0.851657,-2.952607,-5.103558,-6.390398,0,235.02968293660643
2017-02-28,0.379871,0.763826,-0.44114,-0.580711,-0.580711,0.350526,0.653781,0.028505,-1.700535,-4.049155,-5.444785,-1,233.66484051386797
2017-03-01,0.264992,0.591137,-1.16189,0.191978,0.191978,0.131223,0.35594,0.199397,-1.338094,-3.698384,-5.203073,0,234.1134250863764
2017-03-02,0.400065,1.445134,-0.179621,-0.134535,-0.134535,0.154311,0.342013,0.456143,-0.872669,-3.046186,-4.680551,0,233.79846145035987
2017-03-03,-0.635102,0.13842,-1.066645,0.273514,0.273514,-0.097708,0.043899,0.199685,-0.801874,-2.733714,-4.510927,0,234.43793307499953
2017-03-06,0.990262,1.060406,-0.363096,-1.331271,-1.331271,0.929196,1.216777,1.460802,0.787092,-0.930119,-2.82882,-1,231.31692977265357
2017-03-07,0.162771,0.517529,-1.293823,-1.138802,-1.138802,1.656093,2.096443,2.449801,2.069841,0.684057,-1.356268,-1,228.68268845324224
2017-03-08,1.085867,1.541096,-0.183762,-0.066778,-0.066778,1.235383,1.906506,2.283685,2.294448,1.105008,-0.915388,0,228.52997881153723
2017-03-09,0.054126,0.624532,-0.607877,0.309054,0.309054,0.525439,1.336498,1.734476,1.972906,0.985198,-0.842957,0,229.2362609044229
2017-03-10,-0.257101,0.534937,-0.953763,0.403864,0.403864,-0.250467,0.753888,1.18483,1.483253,0.782702,-0.814024,0,230.16206310725946
2017-03-13,0.29919,0.461251,-0.15375,-0.20734,-0.20734,-0.185331,0.730522,1.228888,1.589986,1.165542,-0.219349,0,229.68484547693132
2017-03-14,0.016705,0.651493,-0.442681,-0.498649,-0.498649,0.30236,1.011067,1.541053,1.961075,1.767497,0.673001,0,228.5395231641438
2017-03-15,-0.511073,0.240994,-1.379482,0.509501,0.509501,-0.103877,0.307059,0.889167,1.294736,1.396543,0.472927,0,229.70393418214442
2017-03-16,0.751817,0.751817,-0.342494,-0.519383,-0.519383,0.354189,0.599365,1.223512,1.631609,1.90812,1.147164,-1,228.5108901063241
2017-03-17,0.640324,1.272222,-0.06319,-0.852059,-0.852059,0.898981,1.116354,1.869015,2.318609,2.655781,2.135916,-1,226.56384217458532
2017-03-20,0.434691,0.443131,-0.240557,-0.181144,-0.181144,0.769783,1.071534,1.792221,2.299637,2.695016,2.416008,0,226.1534350125031
2017-03-21,1.065871,1.671285,-0.102324,-1.012872,-1.012872,1.383074,1.890428,2.541889,3.092534,3.549535,3.47512,-1,223.86279038692808
2017-03-22,0.094021,1.034232,-0.273516,-0.238755,-0.238755,1.054746,1.901363,2.465348,3.090717,3.560167,3.75182,0,223.32830664096056
2017-03-23,-0.493009,0.811764,-0.973267,0.555579,0.555579,0.145353,1.13052,1.625228,2.28654,2.761493,3.10497,1,224.5690724798137
2017-03-24,-0.834281,0.429781,-1.040745,0.867015,0.867015,-0.719673,0.100282,0.518547,1.237939,1.728198,2.111228,1,226.51612041155252
2017-03-27,-1.687693,0.455343,-1.767065,0.863776,0.863776,-1.366864,-0.810009,-0.425265,0.227463,0.735564,1.149303,1,228.47271269589785
2017-03-28,-0.478111,0.282709,-0.478111,0.480408,0.480408,-1.341205,-1.239346,-0.875566,-0.340914,0.155337,0.589058,0,229.57031324565259
2017-03-29,-0.302478,0.712687,-0.368774,0.336756,0.336756,-1.06323,-1.543051,-1.155769,-0.75723,-0.251771,0.161333,0,230.34340580678415
2017-03-30,0.700584,0.842369,-0.271059,-0.638104,-0.638104,-0.05171,-0.894912,-0.531554,-0.227481,0.2799,0.682068,-1,228.8735755053735
2017-03-31,0.0,0.899883,-0.20509,-0.366972,-0.366972,0.449523,-0.465428,-0.227412,-0.000419,0.541269,0.950922,0,228.03367247599596
2017-04-03,0.454392,1.50202,-0.496466,-0.519002,-0.519002,0.830528,0.084567,0.209806,0.422837,0.921575,1.351815,-1,226.8501727527822
