date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,-1.904067,0.179128,-2.395011,3.091444,3.091444,-1.71167,-2.090493,-1.883279,-2.673655,-2.991044,-3.113514,1,138.2362112291128
2017-01-04,-0.510237,0.556028,-0.719566,1.419757,1.419757,-2.497547,-3.125531,-2.94673,-3.788186,-4.14496,-4.303221,1,140.19882976576974
2017-01-05,-0.169957,0.274546,-0.96091,0.071957,0.071957,-1.873448,-2.818669,-2.815619,-3.600144,-4.031377,-4.210136,0,140.29971202699977
2017-01-06,1.977293,2.69167,-0.070162,2.483985,2.483985,-3.103712,-4.497385,-4.827146,-5.439469,-6.033167,-6.267168,1,143.78473559676445
2017-01-09,-1.152103,0.069252,-1.391337,1.313943,1.313943,-2.770083,-4.950264,-5.706791,-6.09135,-6.837572,-7.192982,1,145.67398521616317
2017-01-10,-0.170068,0.233056,-0.95742,-0.050365,-0.050365,-1.709499,-4.196271,-5.26497,-5.561854,-6.418997,-6.866339,0,145.60061629890498
2017-01-11,1.62176,1.62176,-1.353595,-1.347947,-1.347947,0.112374,-2.359852,-3.592559,-3.924786,-4.850977,-5.347976,-1,143.63799776224803
2017-01-12,0.051493,0.508496,-0.514933,-0.804495,-0.804495,1.23069,-1.072992,-2.46138,-2.920636,-3.815396,-4.379506,-1,142.48243731543135
2017-01-13,-0.538048,0.698181,-0.787855,0.489186,0.489186,0.653344,-1.020369,-2.511316,-3.155265,-3.901102,-4.58771,0,143.17944202938426
2017-01-17,0.219638,0.852713,-0.820413,-0.845503,-0.845503,0.989664,0.378553,-1.316537,-2.187016,-2.71447,-3.506891,-1,141.96885489462392
2017-01-18,-0.051358,0.109135,-0.808885,0.626615,0.626615,-0.023111,0.077037,-1.579251,-2.590679,-3.003916,-3.856113,1,142.85845301637963
