date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,-0.610484,0.530856,-0.809555,1.714363,1.714363,-1.074983,-0.838752,-1.029861,-1.332449,-1.952488,-2.36806,1,71.78651728211577
2017-01-04,-1.311303,0.380278,-1.573564,1.207697,1.639572,-2.251517,-2.172575,-2.364753,-2.62667,-3.301413,-3.699882,1,72.96350867793107
2017-01-05,0.902815,1.141795,-0.663834,-1.232625,-1.232625,-0.695441,-0.874817,-0.98749,-1.191232,-1.875075,-2.317309,-1,72.06414206165445
2017-01-06,-0.092752,0.596263,-0.543262,0.19915,0.19915,-0.398818,-1.009551,-1.03281,-1.288529,-1.872085,-2.332369,0,72.20765801106029
2017-01-09,0.369101,0.843659,-0.435012,0.516762,0.516762,-0.358599,-1.30796,-1.432771,-1.712415,-2.184728,-2.689933,0,72.58079947951549
2017-01-10,-0.169602,1.761252,-0.691455,1.041392,1.041392,-0.962818,-2.064401,-2.277436,-2.582065,-2.926969,-3.514586,1,73.33665014638628
2017-01-11,-0.312053,0.689117,-1.053179,0.339204,0.339204,-1.128592,-2.103112,-2.375769,-2.674581,-2.98541,-3.620311,0,73.5854111253564
2017-01-12,-0.065036,0.091051,-1.352758,-0.039007,-0.039007,-0.684183,-1.697325,-2.152196,-2.418487,-2.693794,-3.335833,0,73.55670793547523
2017-01-13,0.404594,1.318194,-0.27408,-0.338189,-0.338189,-0.046985,-0.970365,-1.679203,-1.900413,-2.22548,-2.795248,0,73.3079469565051
2017-01-17,1.044386,1.436031,-0.169713,-0.026103,-0.026103,0.172324,-0.574434,-1.450147,-1.74566,-2.095079,-2.579346,0,73.28881149658432
2017-01-18,-0.490386,0.154859,-1.264679,1.16188,1.16188,-0.761389,-1.39889,-2.337818,-2.692917,-3.062747,-3.44294,1,74.140339463059
