date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,-0.426833,0.108301,-1.121233,0.828623,0.828623,-0.37332,-0.156718,-0.456563,-0.802064,-1.361279,-2.030112,1,146.39992538705465
2017-01-04,-0.510654,0.384567,-0.510654,1.051156,1.051156,-1.265919,-1.041483,-1.430673,-1.630311,-2.164166,-2.791367,1,147.93881738481628
2017-01-05,-0.189024,0.623779,-0.825405,0.056739,0.056739,-0.993006,-0.951421,-1.400458,-1.482263,-2.041459,-2.60097,0,148.02275694833054
2017-01-06,-0.075424,0.35198,-0.760528,0.245731,0.245731,-0.80704,-1.092395,-1.448146,-1.567882,-2.066876,-2.639011,0,148.38649505689236
2017-01-09,0.42951,0.581102,-0.094745,-0.490258,-0.490258,0.015159,-0.550783,-0.771012,-0.990399,-1.434563,-1.978693,0,147.6590188397687
2017-01-10,-0.069152,0.546929,-0.314327,0.473724,0.473724,-0.192368,-0.940466,-1.047338,-1.376124,-1.727793,-2.251629,0,148.3585152023876
2017-01-11,0.087829,0.188206,-0.702635,0.207456,0.207456,-0.301129,-1.025094,-1.117524,-1.510038,-1.749561,-2.252614,0,148.66629360193994
2017-01-12,0.543307,0.549624,-1.023438,-0.696361,-0.696361,0.344937,-0.192684,-0.344094,-0.767894,-0.907701,-1.427127,-1,147.63103898526393
2017-01-13,-0.056664,0.472203,-0.308506,0.341146,0.341146,-0.030221,-0.33432,-0.626246,-0.968016,-1.126487,-1.588701,0,148.13467636634957
2017-01-17,0.336145,0.868903,-0.279064,-0.730341,-0.730341,0.62282,0.525147,0.11374,-0.115748,-0.341219,-0.75305,-1,147.0527886588323
2017-01-18,-0.486357,0.461091,-0.991662,0.412253,0.412253,0.114957,0.197701,-0.275813,-0.405192,-0.704144,-1.032719,0,147.6590188397687
2017-01-19,-0.081761,0.54717,-0.685535,0.42951,0.42951,-0.363522,-0.206918,-0.638574,-0.742453,-1.082516,-1.312579,0,148.29322887520985
2017-01-20,0.175516,0.482668,-0.814894,0.333333,0.333333,-0.539084,-0.487056,-0.825341,-0.973798,-1.339184,-1.488121,0,148.7875396381272
2017-01-23,0.696908,1.051698,-0.348454,-1.059362,-1.059362,0.400405,0.498606,0.327336,0.097884,-0.197415,-0.355212,-1,147.21134116769258
2017-01-24,-1.227032,0.236686,-1.687948,1.716929,1.716929,-0.935534,-1.05886,-1.163916,-1.495484,-1.713111,-1.930032,1,149.73885469128894
2017-01-25,-2.252629,0.770793,-2.461759,4.241669,4.241669,-3.886233,-4.589508,-4.77175,-5.218391,-5.405115,-5.704071,1,156.0902816638687
2017-01-26,-1.105724,0.520341,-1.105724,1.051625,1.051625,-3.689688,-5.007687,-5.348865,-5.860632,-6.083491,-6.449661,1,157.73176646148107
2017-01-27,0.900417,1.252236,-0.411449,-0.83964,-0.83964,-1.899821,-3.642218,-4.190022,-4.717651,-5.018485,-5.438084,-1,156.40738668158923
2017-01-30,0.211391,0.253669,-1.056955,-1.270125,-1.270125,0.295947,-1.995531,-2.696946,-3.193513,-3.601135,-3.998108,-1,154.42081701175152
2017-01-31,0.942357,1.028026,-0.122384,-1.298544,-1.298544,1.966712,-0.354302,-1.208746,-1.683087,-2.187003,-2.538245,-1,152.4155941055773
2017-02-01,0.170763,1.122156,-0.518388,0.336556,0.336556,1.211197,-0.343965,-1.340896,-1.799415,-2.364823,-2.672643,0,152.92855810483118
2017-02-02,0.591643,1.053864,-0.887465,-1.042874,-1.042874,1.432269,0.907186,-0.183656,-0.652348,-1.218045,-1.522043,-1,151.33370639806006
2017-02-03,0.3633,0.714286,-0.055419,0.086281,0.086281,0.692118,0.996921,-0.100985,-0.624384,-1.14803,-1.48358,0,151.4642790524156
2017-02-06,-0.951336,0.060983,-0.975729,0.972906,0.972906,-0.472009,0.398219,-0.854169,-1.433102,-1.89828,-2.300687,1,152.93788472299943
2017-02-07,-0.900901,0.552553,-0.978979,1.536773,1.536773,-1.608408,-0.763964,-2.001201,-2.679279,-3.123123,-3.598398,1,155.28819250139898
2017-02-08,0.726451,0.872963,-0.073256,-1.615616,-0.769724,-0.694068,-0.123817,-0.962674,-1.738298,-2.171957,-2.701149,-1,154.09290162361486
2017-02-09,0.2374,0.493061,-0.133918,0.286918,0.286918,-0.563863,-0.616422,-0.976745,-1.829538,-2.281103,-2.814303,0,154.5350215415875
