date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,0.310697,0.665779,-1.464714,1.945701,1.945701,-0.958722,-0.341767,0.085812,0.055482,-1.439896,-2.824068,1,21.294694757138405
2017-01-04,-1.002179,0.043573,-1.525054,1.864181,1.864181,-2.474946,-1.960784,-1.647059,-1.533769,-2.768643,-4.163234,1,21.691666430374006
2017-01-05,0.617284,1.102293,-1.455026,-1.176471,-1.176471,-1.005291,-0.806878,-0.455614,-0.246914,-1.176367,-2.665877,-1,21.436470354722548
2017-01-06,0.440917,0.749559,-0.529101,0.0,0.0,-0.405644,-0.784832,-0.452675,-0.222663,-0.901235,-2.305041,0,21.436470354722548
2017-01-09,-0.177384,0.709534,-0.665188,-0.573192,-0.573192,0.567627,-0.208426,-0.059128,0.263858,-0.143681,-1.436425,-1,21.313598170149625
2017-01-10,-1.525719,0.87184,-1.743679,1.72949,1.72949,-0.784656,-1.756757,-1.676838,-1.473409,-1.543156,-2.798636,1,21.682214723868398
2017-01-11,-0.563502,0.0,-1.517122,0.566696,0.566696,-1.239705,-2.110967,-2.060396,-1.928912,-1.884699,-2.935282,1,21.80508690844132
2017-01-12,0.39267,0.8726,-1.352531,-0.650195,-0.650195,-0.383944,-1.212914,-1.358348,-1.219459,-1.109948,-1.906632,-1,21.66331131085718
2017-01-13,0.869187,1.738375,-0.912647,0.39267,0.39267,-0.486745,-1.160365,-1.634072,-1.531943,-1.420252,-2.016515,0,21.748376669407666
2017-01-17,2.857143,3.356009,-0.181406,-4.172099,-4.172099,3.39229,3.120181,2.500378,2.503401,2.70839,2.332577,-1,20.841012844869145
2017-01-18,-1.458241,0.088378,-2.342024,2.630385,2.630385,0.468405,0.521432,-0.117838,-0.130358,-0.005303,-0.083959,1,21.389211822194497
2017-01-19,0.887705,1.242787,-0.532623,-0.441891,-0.441891,0.434976,0.781181,0.30182,0.324012,0.424323,0.461607,0,21.294694757138405
2017-01-20,0.088339,1.280919,-0.530035,0.488238,0.488238,-0.300353,0.273852,-0.094229,-0.178887,-0.058304,0.04417,0,21.39866352870011
2017-01-23,0.265957,0.886525,-0.620567,-0.353357,-0.353357,-0.345745,0.576241,0.425532,0.159574,0.276596,0.397459,0,21.32304987665523
2017-01-24,-1.481481,0.653595,-2.04793,1.728723,1.728723,-1.254902,-0.958606,-1.034132,-1.453159,-1.464052,-1.308642,1,21.691666430374006
2017-01-25,-0.21395,0.21395,-1.155327,1.830065,1.830065,-2.396234,-2.554557,-2.573099,-3.059478,-3.113393,-3.042362,1,22.08863810360961
