date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,4.046243,5.780347,-2.023121,-1.424501,-1.424501,3.815029,5.101156,4.759152,5.99711,4.445087,2.43738,-1,6.92
2017-01-04,0.0,1.0,-2.142857,1.156069,1.156069,0.942857,3.457143,3.228571,4.442857,3.628571,1.771429,1,7.0
2017-01-05,-1.671309,0.139276,-4.038997,2.571429,2.571429,-1.727019,0.710306,0.464253,1.545961,1.481894,-0.399257,1,7.18
2017-01-06,3.42368,3.851641,-0.285307,-2.367688,-2.367688,0.228245,2.553495,2.834047,3.601997,3.948645,2.287209,-1,7.01
2017-01-09,0.582242,1.018923,-1.310044,-1.997147,-1.997147,1.834061,3.959243,4.774381,5.181951,5.962154,4.483261,-1,6.87
2017-01-10,0.578035,1.300578,-0.722543,0.727802,0.727802,1.098266,2.456647,3.766859,3.843931,5.017341,3.887283,1,6.92
2017-01-11,0.289017,1.300578,-1.011561,0.0,0.0,0.867052,1.488439,3.391137,3.533237,4.693642,4.166667,0,6.92
2017-01-12,0.865801,2.164502,-0.865801,0.144509,0.144509,0.0,0.909091,2.895623,3.066378,4.167388,4.285714,0,6.93
2017-01-13,-0.144509,0.289017,-0.867052,-0.1443,-0.1443,-0.115607,0.708092,2.552987,3.099711,3.936416,4.397881,0,6.92
2017-01-17,-0.998573,1.28388,-1.854494,1.300578,1.300578,-0.998573,-0.599144,0.922492,1.761769,2.265335,3.038516,1,7.01
2017-01-18,-0.429799,0.859599,-0.859599,-0.42796,-0.42796,-0.401146,-0.08596,0.916905,2.055874,2.280802,3.361987,0,6.98
2017-01-19,4.531722,5.287009,-1.057402,-5.157593,-5.157593,4.108761,4.773414,5.427996,7.084592,7.401813,8.549849,-1,6.62
2017-01-20,0.0,2.690583,-0.896861,1.057402,1.057402,2.301943,2.944694,3.786746,5.515695,5.87145,6.970603,1,6.69
2017-01-23,-0.299401,1.946108,-2.39521,-0.149477,-0.149477,1.736527,2.60479,3.463074,5.112275,5.790419,6.681637,0,6.68
2017-01-24,-2.749638,1.30246,-3.473227,3.443114,3.443114,-1.939219,-0.752533,-0.086831,1.30246,2.199711,2.797877,1,6.91
2017-01-25,-1.12202,1.823282,-1.683029,3.183792,3.183792,-4.54418,-3.520337,-2.973352,-2.040673,-0.981767,-0.649836,1,7.13
2017-01-26,1.123596,2.38764,-0.702247,-0.140252,-0.140252,-3.005618,-3.103933,-2.724719,-2.233146,-0.949438,-0.617978,0,7.12
2017-01-27,1.445087,2.601156,-0.867052,-2.808989,-2.808989,0.462428,-0.317919,-0.163776,0.368497,1.699422,2.037572,-1,6.92
2017-01-30,5.727554,6.19195,-0.773994,-6.647399,-6.647399,6.934985,6.068111,6.377709,6.973684,8.340557,8.983488,-1,6.46
2017-01-31,-0.310078,0.620155,-1.860465,-0.154799,-0.154799,5.674419,5.364341,6.108527,6.697674,7.956589,8.852713,0,6.45
2017-02-01,1.71875,2.96875,-1.40625,-0.775194,-0.775194,4.21875,5.28125,6.395833,7.125,8.15,9.296875,-1,6.4
2017-02-02,-1.24031,1.085271,-2.945736,0.78125,0.78125,1.333333,4.20155,5.085271,5.868217,6.604651,8.005168,1,6.45
2017-02-03,-2.587519,0.304414,-2.891933,1.860465,1.860465,-1.582953,2.115677,2.800609,3.47032,4.255708,5.667174,1,6.57
2017-02-06,3.448276,4.231975,-0.15674,-2.891933,-2.891933,1.097179,4.68652,5.297806,6.057994,6.871473,8.265413,-1,6.38
2017-02-07,3.403566,3.889789,-1.458671,-3.291536,-3.291536,3.63047,7.050243,7.974068,9.100486,9.957861,11.318206,-1,6.17
2017-02-08,-0.653595,1.633987,-3.267974,-0.810373,-0.810373,3.562092,6.27451,7.91939,9.338235,10.333333,11.508715,-1,6.12
2017-02-09,-3.011094,1.267829,-3.011094,3.104575,3.104575,0.0,1.790808,4.342314,5.562599,6.573693,7.474908,1,6.31
2017-02-10,0.470219,1.880878,-0.783699,1.10935,1.10935,-1.69279,-0.172414,2.873563,3.973354,4.902821,5.85162,1,6.38
2017-02-13,0.315956,1.579779,-0.789889,-0.783699,-0.783699,-1.07425,0.410742,3.317536,4.328594,5.301738,6.250658,-1,6.33
2017-02-14,-0.465839,0.15528,-1.552795,1.737757,1.737757,-1.925466,-1.319876,1.066253,2.104037,3.236025,4.135611,1,6.44
2017-02-15,1.740506,2.056962,-0.316456,-1.863354,-1.863354,0.56962,0.427215,2.130802,3.52057,4.816456,5.796414,-1,6.32
2017-02-16,4.276316,5.263158,-0.164474,-3.797468,-3.797468,3.782895,3.782895,5.02193,7.162829,8.401316,9.468202,-1,6.08
2017-02-17,-0.983607,0.983607,-1.311475,0.328947,0.328947,2.52459,2.672131,3.781421,6.327869,7.501639,8.519126,0,6.1
2017-02-21,0.986842,1.644737,-1.315789,-0.327869,-0.327869,2.039474,2.516447,3.70614,6.184211,7.302632,8.366228,0,6.08
2017-02-22,1.858108,2.871622,-0.337838,-2.631579,-2.631579,3.040541,4.864865,5.912162,8.217905,9.466216,10.760135,-1,5.92
2017-02-23,5.565217,5.73913,-6.434783,-2.871622,-2.871622,4.104348,7.321739,8.289855,10.217391,11.846957,13.356522,-1,5.75
2017-02-24,0.530035,4.063604,-1.060071,-1.565217,-1.565217,4.275618,7.879859,9.081272,10.680212,12.946996,14.416961,-1,5.66
2017-02-27,1.067616,2.491103,-1.957295,-0.706714,-0.706714,3.309609,7.295374,8.730724,10.311388,12.989324,14.45433,-1,5.62
2017-02-28,2.201835,3.302752,-0.366972,-3.024911,-3.024911,4.220183,9.027523,10.984709,12.825688,15.611009,17.125382,-1,5.45
2017-03-01,-1.256732,1.436266,-1.436266,2.201835,2.201835,0.718133,5.116697,7.875524,9.605027,12.157989,13.740275,1,5.57
2017-03-02,2.425373,3.171642,-1.865672,-3.770197,-3.770197,3.208955,7.44403,11.156716,12.929104,15.231343,17.189055,-1,5.36
2017-03-03,1.315789,3.571429,-0.37594,-0.746269,-0.746269,2.706767,6.823308,10.75188,12.716165,14.744361,17.255639,-1,5.32
2017-03-06,-0.934579,1.308411,-1.495327,0.56391,0.56391,1.121495,4.82243,8.847352,10.943925,12.927103,15.76324,1,5.35
2017-03-07,2.281369,2.661597,0.0,-1.682243,-1.682243,2.129278,5.057034,9.353612,11.777567,13.946768,16.844106,-1,5.26
2017-03-08,6.477733,7.287449,-0.404858,-6.08365,-6.08365,6.194332,9.878543,14.412955,17.773279,20.105263,23.083671,-1,4.94
2017-03-09,-4.288499,0.389864,-4.873294,3.846154,3.846154,1.364522,4.60039,8.62898,12.446394,14.666667,17.225471,1,5.13
2017-03-10,0.38835,1.359223,-2.718447,0.389864,0.389864,0.31068,3.203883,7.003236,10.883495,13.21165,15.495146,0,5.15
2017-03-13,-3.001876,0.562852,-3.001876,3.495146,3.495146,-3.15197,-0.825516,2.426517,6.153846,8.457786,10.600375,1,5.33
2017-03-14,-0.381679,0.572519,-4.198473,-1.688555,-1.688555,-1.564885,0.477099,3.117048,6.937023,9.450382,11.723919,-1,5.24
2017-03-15,-1.834862,0.733945,-4.036697,4.007634,4.007634,-3.486239,-3.614679,-1.431193,1.908257,4.704587,6.807339,1,5.45
2017-03-16,0.917431,1.284404,-2.018349,0.0,0.0,-2.311927,-3.449541,-1.798165,1.110092,4.212844,6.2263,0,5.45
2017-03-17,3.213611,4.725898,-0.567108,-2.93578,-2.93578,1.172023,-0.586011,0.705734,3.42155,6.593573,8.708255,-1,5.29
2017-03-20,0.579151,2.123552,-1.351351,-2.079395,-2.079395,2.741313,1.196911,2.277992,4.72973,7.930502,10.122265,-1,5.18
2017-03-21,2.761341,3.155819,-0.986193,-2.123552,-2.123552,4.299803,3.017751,3.99737,6.005917,9.278107,11.65023,-1,5.07
2017-03-22,0.4,2.2,-1.0,-1.380671,-1.380671,3.96,4.58,4.693333,6.57,9.656,12.433333,-1,5.0
2017-03-23,-0.392927,2.1611,-1.768173,1.8,1.8,0.707269,2.652259,2.48854,4.037328,6.750491,9.770792,1,5.09
2017-03-24,-0.957854,1.532567,-2.10728,2.554028,2.554028,-2.068966,0.229885,-0.191571,1.024904,3.43295,6.340996,1,5.22
