date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,-0.556647,0.065488,-1.08055,1.058901,1.058901,-0.248854,-0.117878,-0.135342,-0.736739,-1.169614,-1.278105,1,27.626758333710253
2017-01-04,0.465116,1.063123,-0.265781,-1.440733,-0.594558,0.135917,0.350545,0.50334,-0.006591,-0.520729,-0.668045,-1,27.462501368563196
2017-01-05,-0.232019,0.629765,-0.331455,0.232558,0.232558,-0.090486,0.07467,0.234885,-0.058007,-0.672796,-0.856994,0,27.52636765081567
2017-01-06,-0.198478,0.396957,-0.661594,0.198873,0.198873,-0.269409,-0.101149,0.042399,-0.167891,-0.782101,-0.988226,0,27.581110178460644
2017-01-09,0.132538,0.497018,-0.331345,-0.165399,-0.165399,0.039783,0.057493,0.166334,0.077846,-0.487745,-0.744347,0,27.535491405423162
2017-01-10,-0.625411,0.559579,-0.921659,0.662691,0.662691,-0.552995,-0.565044,-0.482031,-0.486214,-0.961297,-1.337852,1,27.717966497573084
2017-01-11,0.597015,0.862355,-0.39801,-0.757077,-0.757077,0.238806,0.10433,0.202353,0.312202,-0.090173,-0.531618,-1,27.508120141600674
2017-01-12,0.366178,0.399467,-0.798935,-0.364842,-0.364842,0.519308,0.430593,0.511602,0.63132,0.40346,-0.115908,0,27.407758840918216
2017-01-13,0.099767,0.498836,-0.199534,0.099867,0.099867,0.312604,0.286927,0.391138,0.509188,0.353167,-0.159708,0,27.435130104740704
2017-01-17,0.033344,0.866956,-0.500167,-0.266046,-0.266046,0.453484,0.563532,0.612096,0.71407,0.660204,0.194505,0,27.362140067880734
2017-01-18,0.2997,0.4995,-0.2664,0.133378,0.133378,0.08658,0.34632,0.424774,0.530034,0.556212,0.175264,0,27.398635086310723
2017-01-19,0.100067,0.700467,-0.200133,-0.1665,-0.1665,0.140093,0.473649,0.494675,0.612932,0.732832,0.420316,0,27.35301631327324
2017-01-20,0.066445,0.498339,-0.332226,0.400267,0.400267,-0.219269,0.049834,0.08051,0.178618,0.300727,0.132889,0,27.462501368563196
2017-01-23,-0.429468,0.099108,-0.594648,0.564784,0.564784,-0.647506,-0.498844,-0.466295,-0.366002,-0.253418,-0.366156,1,27.617605196890626
2017-01-24,-0.849673,0.490196,-1.013072,1.090188,1.090188,-1.320261,-1.434641,-1.400864,-1.375243,-1.298955,-1.342061,1,27.918689098938
2017-01-25,1.107492,1.140065,-0.162866,0.326797,0.326797,-1.205212,-1.651466,-1.630836,-1.626483,-1.572197,-1.56615,0,28.009926645012957
2017-01-26,0.065062,0.325309,-0.585556,0.130293,0.130293,-0.839297,-1.587508,-1.620039,-1.702252,-1.667516,-1.604578,0,28.046421663442942
2017-01-27,-0.710136,0.0,-1.129761,0.780742,0.780742,-1.03938,-2.046482,-2.207876,-2.331585,-2.341475,-2.296861,1,28.26539177402285
2017-01-30,0.356795,0.551411,-0.648719,-0.484183,-0.484183,-0.194616,-1.323386,-1.602335,-1.754332,-1.779536,-1.753459,0,28.128535454910406
2017-01-31,-0.130208,0.553385,-0.455729,-0.356795,-0.356795,0.240885,-0.732422,-1.132812,-1.279292,-1.36022,-1.363608,0,28.028174154227948
2017-02-01,1.147541,1.147541,-0.262295,-0.716146,-0.716146,0.832787,0.137705,-0.393443,-0.531148,-0.618571,-0.63351,-1,27.827451552863035
2017-02-02,-1.57152,0.256575,-2.08467,2.229508,2.229508,-1.084028,-1.661321,-2.345521,-2.527261,-2.688319,-2.726626,1,28.44786686617277
2017-02-03,-0.159642,0.095785,-0.63857,0.449006,0.449006,-1.309068,-1.711367,-2.509579,-2.779374,-2.975287,-3.052865,0,28.575599430677716
2017-02-06,-0.031949,0.031949,-0.57508,-0.063857,-0.063857,-0.945687,-1.319489,-2.185304,-2.546326,-2.772807,-2.869624,0,28.557351921462722
2017-02-07,-0.222576,0.604134,-0.381558,0.479233,0.479233,-0.953895,-1.519873,-2.342342,-2.809221,-3.047373,-3.200476,0,28.694208240575165
2017-02-08,0.607611,0.895427,-0.063959,-0.572337,-0.572337,0.10873,-0.770707,-1.51583,-2.107451,-2.362648,-2.536681,-1,28.529980657640234
2017-02-09,-0.47619,0.603175,-0.634921,0.735529,0.735529,-0.419048,-1.253968,-1.913228,-2.607937,-2.897778,-3.133909,1,28.739827013612643
2017-02-10,-0.095208,0.380831,-0.856871,0.031746,0.031746,-0.330054,-1.117106,-1.646038,-2.405586,-2.758489,-3.021951,0,28.74895076822014
2017-02-13,-0.93838,0.093838,-1.313732,1.459854,1.459854,-1.345011,-2.183297,-2.706704,-3.512668,-3.939944,-4.232845,1,29.16864348016496
2017-02-14,-1.268957,0.0,-1.671309,1.063497,1.063497,-1.85082,-2.72052,-3.377695,-4.168988,-4.687094,-4.998449,1,29.478851136819827
2017-02-15,-1.432054,0.060938,-1.614869,1.578459,1.578459,-2.431444,-3.525289,-4.448507,-5.23309,-5.87081,-6.216738,1,29.94416262180213
2017-02-16,-1.011905,1.10119,-1.041667,2.3766,2.3766,-3.446429,-5.044643,-6.099206,-6.894345,-7.645238,-8.046627,1,30.65581548118682
2017-02-17,-0.652045,0.088915,-0.918791,0.416667,0.416667,-2.525193,-4.721399,-5.943489,-6.741257,-7.589804,-8.075479,0,30.783548045691767
2017-02-21,-1.289188,0.234398,-1.377088,1.155898,1.155898,-2.373279,-4.980955,-6.373669,-7.24143,-8.169938,-8.744995,1,31.139374475384116
2017-02-22,-0.146671,0.176005,-1.261367,-0.117199,-0.117199,-1.214432,-4.095043,-5.604772,-6.62071,-7.581109,-8.255598,0,31.10287945695413
2017-02-23,0.705053,0.705053,-0.264395,-0.146671,-0.146671,-0.352526,-3.140423,-4.772816,-5.992949,-6.974148,-7.762436,0,31.05726068391665
2017-02-24,-0.990676,0.0,-1.515152,0.822562,0.822562,-0.745921,-3.108974,-4.939782,-6.238345,-7.227273,-8.109946,1,31.312725812926537
2017-02-27,-0.145943,0.175131,-0.40864,-0.174825,-0.174825,-0.268535,-2.136602,-4.201206,-5.595447,-6.579101,-7.538432,0,31.25798328528156
2017-02-28,-0.058514,0.321826,-0.409596,-0.233508,-0.233508,-0.005851,-1.260971,-3.415253,-4.884435,-5.902867,-6.921201,0,31.18499324842159
2017-03-01,-0.464576,0.203252,-0.754936,0.760679,0.760679,-0.557491,-1.387921,-3.565621,-5.062427,-6.167247,-7.193186,1,31.42221086821649
2017-03-02,0.058156,0.407095,-0.523408,-0.14518,-0.14518,-0.209363,-0.78802,-2.820587,-4.358825,-5.601628,-6.63565,0,31.37659209517901
2017-03-03,0.379119,0.437445,-0.174978,-0.290782,-0.290782,0.064159,-0.297463,-1.994751,-3.626422,-4.912219,-5.944396,0,31.28535454910405
2017-03-06,-0.438725,0.263235,-0.672711,-0.29163,-0.29163,0.315882,0.125768,-1.185532,-2.924832,-4.258555,-5.270547,0,31.19411700302909
2017-03-07,-0.584795,0.146199,-0.614035,0.029248,0.029248,0.298246,0.116959,-0.779727,-2.52924,-3.892398,-4.915205,0,31.20324075763659
2017-03-08,0.470312,0.617284,-0.26455,-0.526316,-0.526316,0.582011,0.626102,0.080345,-1.635802,-2.995885,-4.077014,-1,31.039013174701658
2017-03-09,-0.088054,0.117405,-0.587027,0.146972,0.146972,0.246551,0.487232,0.178065,-1.36924,-2.719108,-3.888074,0,31.084631947739137
2017-03-10,-0.058377,0.116754,-0.525394,0.557675,0.557675,-0.326912,-0.087566,-0.249076,-1.513427,-2.899008,-4.078615,1,31.25798328528156
2017-03-13,0.351906,0.674487,-0.293255,-0.467017,-0.467017,0.087977,0.334311,0.289345,-0.671554,-2.117302,-3.323558,0,31.112003211561625
2017-03-14,-0.52755,0.058617,-0.820633,0.058651,0.058651,-0.017585,0.257913,0.228605,-0.414713,-1.84408,-3.058812,0,31.130250720776615
2017-03-15,-0.496495,0.321262,-0.554907,0.3517,0.3517,-0.239486,-0.151869,-0.093458,-0.481893,-1.86215,-3.05588,0,31.23973577606657
2017-03-16,0.058428,0.730353,-0.379784,-0.029206,-0.029206,-0.116857,-0.169442,-0.027267,-0.246859,-1.487584,-2.66433,0,31.23061202145907
2017-03-17,0.35057,0.438212,-0.116857,0.0,0.0,-0.134385,-0.18697,-0.044795,-0.154835,-1.168566,-2.367319,0,31.23061202145907
2017-03-20,-0.233372,0.320887,-0.233372,0.146071,0.146071,-0.175029,-0.306301,-0.186698,-0.221704,-0.989498,-2.221898,0,31.276230794496556
2017-03-21,1.682409,1.74144,-0.295159,-1.166861,-1.166861,0.861865,0.776269,0.932704,0.919421,0.404959,-0.813656,-1,30.911280610196712
2017-03-22,-0.938416,0.293255,-0.938416,0.649351,0.649351,0.129032,0.14956,0.215054,0.269795,-0.032845,-1.194526,1,31.112003211561625
2017-03-23,0.353357,0.883392,-0.147232,-0.410557,-0.410557,0.382803,0.530035,0.543777,0.671378,0.513545,-0.523165,0,30.98427064705668
