date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,-0.958307,0.124456,-1.717486,1.824864,1.824864,-1.284381,-1.164993,-1.196611,-1.244066,-1.982006,-2.987107,1,73.13587708439525
2017-01-04,0.739812,0.840125,-0.388715,-0.746733,-0.746733,-0.426332,-0.443977,-0.45159,-0.39073,-0.995288,-2.018567,-1,72.58974732396418
2017-01-05,-1.928273,0.12282,-3.217883,2.094044,2.094044,-1.884058,-2.291908,-2.389433,-2.310989,-2.753798,-3.732671,1,74.10980849049734
2017-01-06,-0.961071,0.316302,-1.532847,0.957996,0.957996,-2.036496,-2.933177,-3.052833,-3.136384,-3.418144,-4.297008,1,74.81977717905774
2017-01-09,0.611995,0.832313,-0.660955,-0.608273,-0.608273,-0.753978,-1.982864,-2.181209,-2.323877,-2.585207,-3.383662,-1,74.36466904536518
2017-01-10,-1.149147,0.266118,-1.403169,1.187271,1.187271,-1.357203,-2.705939,-3.07816,-3.316327,-3.483834,-4.170136,1,75.24757882472875
2017-01-11,-0.664492,0.410777,-1.256494,0.120963,0.120963,-0.746647,-2.403045,-2.966511,-3.249495,-3.369441,-3.96414,0,75.33860045146726
2017-01-12,0.387409,0.738499,-0.266344,-0.205388,-0.206297,-0.255933,-1.770383,-2.543219,-2.901229,-3.015723,-3.494453,0,75.18317935648295
2017-01-13,0.878263,1.134423,-0.280556,-0.750605,-0.750605,0.44456,-0.664075,-1.633017,-1.982697,-2.211535,-2.557638,-1,74.61885040731808
2017-01-17,-2.335558,0.071497,-2.395138,2.366431,2.367363,-1.349261,-2.364335,-3.500278,-3.913979,-4.196075,-4.526706,1,76.38534915896017
2017-01-18,1.13718,1.412497,-0.406991,-0.452812,-0.452812,-0.692243,-1.538365,-2.710199,-3.238701,-3.597014,-3.856183,0,76.03946697735383
2017-01-19,-0.036058,0.793269,-1.057692,-0.406991,-0.406991,-0.183052,-0.721334,-1.999319,-2.646768,-3.036233,-3.254553,0,75.72999344644288
2017-01-20,2.121138,2.292791,-0.306523,-1.971154,-1.378694,1.079193,0.743686,-0.384506,-1.150954,-1.587946,-1.795123,-1,74.68590894106444
2017-01-23,0.307692,0.836923,-0.283077,-0.380088,-0.380088,1.406567,1.071915,0.219121,-0.658133,-1.07634,-1.371048,0,74.40203655543753
2017-01-24,-0.525801,0.452433,-0.807043,0.652308,0.652308,0.349308,0.486686,-0.157774,-1.090158,-1.523704,-1.841528,1,74.88736676312224
2017-01-25,3.056988,3.409234,-0.088061,-2.800196,-2.800196,2.347511,3.044,2.686903,1.811221,1.333795,0.979634,-1,72.79037397897513
2017-01-26,-0.315139,1.374007,-1.121896,-0.201283,-0.201283,1.704273,2.880876,2.898977,2.049107,1.532132,1.186617,0,72.64385919929673
2017-01-27,2.675241,2.752412,-0.926045,-1.99168,-1.99168,2.790997,4.411697,4.717299,4.070479,3.512573,3.160634,-1,71.19702574997254
2017-01-30,-1.550585,0.43213,-1.728521,1.196141,1.196141,0.922725,2.820816,3.223124,2.850187,2.253957,1.949536,1,72.04864290685325
