date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,-2.104499,0.870827,-2.685051,4.473086,4.473086,-1.625544,-0.471698,1.906144,4.927431,6.162554,6.748911,1,13.355171979337282
2017-01-04,-4.989885,0.067431,-6.001349,7.619739,7.619739,-7.147674,-6.655428,-5.547314,-2.852326,-1.610249,-0.561924,1,14.37280119401828
2017-01-05,0.410397,4.582763,-1.436389,-1.416049,-1.416049,-4.377565,-5.0,-4.382125,-1.891245,-0.29275,0.891473,-1,14.16927535108208
2017-01-06,-1.14094,0.671141,-2.214765,1.915185,1.915185,-4.268456,-6.214765,-6.067114,-3.912752,-2.287248,-1.053691,1,14.44064314166368
2017-01-09,1.158038,1.702997,-0.408719,-1.47651,-1.47651,-0.803815,-4.209809,-4.627611,-2.786104,-0.918256,0.081744,-1,14.227425591920994
2017-01-10,-1.4791,1.157556,-2.122186,5.926431,5.926431,-4.07717,-8.450161,-9.226152,-8.289389,-6.428296,-5.614148,1,15.07060408408525
2017-01-11,-2.016383,0.441084,-4.032766,2.057878,2.057878,-4.700693,-8.966604,-10.081916,-9.977946,-8.31506,-7.498425,1,15.380738701892792
2017-01-12,2.226588,2.554028,-0.589391,-3.780718,-3.780718,-0.104781,-4.276359,-6.064178,-6.365422,-4.874918,-3.798297,-1,14.79923629350365
2017-01-13,0.460829,0.592495,-4.476629,-0.523903,-0.523903,0.80316,-2.646478,-5.069124,-5.694536,-4.43713,-3.32675,-1,14.721702639051765
2017-01-17,1.527224,1.792829,-0.996016,-0.855826,-0.855826,2.177955,-0.564409,-3.691899,-4.731076,-3.755644,-2.485613,-1,14.595710450567452
2017-01-18,-1.049869,0.984252,-1.706037,1.195219,1.195219,0.564304,-0.78084,-4.20385,-5.393701,-5.026247,-3.676728,1,14.770161173084194
2017-01-19,-0.655308,0.982962,-1.245085,0.131234,0.131234,-0.366972,-0.629096,-3.674093,-4.957405,-5.176933,-3.936217,0,14.789544586697165
2017-01-20,-1.160542,0.0,-1.482914,1.63827,1.63827,-1.663443,-1.656995,-4.392865,-6.054159,-6.584139,-5.566301,1,15.031837256859307
2017-01-23,0.0,0.19084,-1.335878,1.353965,1.353965,-2.302799,-2.449109,-4.720102,-6.77799,-7.559796,-6.766327,1,15.235363099795507
2017-01-24,-4.230317,0.235018,-5.346651,8.26972,8.26972,-7.46181,-8.525264,-10.497454,-12.952409,-14.054054,-13.609479,1,16.495284984638644
2017-01-25,-0.363636,0.909091,-4.181818,-3.055229,-3.055229,-3.018182,-5.066667,-6.577778,-9.393939,-10.698182,-10.735354,-1,15.99131623070139
2017-01-26,2.020202,3.409091,-0.631313,-4.0,-4.0,1.755051,-1.130051,-2.260101,-4.962121,-6.39899,-6.914983,-1,15.351663581473336
2017-01-27,-2.932193,1.282834,-3.420892,3.34596,3.34596,-0.488699,-3.659133,-4.711871,-7.183873,-8.889432,-9.657911,1,15.865324042217077
2017-01-30,-0.923077,0.184615,-1.846154,-0.733048,-0.733048,0.898462,-2.295385,-3.454359,-5.646154,-7.675077,-8.662564,-1,15.749023560539248
2017-01-31,-0.540541,0.3003,-1.921922,2.461538,2.461538,-1.96997,-3.687688,-4.984985,-6.873874,-9.208408,-10.448448,1,16.136691832798675
2017-02-01,-1.247031,0.296912,-2.553444,1.141141,1.141141,-2.672209,-3.824228,-5.546318,-7.016033,-9.513064,-10.863025,1,16.320834262121902
2017-02-02,-0.713861,0.475907,-1.189768,-0.178147,-0.178147,-1.344438,-2.730518,-5.004957,-6.261154,-8.625818,-10.057505,0,16.291759141702446
2017-02-03,4.23247,5.81175,-0.758054,-5.829863,-5.829863,4.080859,3.493367,1.111813,-0.075805,-2.397979,-4.137713,-1,15.34197187466685
2017-02-06,0.125,0.9375,-1.8125,1.07391,1.07391,2.6625,2.56875,0.375,-0.79375,-2.805,-4.75,1,15.506730890377106
2017-02-07,3.157216,3.608247,-0.708763,-3.0,-3.0,4.381443,4.774485,3.676976,2.545103,0.801546,-1.434708,-1,15.041528963665792
2017-02-08,-0.83709,1.674179,-1.931745,0.064433,0.064433,2.627173,4.082421,3.734707,2.472634,1.187379,-1.128998,0,15.051220670472278
2017-02-09,0.909682,1.039636,-1.559454,-0.901481,-0.901481,1.7154,4.736842,4.734676,3.248863,2.253411,0.123457,-1,14.91553677518148
2017-02-10,3.860759,4.810127,-0.379747,2.664068,2.664068,-0.962025,1.658228,2.139241,0.737342,-0.101266,-2.004219,1,15.312896754247392
2017-02-13,0.37594,1.441103,-0.18797,1.012658,1.012658,-2.005013,0.457393,1.215539,-0.031328,-0.837093,-2.468672,1,15.467964063151165
2017-02-14,-0.628931,0.566038,-2.138365,-0.37594,-0.37594,-1.157233,0.36478,1.127883,0.610063,-0.155975,-1.532495,0,15.40981382231225
2017-02-15,1.886792,2.602472,-0.130124,-3.333333,-3.333333,2.042941,2.869226,4.124919,4.121666,3.240078,2.207764,-1,14.896153361568507
2017-02-16,1.725282,2.455209,-0.398142,-1.951854,-1.951854,3.649635,3.762442,5.857111,6.131387,5.082946,4.29551,-1,14.605402157373938
2017-02-17,2.079142,2.682763,-0.73776,-1.061712,-1.061712,3.568075,4.258887,6.340264,7.069081,6.114017,5.479544,-1,14.450334848470165
2017-02-21,3.609342,3.609342,-1.4862,-5.231388,-5.231388,6.694975,8.690729,11.210191,12.416844,11.671621,11.120547,-1,13.694381717564282
2017-02-22,1.238165,2.403496,-1.165331,-2.830856,-2.830856,6.642389,10.553532,13.032289,14.493809,14.537509,14.127215,-1,13.306713445304855
2017-02-23,2.522255,4.154303,-0.445104,-1.82083,-1.82083,5.816024,11.083086,13.466864,15.497033,16.139466,15.731949,-1,13.064420775142713
2017-02-24,0.679245,2.716981,-0.679245,-1.706231,-1.706231,4.90566,11.396226,13.645283,16.524528,17.548679,17.081761,-1,12.84151151859354
2017-02-27,0.75358,2.712886,-0.678222,0.150943,0.150943,2.27581,9.321778,12.187892,15.180859,16.696307,16.402914,0,12.860894932206511
2017-02-28,-1.19403,1.716418,-1.268657,0.979653,0.979653,0.19403,6.350746,9.80597,13.0,14.871642,14.828358,1,12.986887120690827
2017-03-01,-1.501072,0.07148,-2.716226,4.402985,4.402985,-3.659757,0.500357,4.446033,7.283774,9.160829,9.73076,1,13.558697822273482
2017-03-02,4.733283,4.958678,-0.150263,-4.860615,-4.860615,1.006762,4.087153,8.670173,11.438768,13.779113,14.853494,-1,12.899661759432455
2017-03-03,1.666667,1.666667,-1.287879,-0.826446,-0.826446,1.772727,3.537879,8.469697,11.0,13.927273,15.290404,-1,12.793052984561111
2017-03-06,0.155039,0.387597,-2.868217,-2.272727,-2.272727,3.565891,4.387597,9.49354,12.445736,15.500775,17.297158,-1,12.502301780366542
2017-03-07,1.654846,2.442868,-1.182033,-1.627907,-1.627907,4.160757,4.980299,9.587602,13.002364,16.289992,18.442343,-1,12.298775937430342
2017-03-08,2.170418,2.813505,-0.723473,-1.970055,-1.970055,3.762058,6.053055,9.935691,14.03537,17.273312,19.595391,-1,12.056483267268199
2017-03-09,-1.370968,1.048387,-1.774194,-0.321543,-0.321543,2.629032,5.524194,8.693548,13.141129,16.219355,18.879032,0,12.017716440042257
2017-03-10,1.455133,2.021019,-1.374293,-0.241935,-0.241935,1.535974,5.068715,7.502021,12.194826,15.065481,18.232282,0,11.988641319622799
2017-03-13,0.557325,2.070064,-0.796178,1.535974,1.535974,-0.541401,2.914013,4.62845,9.207803,12.283439,15.43259,1,12.172783748946028
2017-03-14,1.059495,1.548492,-0.814996,-2.308917,-2.308917,1.124694,4.425428,6.090736,10.285249,13.721271,17.079598,-1,11.891724251557942
2017-03-15,-3.878976,0.620636,-4.344453,5.052975,5.052975,-3.041117,-1.450737,0.553401,3.813033,7.435221,10.475821,1,12.492610073560057
2017-03-16,2.4961,2.652106,-0.546022,-0.543057,-0.543057,-1.856474,-1.294852,0.75923,3.385335,7.176287,10.033801,-1,12.424768125914657
2017-03-17,1.253918,2.978056,-0.862069,-0.468019,-0.468019,-0.783699,-1.175549,0.977011,2.966301,6.855799,9.493208,0,12.366617885075742
2017-03-20,-0.078555,1.335428,-1.88531,-0.23511,-0.23511,-0.282797,-1.076198,0.932181,2.35271,6.142969,8.939513,0,12.337542764656286
2017-03-21,3.579952,4.77327,-0.318218,-1.256874,-1.256874,1.463803,0.08751,1.776717,3.035004,6.415274,9.4166,-1,12.182475455752513
2017-03-22,-1.788491,1.55521,-2.177294,2.30708,2.30708,-0.870918,-1.842924,-1.104199,0.37325,3.069984,6.25972,1,12.463534953140599
2017-03-23,0.0,1.169135,-1.402962,-0.233281,-0.233281,-0.623539,-1.278254,-1.122369,0.354638,2.519096,5.806703,0,12.434459832721142
2017-03-24,0.0,0.936768,-0.702576,-0.155885,-0.155885,-0.39032,-0.78064,-1.17096,0.339578,1.973458,5.300546,0,12.415076419108171
2017-03-27,0.2457,0.900901,-2.457002,-4.683841,-4.683841,3.652744,3.808354,3.308763,4.8362,6.099918,9.494949,-1,11.83357401071903
2017-03-28,-2.863962,0.71599,-3.341289,2.948403,2.948403,0.684169,1.073986,0.286396,1.50358,2.564837,5.46009,1,12.182475455752513
2017-03-29,-1.572327,0.943396,-2.122642,1.193317,1.193317,-0.72327,-0.251572,-0.749476,-0.19261,1.037736,3.383124,1,12.3278510578498
2017-03-30,-4.207363,1.652893,-4.282494,4.638365,4.638365,-4.402705,-4.305034,-4.693213,-4.616829,-3.492111,-1.715502,1,12.899661759432455
2017-03-31,-0.973054,1.721557,-1.122754,0.375657,0.375657,-3.937126,-4.214072,-4.555888,-4.913922,-3.820359,-2.50998,0,12.948120293464882
2017-04-03,1.963746,2.190332,-1.73716,-0.898204,-0.898204,-1.510574,-2.960725,-3.348439,-3.923716,-2.957704,-2.046828,-1,12.831819811787055
2017-04-04,0.14771,0.664697,-1.624815,2.265861,2.265861,-2.25997,-4.394387,-4.864599,-5.738552,-5.06647,-4.362383,1,13.122571015981626
2017-04-05,2.157738,2.901786,-0.520833,-0.738552,-0.738552,-0.46131,-3.251488,-3.883929,-4.665179,-4.52381,-3.722718,-1,13.02565394791677
2017-04-06,-0.221239,1.179941,-1.548673,0.892857,0.892857,-0.973451,-3.569322,-4.370698,-5.081121,-5.294985,-4.555064,1,13.141954429594598
2017-04-07,0.299177,1.495886,-0.673149,-1.40118,-1.40118,0.448766,-1.780105,-2.707554,-3.358265,-3.89828,-3.168786,-1,12.957812000271367
