date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,-0.065638,0.492287,-0.918937,0.296248,0.296248,0.091894,0.29887,-0.129195,-0.488138,-0.878048,-1.169466,0,28.035147444449553
2017-01-04,0.164042,0.426509,-0.262467,0.032819,0.032819,-0.065617,0.275292,-0.14272,-0.389163,-0.8235,-1.068567,0,28.04434834613792
2017-01-05,0.164962,0.725833,-0.659848,-0.557743,-0.557743,0.382712,0.686246,0.423314,0.264022,-0.177246,-0.419047,-1,27.887933017435707
2017-01-06,-0.065811,0.526489,-0.789733,0.263939,0.263939,0.052649,0.335637,0.232516,0.040561,-0.303162,-0.61067,0,27.96154023094263
2017-01-09,0.561983,0.628099,-0.099174,-0.460678,-0.460678,0.429752,0.684298,0.789744,0.530924,0.198506,-0.111668,0,27.832727607305515
2017-01-10,0.298408,0.795756,0.0,-0.297521,-0.297521,0.523873,0.822281,1.061153,0.803965,0.532531,0.204628,0,27.749919492110223
2017-01-11,-0.727032,0.165235,-0.727032,0.331565,0.331565,0.046266,0.353602,0.684973,0.449022,0.277285,-0.077668,0,27.84192850899388
2017-01-12,0.198807,0.265076,-0.828363,-0.264375,-0.264375,0.225315,0.520212,0.821739,0.698243,0.60179,0.248169,0,27.768321295486956
2017-01-13,0.0,0.298507,-0.331675,-0.099404,-0.099404,0.165837,0.507463,0.811498,0.814249,0.70269,0.436344,0,27.740718590421857
2017-01-17,-0.332557,0.565348,-0.365813,-0.26534,-0.26534,0.312604,0.671766,0.962199,1.122957,0.968685,0.717349,0,27.667111376914935
2017-01-18,-0.0666,0.333,-0.333,-0.133023,-0.133023,0.35964,0.659341,0.959041,1.213895,1.064204,0.866388,0,27.630307770161476
2017-01-19,0.133289,0.399867,-0.499833,-0.0666,-0.0666,0.259913,0.56981,0.879707,1.207779,1.080637,0.970528,0,27.611905966784743
2017-01-20,0.749319,1.192098,-0.783379,-2.165945,-2.165945,1.920981,2.472752,2.858765,3.208449,3.192724,3.163091,-1,27.013847357040987
2017-01-23,2.516603,2.551555,-0.594198,-2.554496,-2.554496,3.516253,4.536875,5.117092,5.557497,5.6959,5.688749,-1,26.323779730413577
2017-01-24,-0.485269,0.17331,-0.623917,0.838868,0.838868,1.809359,3.181976,3.889081,4.376083,4.681243,4.666908,1,26.544601370934352
2017-01-25,0.171233,0.342466,-0.479452,1.213172,1.213172,0.020548,1.616438,2.353881,2.876712,3.276802,3.284191,1,26.86663293002714
2017-01-26,0.411664,0.58319,-0.617496,-0.171233,-0.171233,-0.397942,1.409949,2.225272,2.792453,3.275347,3.319323,0,26.82062842158531
2017-01-27,1.282051,1.420651,-0.24255,-0.994854,-0.994854,0.25641,1.971587,2.917533,3.544699,4.048512,4.193185,-1,26.553802272622715
2017-01-30,0.0,0.451232,-0.659493,-0.17325,-0.17325,0.569247,1.683443,2.730533,3.432836,3.97362,4.230004,0,26.507797764180886
2017-01-31,0.490196,0.665266,-0.665266,-0.867754,-0.867754,1.246499,2.044818,3.235294,4.019608,4.598039,4.994569,-1,26.27777522197175
2017-02-01,0.140105,0.385289,-0.455342,-0.035014,-0.035014,0.82662,1.562172,2.895505,3.71979,4.340455,4.827864,0,26.268574320283385
2017-02-02,-0.350385,0.105116,-0.595655,-0.035026,-0.035026,0.434478,1.082691,2.529783,3.416258,4.078486,4.641333,0,26.25937341859502
2017-02-03,0.280112,0.315126,-0.560224,0.070077,0.070077,0.154062,0.731793,2.079832,3.037465,3.736695,4.310225,0,26.27777522197175
2017-02-06,0.070126,0.315568,-0.315568,-0.140056,-0.140056,0.091164,0.841515,1.841982,2.854137,3.605891,4.207574,0,26.24097161521829
2017-02-07,0.668543,0.844476,-0.105559,-0.350631,-0.350631,0.344828,1.045039,1.813277,2.894089,3.694581,4.318555,0,26.148962598334638
2017-02-08,0.282686,0.353357,-0.600707,-0.422238,-0.422238,0.59364,1.155477,1.837456,3.001767,3.827562,4.484099,0,26.03855177807425
