date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,-2.454153,0.094391,-2.669903,3.560955,3.560955,-1.725998,-1.058522,-0.489938,-1.094814,-1.134042,-0.873028,1,67.25859551427975
2017-01-04,-2.4221,0.785546,-2.618487,2.993528,2.993528,-3.888452,-3.675046,-3.087196,-3.676048,-3.886265,-3.656529,1,69.27200007255512
2017-01-05,1.091962,1.105118,-0.578871,-0.48442,-0.48442,-2.568083,-2.948296,-2.512827,-2.9438,-3.333203,-3.121343,0,68.93643264617589
2017-01-06,1.271692,1.337926,-0.105974,-0.684121,-0.684121,-1.006756,-2.077096,-1.860732,-2.064909,-2.547498,-2.387494,-1,68.46482437126454
2017-01-09,0.118671,0.329641,-0.751582,0.463638,0.463638,-0.348101,-2.194093,-2.28815,-2.234652,-2.814432,-2.793065,0,68.7822530178395
2017-01-10,1.933076,1.986402,-0.106652,-1.094409,-1.094409,0.981203,-0.929209,-1.126072,-0.967875,-1.576231,-1.715111,-1,68.02949365596176
2017-01-11,2.372238,2.412905,-1.030229,-1.653113,-1.653113,1.970991,0.741494,0.478966,0.748949,0.179731,-0.076283,-1,66.90488930809623
2017-01-12,0.231734,0.436205,-0.58615,-0.555781,-0.555781,1.81843,1.384951,0.977826,1.21115,0.813433,0.435333,-1,66.53304432210845
2017-01-13,0.766388,0.971671,-0.095799,-0.395311,-0.395311,1.560148,1.915971,1.297386,1.432188,1.254907,0.826711,0,66.27003201494634
2017-01-17,1.404533,1.404533,-0.250313,-1.587519,-1.587519,2.10541,3.601724,2.802577,2.815325,2.90779,2.431668,-1,65.21798278629795
2017-01-18,0.152502,0.471371,-0.873423,0.305938,0.305938,0.995425,3.004298,2.349462,2.365174,2.588101,2.127257,0,65.41750936414506
2017-01-19,0.349308,0.950119,-0.475059,-0.776376,-0.776376,1.170882,3.138186,2.949094,2.968423,3.310884,2.911121,-1,64.90962352962515
2017-01-20,1.351922,1.39417,-0.605549,-0.782451,-0.782451,1.306858,3.24743,3.595738,3.566399,3.909872,3.675931,-1,64.40173769510525
2017-01-23,0.254633,0.848776,-0.551705,-0.450641,-0.450641,1.092092,3.03579,3.928891,3.803933,4.096195,4.068657,0,64.11151721823673
2017-01-24,0.498221,1.039146,-0.669039,-0.622436,-0.622436,1.252669,2.885409,4.450771,4.237011,4.446406,4.658353,-1,63.71246406254251
2017-01-25,-1.515784,0.59797,-1.654846,2.362989,2.362989,-1.145877,0.079266,1.830992,1.710471,1.913503,2.227318,1,65.21798278629795
2017-01-26,0.786296,0.884583,-0.098287,-0.959533,-0.959533,-0.286436,0.690817,2.33455,2.519657,2.722269,3.134419,-1,64.59219488305021
2017-01-27,0.238563,1.277014,-0.140331,0.056164,0.056164,-0.272242,0.339601,1.832725,2.356161,2.507999,2.909065,0,64.62847244265878
2017-01-30,-0.713187,0.223745,-1.062788,0.350828,0.350828,-0.391554,-0.229339,1.105673,1.954971,2.012586,2.353517,0,64.85520719021231
2017-01-31,-1.821946,0.179434,-2.015183,1.314501,1.314501,-1.076605,-1.449275,-0.518058,0.690131,0.642098,0.882908,1,65.70772984101359
2017-02-01,-0.137325,0.082395,-1.043669,0.510697,0.510697,-1.329305,-1.85526,-1.224023,0.086515,0.085691,0.311728,0,66.04329726739282
2017-02-02,0.49827,0.802768,-0.650519,-0.782752,-0.782752,-0.265744,-0.986851,-0.585006,0.590311,0.793356,1.003922,-1,65.52634204297077
