date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,-0.113643,0.406723,-0.705784,0.722935,0.722935,-0.339733,-0.20396,-0.092111,-0.63999,-1.130211,-1.440278,1,146.93500900821724
2017-01-04,-0.880302,0.360392,-1.122533,1.238112,1.238112,-1.308047,-1.272008,-1.165859,-1.576864,-2.227343,-2.470952,1,148.75422946785602
2017-01-05,0.326023,0.40901,-0.853586,-0.330852,-0.330852,-0.682869,-0.879075,-0.821577,-1.002667,-1.780202,-2.030034,0,148.2620732082436
2017-01-06,-0.495488,0.230048,-1.185631,0.491998,0.491998,-0.823453,-1.23459,-1.267032,-1.347549,-2.088598,-2.374801,0,148.9915190930263
2017-01-09,1.085595,1.282434,-0.017894,-1.108948,-1.108948,0.486728,-0.091858,-0.17457,-0.172979,-0.803817,-1.167313,-1,147.33928022147032
2017-01-10,1.486225,1.552682,-0.108748,-1.270504,-1.270504,1.578057,1.121919,1.061302,1.08144,0.605607,0.152449,-1,145.46732873401592
2017-01-11,-1.013413,0.005961,-1.281669,1.347269,1.347269,0.04769,-0.185991,-0.239642,-0.195231,-0.543189,-1.114754,1,147.42716526782968
2017-01-12,-0.107175,0.035725,-1.423043,0.119225,0.119225,-0.160762,-0.20006,-0.344547,-0.324204,-0.480619,-1.144785,0,147.6029353605484
2017-01-13,0.376479,0.681248,-0.274889,-0.363203,-0.363203,-0.058563,0.20796,0.019123,0.004183,-0.05689,-0.682443,0,147.0668365777563
2017-01-17,-0.714754,0.172732,-1.054262,0.328672,0.328672,-0.357377,-0.007148,-0.275577,-0.327298,-0.324022,-0.847579,0,147.55020433273276
2017-01-18,0.389688,1.073141,-0.065947,-0.649235,-0.649235,0.447242,0.622902,0.379696,0.326139,0.334053,-0.064149,-1,146.59225732741575
2017-01-19,0.089923,0.38367,-0.605479,0.005995,0.005995,0.328517,0.469996,0.36049,0.324021,0.359451,0.069141,0,146.60104583205168
2017-01-20,-1.606567,0.05277,-2.667839,2.242072,2.242072,-1.566696,-1.624743,-1.669892,-1.789505,-1.788332,-1.925926,1,149.8879465658918
2017-01-23,-0.555458,0.128632,-0.596387,0.281442,0.281442,-1.411448,-1.813132,-1.773178,-1.956967,-2.005028,-2.079557,0,150.30979478841675
2017-01-24,-2.581012,0.05685,-2.694713,2.847454,2.847454,-3.230244,-4.062536,-4.117112,-4.420125,-4.538943,-4.590866,1,154.58979654611767
2017-01-25,-1.138594,0.538449,-1.211509,1.358727,1.358727,-3.238544,-4.632341,-4.98738,-5.376634,-5.559257,-5.649784,1,156.69024915410643
2017-01-26,-0.335833,0.123139,-0.643681,0.207527,0.207527,-2.112392,-4.219187,-4.833389,-5.250196,-5.486623,-5.599649,0,157.01542382563605
2017-01-27,0.659898,1.07163,0.0,-0.761222,-0.761222,-0.600113,-2.957135,-3.780034,-4.210096,-4.542809,-4.706148,-1,155.82018719514875
2017-01-30,0.671217,0.722412,-0.69397,-0.846024,-0.846024,0.790671,-1.647895,-2.721274,-3.131115,-3.535609,-3.754835,-1,154.50191149975834
2017-01-31,0.30369,0.60738,-0.52143,-0.7281,-0.7281,1.371763,-0.546642,-1.745359,-2.176255,-2.657117,-2.924784,-1,153.37698290635848
2017-02-01,0.407367,0.808997,-0.803259,-0.13179,-0.13179,1.046532,0.014344,-1.280242,-1.843479,-2.354696,-2.652093,0,153.17484729973194
2017-02-02,-0.200481,0.223393,-0.589987,0.166389,0.166389,0.411273,0.293275,-1.183412,-1.854164,-2.346431,-2.662963,0,153.42971393417412
2017-02-03,-0.466386,0.295757,-0.52895,0.710276,0.710276,-0.465249,-0.114321,-1.581921,-2.343874,-2.816062,-3.193607,1,154.51948850903017
2017-02-06,-0.312749,0.068236,-0.841579,0.022751,0.022751,-0.481064,0.137609,-1.281322,-2.186114,-2.627545,-3.053944,0,154.55464252757395
2017-02-07,-1.37846,0.089656,-1.434495,1.478449,1.478449,-1.489409,-1.177855,-2.324704,-3.308304,-3.76667,-4.253427,1,156.83965373291736
2017-02-08,0.754953,0.754953,-0.164614,-1.283201,-0.50233,-0.623345,-0.719848,-1.427455,-2.481008,-3.047135,-3.566286,-1,156.0518017219998
2017-02-09,-0.586874,0.332938,-0.733593,0.590339,0.590339,-0.755105,-1.305198,-1.565452,-2.749261,-3.406694,-3.91814,1,156.9730361761684
2017-02-10,-0.733154,0.106335,-1.074547,0.829524,0.829524,-1.097017,-1.962052,-2.021997,-3.212201,-3.948312,-4.451268,1,158.27516564504128
2017-02-13,-0.066905,0.30107,-0.28992,0.380569,0.380569,-0.927808,-2.058332,-2.033947,-3.207457,-4.063573,-4.552079,0,158.87751124969
2017-02-14,-0.866041,0.0,-0.988175,0.429304,0.429304,-1.010381,-2.089524,-2.245075,-3.244887,-4.16732,-4.67432,0,159.55957906671864
2017-02-15,-0.814619,0.1321,-1.029282,0.86049,0.86049,-1.248349,-2.442797,-2.903331,-3.624813,-4.600525,-5.197663,1,160.93257272437376
2017-02-16,0.011024,0.7496,-0.308659,-0.137605,-0.137605,-0.647082,-1.855295,-2.616231,-3.053025,-4.13844,-4.819032,0,160.7111221344294
2017-02-17,0.321027,0.498146,-0.370842,-0.418894,-0.418894,-0.008856,-1.097623,-2.030883,-2.3281,-3.424392,-4.173375,0,160.03791234099847
2017-02-21,0.188616,0.29402,-0.63242,-0.226933,-0.226933,0.318429,-0.552013,-1.59208,-1.812696,-2.888892,-3.732398,0,159.67473337348972
2017-02-22,-0.58515,0.104885,-0.58515,0.493731,0.493731,-0.061827,-0.814794,-1.781161,-2.112084,-3.044113,-3.932742,0,160.46309747369168
2017-02-23,0.192678,0.467933,-0.401872,0.276014,0.276014,-0.340215,-0.786127,-1.731195,-2.250525,-2.95516,-3.877343,0,160.90599865358044
2017-02-24,-0.628619,0.077199,-0.805073,-0.165153,-0.165153,-0.184174,-0.393714,-1.269391,-1.975997,-2.445041,-3.444156,0,160.64025794564716
2017-02-27,0.99777,1.031215,-0.06689,-1.075269,-1.075269,0.759197,0.729097,-0.011919,-0.813209,-1.157493,-2.157399,-1,158.91294334408107
2017-02-28,-0.244689,0.45045,-0.261372,0.234114,0.234114,0.474919,0.519408,-0.047476,-0.894735,-1.16297,-2.13024,0,159.2849803351876
2017-03-01,-0.807914,0.329761,-1.055235,1.184518,1.184518,-0.613355,-0.557296,-1.038381,-1.813097,-2.156654,-2.994234,1,161.17173936151366
2017-03-02,0.747798,0.747798,-0.055392,-0.780434,-0.780434,0.044314,0.161192,-0.098968,-0.830076,-1.30641,-1.95353,-1,159.91390001062965
2017-03-03,0.266593,0.70536,-0.161066,-0.265884,-0.265884,0.16662,0.351569,0.272517,-0.375746,-0.98127,-1.422791,0,159.48871487793645
2017-03-06,-0.415582,0.288137,-0.498698,0.233269,0.233269,0.052086,0.106943,0.105281,-0.440537,-1.11061,-1.444258,0,159.86075186904299
2017-03-07,0.182947,0.504491,-0.099789,-0.04987,-0.04987,0.164098,0.163544,0.192926,-0.227314,-0.929111,-1.197496,0,159.781029656663
2017-03-08,0.724436,0.835887,-0.083589,-0.515578,-0.515578,0.40457,0.587907,0.686914,0.356367,-0.275254,-0.593867,-1,158.95723346206995
2017-03-09,1.111864,1.168303,-0.733717,-1.264976,-1.264976,1.312789,1.624337,1.807578,1.670617,1.098527,0.685149,-1,156.94646210537508
2017-03-10,0.213687,0.933476,-0.230557,0.366859,0.366859,0.692796,1.05494,1.300493,1.316426,0.832917,0.327852,0,157.52223363923045
2017-03-13,0.787714,0.906721,-0.022668,-0.770399,-0.770399,1.020061,1.6729,1.927916,2.040122,1.661549,1.117195,-1,156.3086844063353
2017-03-14,0.26178,0.625996,-0.290234,-0.419358,-0.419358,0.915092,1.867744,2.184915,2.366265,2.117902,1.567679,0,155.65319066009994
2017-03-15,-0.05688,0.267334,-0.602924,0.051218,0.051218,0.449349,1.466356,1.930114,2.191002,2.037199,1.566111,0,155.73291287247991
2017-03-16,0.688332,0.993004,-0.236967,0.813378,0.813378,-0.354322,0.462085,0.941849,1.241255,1.238095,0.827865,1,156.9996102469617
2017-03-17,0.364361,0.649018,0.0,-0.897089,-0.897089,0.299459,1.120979,1.639245,1.993168,2.118987,1.786875,-1,155.59118449491552
2017-03-20,-0.028458,0.273193,-0.318725,0.028466,0.028466,0.184405,0.820717,1.46993,1.822709,2.022083,1.781811,0,155.63547461290437
2017-03-21,1.224983,1.351507,-0.023004,-1.035857,-1.035857,1.021394,1.502185,2.304271,2.705026,2.963883,2.835661,-1,154.02331431810936
2017-03-22,-0.423389,0.160201,-1.132853,0.517598,0.517598,0.383339,0.712324,1.503986,1.993935,2.311248,2.262654,0,154.8205364419091
