date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,0.027322,0.901639,-0.901639,0.909843,0.909843,0.125683,0.603825,0.296903,-0.724044,-1.624044,-1.986339,1,33.8738338516215
2017-01-04,0.823949,0.988739,-0.192255,-0.519126,-0.519126,0.285636,0.996979,0.900851,0.071409,-1.01181,-1.341207,-1,33.69798608026062
2017-01-05,0.275103,1.017882,-0.110041,-0.16479,-0.16479,0.297111,0.927098,0.984869,0.460798,-0.733975,-1.052728,0,33.64245520509403
2017-01-06,0.301535,0.548246,-0.794956,0.357634,0.357634,-0.158991,0.430373,0.612208,0.237116,-0.892544,-1.313962,0,33.76277210128831
2017-01-09,-0.355094,0.764818,-0.355094,0.35636,0.35636,-0.327779,-0.013657,0.222162,0.005463,-0.933078,-1.53601,0,33.883088997482595
2017-01-10,0.027367,1.067323,-0.027367,-0.191205,-0.191205,-0.169677,0.060208,0.456121,0.303777,-0.482759,-1.247035,0,33.8183029764549
2017-01-11,-1.190798,0.135318,-1.190798,1.122058,1.122058,-0.985115,-1.082544,-0.647722,-0.67659,-1.309878,-2.2129,1,34.19776395675996
2017-01-12,0.326886,0.326886,-1.062381,-0.649526,-0.649526,-0.141651,-0.414056,-0.088986,-0.039499,-0.447834,-1.446472,-1,33.975640456093586
2017-01-13,-0.21745,0.190269,-0.462082,0.217924,0.217924,-0.190269,-0.59527,-0.340672,-0.224246,-0.524055,-1.471414,0,34.049681622982376
2017-01-17,-0.353261,0.081522,-0.570652,0.027181,0.027181,-0.11413,-0.478261,-0.391304,-0.25,-0.431522,-1.222826,0,34.05893676884347
2017-01-18,0.353645,0.680087,-0.408052,-0.108696,-0.108696,0.114255,-0.326442,-0.321001,-0.08025,-0.214363,-0.879579,0,34.02191618539908
2017-01-19,-0.164069,0.929724,-0.164069,-0.516866,-0.516866,0.426579,0.235165,0.105733,0.395133,0.369702,-0.165892,-1,33.8460684140382
2017-01-20,-0.487277,0.243638,-0.974553,1.011758,1.011758,-0.454792,-0.609096,-0.841003,-0.646995,-0.620466,-0.96553,1,34.18850881089885
2017-01-23,0.815883,1.196628,-0.598314,-0.460206,-0.460206,-0.005439,-0.07071,-0.362614,-0.216209,-0.137068,-0.39253,0,34.03117133126018
2017-01-24,-2.073365,0.318979,-2.15311,2.311667,2.311667,-1.828814,-2.060074,-2.374623,-2.379054,-2.305157,-2.472975,1,34.81785872945357
2017-01-25,0.185185,0.529101,-0.740741,0.478469,0.478469,-1.746032,-2.193122,-2.627866,-2.734127,-2.612698,-2.757496,0,34.98445135495335
2017-01-26,0.692226,0.958466,-0.372737,-0.634921,-0.634921,-0.591054,-1.405751,-1.801562,-2.047391,-1.919063,-1.99503,-1,34.76232785428698
2017-01-27,0.052659,1.237493,-0.447604,1.118211,1.118211,-1.142707,-2.161664,-2.601369,-2.95287,-2.922591,-2.97525,1,35.151043980453125
2017-01-30,0.855158,1.122394,-0.240513,-1.47446,-1.47446,0.684126,-0.529129,-0.976305,-1.398985,-1.422769,-1.445751,-1,34.6327558122316
2017-01-31,1.086366,1.493753,-0.488865,-1.603421,-1.603421,1.890277,1.09723,0.675358,0.282455,0.171646,0.162955,-1,34.077447060565675
2017-02-01,0.821468,1.177437,-1.369113,-0.814775,-0.814775,2.026287,1.861993,1.498722,1.09529,0.945235,1.004929,-1,33.79979268473271
2017-02-02,-1.145038,0.054526,-1.308615,0.438116,0.438116,1.101418,1.447655,1.006907,0.691112,0.462377,0.545256,0,33.94787501851029
2017-02-03,0.465498,0.821468,-0.191676,-0.436205,0.274687,0.172362,1.12646,0.743039,0.473842,0.203572,0.230927,0,34.04112525866408
2017-02-06,0.661704,0.661704,-0.330852,-0.684556,-0.684556,0.374976,1.757516,1.389796,1.173086,0.879902,0.880637,-1,33.808094554538506
2017-02-07,0.275103,0.467675,-0.302613,0.220568,0.220568,0.039094,1.257556,1.131972,0.950359,0.694981,0.629438,0,33.88266437985869
2017-02-08,-0.109951,0.742166,-0.659703,0.082531,0.082531,0.021968,0.857393,1.026697,0.880726,0.616285,0.516412,0,33.91062806435376
2017-02-09,2.932882,2.932882,-0.169205,-2.528862,-2.528862,2.075578,2.956987,3.487864,3.324889,3.148702,2.997643,-1,33.05307507317164
2017-02-10,-0.226372,0.254669,-1.414827,-0.338409,-0.338409,1.754386,2.635748,3.586839,3.518728,3.413802,3.250199,0,32.94122033519137
2017-02-13,-0.642458,0.139665,-1.284916,1.301641,1.301641,0.184358,0.938553,2.123745,2.086758,2.03794,1.867645,1,33.36999683078242
2017-02-14,-0.250487,0.083496,-1.113276,0.363128,0.363128,-0.411912,0.398289,1.49016,1.63263,1.621944,1.491385,0,33.49117279692772
2017-02-15,-0.194175,0.027739,-1.054092,0.333983,0.333983,-0.926491,0.005537,0.878261,1.231995,1.258048,1.126687,0,33.603027534907994
2017-02-16,-0.631695,0.411975,-0.851414,0.998613,0.998613,-1.384235,-0.985993,-0.280971,0.244706,0.226324,0.150439,1,33.93859174884882
2017-02-17,-0.438596,0.0,-1.041667,0.192255,0.192255,-0.948465,-1.186952,-0.697235,0.025196,0.037321,-0.00631,0,34.00384034600398
2017-02-21,0.027382,0.355969,-0.520263,0.109649,0.109649,-0.662651,-1.226725,-0.921866,-0.082898,-0.073254,-0.088576,0,34.04112525866408
2017-02-22,0.748544,0.914888,-0.776268,-1.232202,-1.232202,0.654283,-0.072082,0.223834,0.985752,1.121384,1.131976,-1,33.62166999123804
2017-02-23,0.165837,0.331675,-0.773908,0.304963,0.304963,0.420122,-0.431177,-0.095825,0.491873,0.778628,0.815198,0,33.724203501053296
2017-02-24,-1.067616,0.0,-1.587736,0.967385,0.967385,-0.476321,-1.092253,-1.032941,-0.575489,-0.16294,-0.165151,1,34.0504464868291
2017-02-27,-0.246508,0.465626,-0.657354,-0.05475,-0.05475,-0.405368,-0.717612,-0.980553,-0.685465,-0.126669,-0.104961,0,34.03180403049905
2017-02-28,0.607735,0.718232,-0.552486,-0.849082,-0.849082,0.270718,0.243094,-0.145488,0.033152,0.694421,0.720183,-1,33.742845957383345
2017-03-01,-0.222655,0.473142,-1.363763,-0.745856,-0.745856,0.946284,0.996382,0.526951,0.697335,1.292649,1.420547,-1,33.49117279692772
2017-03-02,0.055695,0.306321,-0.724032,-0.055664,-0.055664,0.85213,1.013645,0.495684,0.704533,1.168387,1.422323,0,33.47253034059767
2017-03-03,0.111421,0.529248,-0.640669,-0.027847,-0.027847,0.529248,0.899721,0.605385,0.660167,1.041279,1.412437,0,33.46320911243265
2017-03-06,0.618499,0.646612,-0.421704,-0.91922,-0.91922,0.933371,1.579983,1.581857,1.4605,1.737951,2.249445,-1,33.15560858298689
2017-03-07,-0.726257,0.0,-1.145251,0.646612,0.646612,0.061453,0.726257,0.929236,0.743017,0.932963,1.526491,1,33.36999683078242
2017-03-08,0.140371,0.786075,-0.252667,-0.502793,-0.502793,0.393038,1.108928,1.381246,1.149635,1.337569,1.877336,-1,33.202214723812006
2017-03-09,-0.614182,0.335008,-0.893356,0.561482,0.561482,-0.217755,0.443886,0.77238,0.5067,0.722497,1.14919,1,33.38863928711247
2017-03-10,0.584795,1.086048,-0.362016,0.251256,0.251256,-0.462267,0.019493,0.426993,0.31746,0.413255,0.76724,0,33.47253034059767
2017-03-13,1.962457,2.502844,-0.625711,-2.088555,-2.088555,1.427759,1.769056,2.318923,2.431741,2.400455,2.674889,-1,32.77343822822095
2017-03-14,-0.341103,0.142126,-1.478113,0.056883,0.056883,1.017624,1.421262,2.006822,2.285389,2.218306,2.429413,0,32.792080684550996
2017-03-15,-0.45584,0.19943,-1.196581,-0.227402,-0.227402,0.951567,1.415954,2.055081,2.400285,2.308832,2.524317,0,32.71751085923081
2017-03-16,0.085373,0.626067,-0.199203,0.11396,0.11396,0.44963,1.081389,1.741605,2.15424,2.051224,2.301267,0,32.754795771890905
2017-03-17,0.113411,0.170116,-0.481996,0.369949,0.369949,-0.283527,0.530196,1.128438,1.616104,1.65353,1.815518,0,32.875971738036206
2017-03-20,-0.169348,0.564493,-0.479819,0.453643,0.453643,-0.581428,0.036692,0.468529,1.009032,1.204629,1.253175,0,33.02511138867657
2017-03-21,1.569635,1.598174,-0.114155,-1.100762,-1.100762,0.445205,0.933219,1.366058,1.922089,2.244292,2.263128,-1,32.66158349024067
2017-03-22,-0.424088,0.254453,-1.046084,0.941781,0.941781,-0.339271,-0.079163,0.314768,0.872208,1.227029,1.216662,1,32.96918401968643
2017-03-23,0.62376,0.62376,-0.708818,-0.282725,-0.282725,0.017012,0.0482,0.478216,1.029203,1.425574,1.398734,0,32.875971738036206
2017-03-24,1.393629,1.62116,-0.113766,-0.31188,-0.31188,0.267349,0.147895,0.652256,1.150455,1.600683,1.687524,0,32.77343822822095
2017-03-27,-0.90421,0.310822,-1.271546,0.654152,0.654152,-0.406895,-0.437977,-0.035792,0.33484,0.81718,1.031365,1,32.98782647601648
2017-03-28,-0.730337,0.308989,-1.095506,0.593388,0.593388,-0.679775,-0.907303,-0.662921,-0.341292,0.119101,0.416667,1,33.18357226748196
2017-03-29,-0.140568,0.365477,-0.365477,-0.08427,-0.08427,-0.483554,-0.691594,-0.588511,-0.307844,0.147315,0.467623,0,33.15560858298689
2017-03-30,-0.475524,0.391608,-0.643357,0.506044,0.506044,-0.716084,-1.020979,-1.102098,-0.832168,-0.405035,-0.0662,0,33.32339068995731
2017-03-31,-0.887164,0.49903,-0.914888,0.895105,0.895105,-1.09232,-1.677294,-1.949912,-1.688384,-1.339617,-0.984197,1,33.62166999123804
2017-04-03,0.082965,1.603982,-0.110619,0.249515,0.249515,-0.912611,-1.720133,-2.009587,-1.851493,-1.623894,-1.26014,0,33.70556104472325
2017-04-04,-0.441014,0.275634,-0.799338,0.331858,0.331858,-0.865491,-1.703418,-2.131569,-2.109978,-1.940463,-1.608784,0,33.81741578270353
2017-04-05,0.57979,1.490889,-0.138045,-0.16538,-0.16538,-0.342352,-1.305908,-1.763298,-1.864992,-1.745997,-1.43199,0,33.76148841371339
2017-04-06,0.277546,0.693866,0.0,-0.524572,-0.524572,0.338607,-0.574521,-1.080581,-1.318346,-1.214543,-0.92608,-1,33.58438507857795
2017-04-07,0.111019,0.804885,-0.111019,0.0,0.0,0.316403,-0.333056,-0.939957,-1.301693,-1.200111,-0.972338,0,33.58438507857795
2017-04-10,0.614525,0.810056,-0.530726,-0.638357,-0.638357,0.759777,0.421788,-0.234637,-0.578212,-0.539665,-0.402235,-1,33.36999683078242
2017-04-11,0.08394,0.139899,-1.482932,-0.167598,-0.167598,0.626749,0.629547,0.063421,-0.33296,-0.379407,-0.277933,0,33.314069461792286
2017-04-12,0.67359,1.066517,-0.364861,-0.307778,-0.307778,0.606231,0.957059,0.420994,0.049116,-0.070727,0.001871,0,33.211535951977034
2017-04-13,0.851064,1.446809,0.0,-1.066517,-1.066517,1.248227,1.903546,1.499764,1.143262,0.941844,1.017494,-1,32.85732928170616
2017-04-17,-0.11274,0.310034,-0.422773,0.652482,0.652482,0.281849,1.076663,0.901917,0.517193,0.239008,0.323187,1,33.07171752950168
2017-04-18,-0.950517,0.111826,-1.31395,0.817362,0.817362,-0.547945,0.148169,0.154692,-0.25021,-0.505451,-0.471531,1,33.342033146287356
2017-04-19,0.167084,0.863269,-0.055695,0.391389,0.391389,-0.840991,-0.345308,-0.178223,-0.517962,-0.81203,-0.849346,0,33.47253034059767
2017-04-20,0.0,0.248756,-0.884467,0.75188,0.75188,-1.276949,-1.100055,-0.810761,-1.148425,-1.432836,-1.537682,1,33.724203501053296
2017-04-21,-0.330396,0.27533,-1.294053,0.386954,0.386954,-1.068282,-1.401432,-1.088473,-1.384912,-1.682819,-1.871329,0,33.85470069536362
2017-04-24,-0.217687,0.272109,-0.789116,1.183921,1.183921,-1.534694,-2.359184,-2.122449,-2.322449,-2.672109,-2.943311,1,34.25551350645961
2017-04-25,-0.271223,0.35259,-0.569569,0.326531,0.326531,-1.258476,-2.386764,-2.31263,-2.439653,-2.832655,-3.104602,0,34.36736824443988
2017-04-26,-0.406174,0.812348,-0.406174,0.162734,0.162734,-0.866504,-2.223125,-2.354003,-2.418088,-2.785811,-3.104071,0,34.42329561343002
2017-04-27,-1.496126,0.187016,-1.736575,1.353913,1.353913,-1.522843,-3.048357,-3.442871,-3.47315,-3.86428,-4.190934,1,34.88935702168117
2017-04-28,-0.138313,0.940526,-0.746888,-3.419717,-3.419717,1.869986,0.633472,-0.001844,-0.0,-0.362932,-0.705394,-1,33.696239816558226
2017-05-01,-0.550812,0.247866,-1.019003,0.4426,0.4426,1.178739,0.418617,-0.391077,-0.407601,-0.675296,-1.047462,0,33.8453794671986
2017-05-02,-1.622938,0.162294,-1.677035,1.817681,1.817681,-0.573438,-1.0495,-1.958345,-2.076008,-2.277522,-2.675142,1,34.46058052609011
2017-05-03,-0.703083,0.513791,-0.973499,0.027049,0.770982,-1.159644,-1.44552,-2.437335,-2.694349,-2.847483,-3.221572,1,34.72626537703071
2017-05-04,0.379919,0.705563,-0.569878,-0.351541,-0.351541,-0.975771,-0.843538,-1.824851,-2.229309,-2.337301,-2.72266,0,34.6041881866842
2017-05-05,0.108637,0.298751,-0.869093,-0.081411,-0.081411,-0.386194,-0.55413,-1.413477,-2.00625,-2.112816,-2.479506,0,34.57601652737346
2017-05-08,0.519978,0.848385,-0.164204,-0.760456,-0.760456,0.649738,0.224684,-0.416841,-1.149156,-1.282122,-1.582655,-1,34.313081040473286
2017-05-09,0.302447,1.044817,-0.247457,-0.465244,-0.465244,0.940335,0.630516,0.207014,-0.572415,-0.768242,-1.008871,0,34.15344163771246
2017-05-10,0.722022,1.027492,-0.222161,-0.989827,-0.989827,1.410719,1.456767,1.276399,0.49571,0.22356,0.043045,-1,33.81538172598366
2017-05-11,0.616419,0.868591,-0.672457,-0.888642,-0.888642,1.669936,1.95633,2.142816,1.44202,1.092742,0.975774,-1,33.51488402666917
2017-05-12,0.534759,0.59105,-0.365888,-0.448305,-0.448305,1.401632,2.316076,2.504868,1.974862,1.521641,1.434612,0,33.36463517701193
2017-05-15,-0.280662,0.252596,-0.589391,0.281452,0.281452,0.606231,1.913296,2.058377,1.746463,1.221663,1.133672,0,33.45854070804771
2017-05-16,-0.195422,0.195422,-1.116695,0.533258,0.533258,-0.234506,1.127862,1.372266,1.250609,0.7165,0.59043,0,33.63696121701568
2017-05-17,1.797945,2.711187,-0.057078,-2.177554,-2.177554,1.432648,2.825342,3.321122,3.41816,2.908688,2.737119,-1,32.90449807493661
2017-05-18,-0.085179,0.709824,-0.397501,0.513699,0.513699,0.647359,1.837024,2.427057,2.79125,2.366058,2.142721,0,33.073528030801015
2017-05-19,-0.706215,0.423729,-0.762712,0.511073,0.511073,0.062147,0.918079,1.815257,2.17651,1.891906,1.589075,0,33.24255798666542
2017-05-22,-0.810735,0.950517,-1.090299,1.045198,1.045198,-0.894604,-0.341068,0.71141,1.020547,0.89967,0.53881,1,33.590008451497795
2017-05-23,0.027886,0.362521,-0.836587,0.251607,0.251607,-1.121026,-0.733408,0.30303,0.664136,0.68593,0.316625,0,33.674523429429996
2017-05-24,-0.387597,0.166113,-0.636766,0.725042,0.725042,-1.234773,-1.417497,-0.577704,-0.134853,0.013784,-0.346059,1,33.918677810123015
2017-05-25,-0.3861,0.358522,-0.551572,0.387597,0.387597,-1.042471,-1.640927,-1.07005,-0.643665,-0.33408,-0.648728,0,34.0501455535731
2017-05-26,0.0,0.19305,-0.358522,0.0,0.0,-0.568119,-1.439603,-1.17301,-0.591697,-0.31112,-0.531957,0,34.0501455535731
2017-05-30,0.248756,0.718629,-0.248756,-0.220629,-0.220629,-0.121614,-1.069652,-1.020822,-0.352809,-0.123715,-0.223393,0,33.97502112874449
2017-05-31,0.553863,0.747715,-0.664636,-0.193477,-0.193477,0.210468,-0.797563,-0.87695,-0.24093,0.015861,0.025788,0,33.909287257019436
2017-06-01,0.0,0.027685,-0.885936,0.027693,0.027693,0.182724,-0.526024,-0.88409,-0.387597,-0.071338,0.041941,0,33.918677810123015
2017-06-02,-0.137665,0.027533,-0.881057,0.55371,0.55371,-0.335903,-0.770925,-1.314244,-1.009086,-0.71342,-0.471589,1,34.106488872194575
2017-06-05,-0.110072,0.440286,-0.38525,0.055066,0.055066,-0.346725,-0.566868,-1.21996,-1.129609,-0.717775,-0.499936,0,34.12526997840173
2017-06-06,0.083033,0.885691,-0.415167,-0.577876,-0.577876,0.204816,0.110711,-0.553557,-0.61168,-0.130963,0.046222,-1,33.9280683632266
2017-06-07,-0.358522,0.854937,-0.441258,0.359812,0.359812,-0.071704,-0.137893,-0.829197,-0.983177,-0.537231,-0.34352,0,34.0501455535731
2017-06-08,-0.383772,0.137061,-0.877193,0.606729,0.606729,-0.476974,-0.641447,-1.164108,-1.515899,-1.191886,-0.960726,1,34.25673772185181
2017-06-09,2.212265,2.380286,-1.120134,-2.110746,-2.110746,1.327359,1.346962,1.058527,0.610473,0.810977,1.040058,-1,33.53366513287633
2017-06-12,-0.391828,0.783655,-0.895606,0.056007,0.056007,0.929191,1.141898,1.063532,0.582144,0.632522,0.969215,0,33.55244623908348
2017-06-13,-0.557414,0.195095,-0.975474,0.419815,0.419815,0.367893,0.635452,0.661464,0.196488,0.138239,0.532058,0,33.693304535637154
2017-06-14,1.294681,1.463552,-0.872502,-0.975474,-0.975474,0.94568,1.463552,1.591144,1.142696,1.030115,1.412891,-1,33.36463517701193
2017-06-15,-0.283206,0.48145,-0.48145,-0.619195,-0.619195,0.911923,1.866327,2.071179,1.811102,1.580289,1.887095,-1,33.158043008733216
2017-06-16,0.198807,0.340812,-0.56802,-0.283206,-0.283206,0.914513,1.840386,2.162265,2.098836,1.814257,2.021206,0,33.064137477697436
2017-06-19,0.281611,0.281611,-0.535061,0.852031,0.852031,-0.061954,0.746269,1.158359,1.25176,0.951845,1.036328,1,33.34585407080477
2017-06-20,1.692484,1.692484,-0.057372,-1.83047,-1.83047,1.216294,2.26047,2.792121,3.00918,2.745841,2.75961,-1,32.735468119072216
2017-06-21,-0.722961,0.057837,-1.417004,-0.803213,-0.803213,1.486408,2.60266,3.329478,3.658184,3.434355,3.419125,-1,32.47253263217203
2017-06-22,0.582072,0.785797,-0.203725,-0.636206,-0.636206,1.583236,2.642608,3.649593,4.065774,4.017462,3.921226,-1,32.26594046389332
2017-06-23,0.058497,1.052939,-0.263235,-0.494761,-0.494761,1.491664,2.708394,3.749634,4.280491,4.414156,4.291703,0,32.1063010611325
2017-06-26,0.557675,1.291459,-0.117405,-0.35098,-0.35098,1.003816,2.582918,3.670874,4.326387,4.62577,4.516192,0,31.993614423889568
2017-06-27,1.040119,1.485884,0.0,-1.232756,-1.232756,1.545319,3.200594,4.473502,5.2526,5.679643,5.624567,-1,31.5992111935393
2017-06-28,-1.25731,0.116959,-1.345029,1.634473,1.634473,-0.309942,1.152047,2.391813,3.280702,3.785965,3.768031,1,32.115691614236084
2017-06-29,1.132976,1.669648,-0.596303,-1.929825,-1.929825,1.162791,2.614788,3.822302,4.928444,5.520572,5.660902,-1,31.495915109399945
2017-06-30,0.385299,0.56313,-0.622407,0.596303,0.596303,0.296384,1.570836,2.817625,3.924126,4.596325,4.888362,1,31.683726171471502
2017-07-03,0.149432,1.703527,-0.089659,-0.829876,-0.829876,0.77107,1.808129,3.225742,4.363419,5.13688,5.572823,-1,31.420790684571323
2017-07-05,-2.387886,0.262085,-2.475248,2.630006,2.630006,-1.409435,-0.952242,0.281499,1.428363,2.228305,2.728596,1,32.24715935768617
2017-07-06,1.457032,1.962533,-0.208147,-2.06756,-2.06756,0.333036,0.856378,2.022004,3.178709,4.091585,4.67638,-1,31.580430087332147
2017-07-07,-0.531287,0.708383,-0.531287,0.743384,0.743384,-0.206612,-0.029516,0.9878,2.033648,3.059032,3.683589,1,31.815193914921593
2017-07-10,-1.188707,0.267459,-1.248143,-0.678867,-0.678867,0.421991,0.493314,1.368995,2.424963,3.446062,4.13373,-1,31.5992111935393
2017-07-11,-0.825472,0.029481,-1.444575,0.802377,0.802377,-0.106132,-0.350825,0.249607,1.342866,2.337264,3.074882,1,31.8527561273359
2017-07-12,0.087591,0.408759,-0.905109,0.972877,0.972877,-1.121168,-1.135766,-0.835036,0.128467,1.131679,1.893917,1,32.16264437975397
2017-07-13,0.26285,0.46729,-0.350467,-0.029197,-0.029197,-0.735981,-1.09521,-0.872274,-0.030666,0.925234,1.741628,0,32.15325382665039
2017-07-14,-0.576701,0.086505,-1.182238,1.285047,1.285047,-1.534025,-2.021338,-2.068435,-1.38985,-0.56286,0.31238,1,32.56643816320781
2017-07-17,0.78329,0.78329,-0.319118,-0.605536,-0.605536,-0.45837,-1.212649,-1.417658,-0.896432,-0.100957,0.744609,-1,32.36923654803268
2017-07-18,-0.289603,0.144802,-0.810889,0.174064,0.174064,-0.278019,-1.074428,-1.500145,-1.210542,-0.413553,0.394826,0,32.42557986665415
2017-07-19,0.347222,0.347222,-0.289352,0.086881,0.086881,-0.185185,-1.096644,-1.410108,-1.339699,-0.652778,0.15625,0,32.45375152596488
2017-07-20,-0.604317,0.258993,-0.776978,0.549769,0.549769,-0.43741,-1.315108,-1.843645,-1.854676,-1.285755,-0.536211,0,32.63217203493286
2017-07-21,-0.547077,0.259142,-0.950187,-0.057554,-0.057554,-0.351281,-1.013533,-1.558691,-1.744889,-1.29571,-0.646895,0,32.6133909287257
2017-07-24,0.666667,0.869565,-0.347826,-0.662252,-0.662252,0.330435,-0.107246,-0.755556,-1.044928,-0.72,-0.101449,-1,32.39740820734341
2017-07-25,-0.346121,0.201904,-0.778771,0.492754,0.492754,-0.080761,-0.380733,-1.009518,-1.443611,-1.303721,-0.693203,0,32.557047610104235
2017-07-26,-0.143885,0.633094,-0.460432,0.230747,0.230747,-0.201439,-0.466187,-1.158753,-1.51223,-1.543597,-1.030216,0,32.63217203493286
2017-07-27,-0.543323,0.800686,-0.857878,0.633094,0.633094,-0.70346,-0.883615,-1.525117,-2.021733,-2.118387,-1.706224,1,32.83876420321157
2017-07-28,-0.509771,1.557632,-0.877938,0.972262,0.972262,-1.331068,-1.659587,-2.203342,-2.714528,-2.953271,-2.652695,1,33.158043008733216
2017-07-31,0.0,0.761207,-0.422893,0.453129,0.453129,-1.229208,-1.821257,-2.302415,-2.909501,-3.246687,-3.067381,0,33.30829185839046
2017-08-01,-1.898212,0.220083,-2.145805,2.48097,2.48097,-2.696011,-3.697387,-4.221917,-4.862448,-5.338102,-5.337001,1,34.13466053150531
2017-08-02,-0.84607,0.081878,-1.582969,0.797799,0.797799,-2.434498,-3.891921,-4.545124,-5.301583,-5.760917,-5.924309,1,34.406986571509066
2017-08-03,0.164429,0.274048,-0.931762,-0.409389,0.337798,-1.787127,-3.66772,-4.408827,-5.194192,-5.799238,-6.043024,0,34.523212579354194
2017-08-04,0.413223,0.716253,-0.550964,-0.520691,-0.520691,-0.582738,-2.659748,-3.563538,-4.329878,-4.974521,-5.349597,-1,34.34345345657871
2017-08-07,-0.1098,0.329399,-0.576448,0.358127,0.358127,-0.26546,-2.406801,-3.502018,-4.25533,-4.99067,-5.459101,0,34.466446540582986
2017-08-08,-0.10986,0.796484,-0.302115,-0.0549,-0.0549,-0.029029,-1.804394,-3.057703,-3.826111,-4.587022,-5.169716,0,34.44752452765925
2017-08-09,-0.847226,0.191309,-1.557803,0.49437,0.49437,-0.399016,-1.713863,-3.117843,-3.944615,-4.78247,-5.345561,0,34.61782264397287
2017-08-10,0.719424,1.162147,-0.083011,-1.229844,-1.229844,0.647482,-0.094248,-1.607362,-2.450431,-3.291335,-3.96454,-1,34.192077353188836
2017-08-11,1.08726,1.477558,-0.223028,-0.747095,-0.747095,1.165319,0.887184,-0.6068,-1.514283,-2.313344,-3.001931,-1,33.93663017871841
