date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,0.126103,0.607589,-1.432993,1.08935,1.08935,-0.713057,-0.757767,-1.345103,-1.84111,-3.09389,-4.266116,1,79.8736379452431
2017-01-04,0.057531,0.310666,-0.586814,-0.366846,0.184485,-0.836175,-0.716131,-1.323781,-1.785517,-2.857149,-4.073148,0,80.02099273540867
2017-01-05,0.812914,1.161305,-0.98711,-0.920492,-0.920492,0.105081,0.212785,-0.266405,-0.705801,-1.600483,-2.853314,-1,79.28440552808699
2017-01-06,0.313516,0.580585,-0.209011,0.011613,0.011613,0.25664,0.183429,-0.134289,-0.57145,-1.315059,-2.554092,0,79.29361286817851
2017-01-09,-0.522163,0.684614,-0.765839,0.06967,0.06967,0.271515,0.086779,-0.153281,-0.551997,-1.159114,-2.322021,0,79.34885690872764
2017-01-10,-0.416522,0.543793,-0.821474,0.290091,0.290091,-0.09256,-0.219031,-0.291105,-0.758056,-1.200697,-2.294717,0,79.57904041101567
2017-01-11,-0.74644,0.0,-1.343592,0.752054,0.752054,-0.799265,-0.914515,-0.873059,-1.337131,-1.741656,-2.672206,1,80.17751751696453
2017-01-12,0.602968,1.194341,-0.255102,-0.96463,-0.96463,0.197124,0.075652,0.106856,-0.263278,-0.644958,-1.42449,-1,79.40410094927675
2017-01-13,0.472895,1.695502,-0.692042,0.533395,0.533395,-0.200692,-0.307371,-0.391412,-0.651946,-1.029419,-1.679478,0,79.82763859348672
2017-01-17,1.651706,1.998803,-0.32316,-3.633218,-3.633218,2.932376,3.180127,3.135676,2.975376,2.64923,2.115575,-1,76.92732646465763
2017-01-18,-0.369311,0.345485,-1.084108,0.466786,0.466786,1.860853,2.365976,2.447535,2.465211,2.12086,1.751884,0,77.28641272822694
2017-01-19,0.912365,1.644658,-0.216086,-0.762449,-0.762449,1.735894,2.719088,2.966499,3.152827,2.859185,2.553587,-1,76.6971429623696
2017-01-20,-0.286841,0.191227,-0.454165,0.444178,0.444178,0.671686,1.973228,2.323607,2.554219,2.374518,2.117633,0,77.03781454575588
