date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,1.872597,1.989634,-0.551747,-1.725271,-1.725271,1.96957,2.511286,2.496795,1.959121,1.548556,1.214089,-1,111.05437598061516
2017-01-04,-0.401741,0.21761,-1.088048,-0.117037,-0.117037,1.488115,2.33763,2.490793,2.086542,1.62069,1.344024,0,110.92440095438806
2017-01-05,-0.300752,0.417711,-0.501253,0.184131,0.184131,0.803676,1.846282,2.136452,1.917711,1.40117,1.18902,0,111.12864742417351
2017-01-06,-1.515402,0.612786,-1.854919,0.885547,0.885547,-0.417357,0.751905,1.125097,1.057883,0.56045,0.355819,1,112.11274405132158
2017-01-09,0.274018,0.523125,-0.083036,-0.273269,-0.273269,-0.358715,0.754795,1.295358,1.33397,0.901104,0.66451,0,111.80637434664341
2017-01-10,0.174636,0.49896,-0.432432,-0.149464,-0.149464,-0.104782,0.665281,1.28122,1.443659,1.119002,0.829648,0,111.63926359863713
2017-01-11,0.041363,0.512905,-0.215089,0.523909,0.523909,-0.393779,-0.040536,0.636995,0.879385,0.644606,0.304158,0,112.2241512166591
2017-01-12,-1.474201,0.17199,-1.556102,1.009265,1.009265,-0.995905,-1.086814,-0.435708,-0.152334,-0.267649,-0.659296,1,113.35679073092385
2017-01-13,0.609053,0.609053,-0.329218,-0.4914,-0.4914,-0.385185,-0.704527,-0.036214,0.285597,0.276872,-0.107545,0,112.79975490423627
2017-01-17,-1.629328,0.040733,-1.670061,1.028807,1.028807,-1.021589,-1.631772,-1.106857,-0.719756,-0.669328,-1.008554,1,113.9602462098354
2017-01-18,0.081493,0.23633,-0.741586,-0.032587,-0.032587,-0.588379,-1.347893,-1.097982,-0.708989,-0.589683,-0.854861,0,113.92311048805622
2017-01-19,0.049108,0.671141,-0.114585,-0.431913,-0.431913,0.055656,-0.698969,-0.717521,-0.311426,-0.14405,-0.345938,0,113.43106217448221
2017-01-20,0.0,0.564371,-0.196303,0.065477,0.065477,0.016359,-0.554556,-0.805387,-0.420416,-0.223131,-0.32908,0,113.50533361804055
2017-01-23,0.255396,0.576701,-1.28522,-0.719778,-0.719778,0.7217,0.217499,-0.163673,0.227385,0.452134,0.433624,-1,112.68834773889874
2017-01-24,0.760017,0.834366,-0.437836,-0.271873,-0.271873,0.715407,0.541925,0.071596,0.390335,0.682693,0.723943,0,112.38197803422058
2017-01-25,-0.246326,0.106741,-0.689712,0.611318,0.611318,-0.047623,0.057476,-0.417659,-0.275064,0.023319,0.126447,1,113.06898888713528
2017-01-26,-0.01641,0.41024,-0.098457,0.073898,0.073898,-0.17066,0.065638,-0.359917,-0.397522,-0.086971,0.05634,0,113.1525442611384
2017-01-27,-0.480221,0.105811,-1.12323,0.80407,0.80407,-0.869282,-0.670682,-0.983233,-1.184682,-0.899235,-0.736882,1,114.06236944472813
2017-01-30,-0.170704,0.154446,-0.585271,0.13023,0.13023,-0.731588,-0.676313,-0.989541,-1.303853,-1.033328,-0.861107,0,114.21091233184481
2017-01-31,0.367137,0.628212,-0.383454,-0.365794,-0.365794,-0.119116,-0.326344,-0.509641,-0.906829,-0.707514,-0.49142,0,113.79313546182912
2017-02-01,-0.424767,0.065349,-0.588139,-0.122379,-0.122379,0.106192,-0.227904,-0.269564,-0.67105,-0.609378,-0.391821,0,113.65387650515723
2017-02-02,-0.551858,0.616783,-0.779094,0.653488,0.653488,-0.326246,-0.791268,-0.790456,-1.164178,-1.249797,-1.0323,1,114.39659094074068
2017-02-03,-0.748551,0.217321,-0.772698,0.827788,0.827788,-0.922408,-1.446394,-1.490127,-1.792901,-2.010303,-1.820401,1,115.34355184610958
2017-02-06,-0.289273,0.361591,-0.401768,0.169028,0.169028,-0.859783,-1.36601,-1.498326,-1.810366,-2.122298,-1.952056,0,115.53851438545024
2017-02-07,0.288948,0.666185,0.0,0.112495,0.112495,-0.646922,-1.192712,-1.510555,-1.753752,-2.14014,-2.038954,0,115.66848941167734
2017-02-08,-0.072191,0.553461,-0.144381,0.064211,0.064211,-0.349723,-1.025106,-1.468945,-1.639528,-2.040908,-2.060907,0,115.74276085523569
2017-02-09,0.152635,0.417738,-0.096401,-0.152402,-0.152402,0.00482,-0.665167,-1.195373,-1.344794,-1.73072,-1.873661,0,115.56636617678461
2017-02-10,-0.906056,0.230488,-1.033222,1.076478,1.076478,-0.809092,-1.48784,-2.059026,-2.247655,-2.582737,-2.835532,1,116.81041285638688
2017-02-13,0.382348,0.908077,-0.039828,-0.22254,-0.22254,-0.414211,-1.067389,-1.61967,-1.868727,-2.213159,-2.545802,0,116.55046280393269
2017-02-14,-0.246403,0.206661,-0.429219,0.215071,0.215071,-0.433988,-1.022176,-1.578571,-1.957714,-2.251967,-2.646583,0,116.8011289259421
2017-02-15,-0.648324,0.245098,-0.814358,0.532549,0.532549,-0.675206,-1.22549,-1.85273,-2.328036,-2.572739,-2.981499,0,117.42315226574324
2017-02-16,0.039463,0.883978,-0.307814,0.173941,0.173941,-0.497238,-1.122336,-1.769534,-2.319258,-2.558169,-2.960011,0,117.62739873552869
2017-02-17,-0.798122,0.062598,-0.876369,0.868193,0.868193,-1.043818,-1.694836,-2.357329,-2.943271,-3.218466,-3.583985,1,118.64863108445593
2017-02-21,-0.687285,0.218682,-0.687285,0.187793,0.187793,-0.8388,-1.598719,-2.278975,-2.86512,-3.195564,-3.575185,0,118.87144541513095
2017-02-22,-0.258115,0.203363,-1.134142,-0.148391,-0.148391,-0.372311,-1.197497,-1.858428,-2.45483,-2.892139,-3.23843,0,118.69505073667989
2017-02-23,-0.265066,0.491151,-0.647073,0.32851,0.32851,-0.419428,-1.240352,-1.875731,-2.521634,-3.036719,-3.346846,0,119.0849758153612
2017-02-24,-0.225418,0.069957,-0.699572,0.29625,0.29625,-0.410416,-1.207928,-1.884182,-2.546444,-3.121959,-3.431014,0,119.43776517226334
2017-02-27,0.54335,0.598472,-0.165367,-1.290323,-0.563797,0.173742,-0.483259,-1.135849,-1.795933,-2.395541,-2.731701,-1,118.76437910330507
2017-02-28,-0.446533,0.21935,-0.83823,0.519726,0.519726,-0.258724,-0.760647,-1.432402,-2.087124,-2.675929,-3.050839,0,119.38162841591381
2017-03-01,-0.79814,0.736149,-1.108098,1.096749,1.096749,-1.010023,-1.51495,-2.224286,-2.863569,-3.45637,-3.916699,1,120.69094513962928
2017-03-02,0.639476,1.232161,-0.062388,-0.635413,-0.635413,-0.23707,-0.676621,-1.366592,-1.980982,-2.61035,-3.135471,-1,119.92405963002449
2017-03-03,0.258014,0.594214,-0.359656,-0.25735,-0.25735,0.050039,-0.254151,-0.886433,-1.509928,-2.142949,-2.713207,0,119.61543497372014
2017-03-06,-0.101539,0.242131,-0.492072,0.101642,0.101642,0.110912,-0.264533,-0.824125,-1.426471,-2.052741,-2.638508,0,119.73701438377942
2017-03-07,-0.007808,0.187398,-0.570001,0.031243,0.031243,0.145233,-0.220294,-0.675654,-1.28043,-1.897533,-2.471711,0,119.77442343302843
2017-03-08,-0.015614,0.210789,-0.484035,0.015616,0.015616,-0.020298,-0.144209,-0.524654,-1.123687,-1.712506,-2.280718,0,119.79312795765294
2017-03-09,-0.148275,0.45263,-0.351178,0.039035,0.039035,-0.073357,-0.120179,-0.429026,-0.991327,-1.544382,-2.130516,0,119.8398892692142
2017-03-10,0.453196,0.476637,-0.203157,-0.124863,-0.124863,0.064073,0.025785,-0.189644,-0.695273,-1.244381,-1.826087,0,119.69025307221816
2017-03-13,0.313455,0.517201,-0.203746,-0.289108,-0.289108,0.288379,0.364392,0.138609,-0.301188,-0.823955,-1.393912,0,119.34421936666479
2017-03-14,-0.117371,0.336463,-0.234742,0.148891,0.148891,0.097027,0.226917,0.026014,-0.325104,-0.838088,-1.392391,0,119.5219123505976
2017-03-15,0.258054,0.328433,-0.320613,0.062598,0.062598,0.001564,0.072724,0.013702,-0.270583,-0.76874,-1.292324,0,119.59673044909562
2017-03-16,0.250039,0.718862,-0.039069,0.078198,0.078198,-0.101578,-0.025004,-0.030733,-0.253802,-0.714353,-1.20134,0,119.69025307221816
2017-03-17,-0.054415,1.041667,-0.17102,0.515706,0.515706,-0.511505,-0.48041,-0.495439,-0.654174,-1.066113,-1.544464,0,120.30750238482686
2017-03-20,0.163069,0.543563,-0.240721,0.108831,0.108831,-0.437956,-0.530362,-0.510949,-0.687872,-1.053173,-1.510488,0,120.43843405719842
2017-03-21,0.544662,0.957049,-0.26455,-0.201895,-0.201895,-0.124494,-0.294118,-0.26455,-0.43189,-0.731704,-1.182097,0,120.19527523707985
2017-03-22,-0.402789,0.03873,-0.534469,0.451292,0.451292,-0.384198,-0.663826,-0.710044,-0.794623,-1.047264,-1.486099,0,120.73770645119053
2017-03-23,0.108527,0.457364,-0.147287,-0.077459,-0.077459,-0.148837,-0.520155,-0.593282,-0.6531,-0.863762,-1.274308,0,120.644183828068
2017-03-24,0.030926,0.262873,-0.139168,0.263566,0.263566,-0.303077,-0.676512,-0.780372,-0.851245,-1.01409,-1.38514,0,120.96216074668462
2017-03-27,-0.316627,0.254846,-0.362962,0.115973,0.115973,-0.308904,-0.646382,-0.820141,-0.869565,-1.047705,-1.381237,0,121.10244468136842
2017-03-28,0.007725,0.2472,-0.393975,-0.03089,-0.03089,-0.134415,-0.488219,-0.718424,-0.769409,-0.944652,-1.226462,0,121.06503563211939
2017-03-29,0.124185,0.64421,-0.162993,-0.471224,-0.471224,0.298044,0.057436,-0.209562,-0.307746,-0.415932,-0.65664,0,120.49454763107195
