date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,0.438079,1.095198,-0.466161,-0.291202,-0.291202,0.199944,0.265094,0.112702,-0.376299,-0.93412,-1.304877,0,163.9442377812972
2017-01-04,-0.162629,0.325258,-0.398161,0.151643,0.151643,-0.019067,0.122252,-0.088231,-0.339278,-0.953567,-1.35412,0,164.19284740893522
2017-01-05,0.309493,0.804682,-0.461426,-0.342082,-0.342082,0.282483,0.413032,0.212706,0.169096,-0.502392,-0.899405,0,163.63117380575304
2017-01-06,-0.527408,0.207597,-1.363407,0.292612,0.292612,-0.030298,0.108848,-0.018702,-0.061999,-0.647029,-1.07034,0,164.10997753305588
2017-01-09,0.620522,0.626163,-0.039488,-0.53863,-0.53863,0.364416,0.542111,0.569752,0.518418,-0.004287,-0.440195,-1,163.22603219034292
2017-01-10,0.441726,0.515347,-0.152905,-0.389237,-0.389237,0.590101,0.812097,0.92989,0.857119,0.480462,0.007173,0,162.59069647526798
2017-01-11,-0.708303,0.314801,-0.843218,0.741873,0.741873,-0.198999,0.011805,0.176514,0.065209,-0.1185,-0.628291,1,163.7969135575117
2017-01-12,-0.264878,0.146528,-0.952435,-0.252965,-0.252965,0.02367,0.229373,0.385107,0.279813,0.261948,-0.288548,0,163.382564178115
2017-01-13,0.107109,0.293139,-0.315689,-0.028179,-0.028179,-0.042843,0.200124,0.374316,0.330346,0.320424,-0.154274,0,163.33652535818203
2017-01-17,-0.146677,0.23694,-0.569784,-0.073285,-0.073285,0.029335,0.199707,0.374967,0.438903,0.425138,0.006018,0,163.2168244263563
2017-01-18,-0.330551,0.532243,-0.621884,0.693896,0.693896,-0.445963,-0.466133,-0.326442,-0.224102,-0.266906,-0.569967,1,164.34937939670732
2017-01-19,0.319006,0.626819,-0.514887,0.106449,0.106449,-0.463398,-0.551824,-0.441385,-0.315648,-0.394448,-0.543989,0,164.5243269124526
2017-01-20,0.397781,0.543448,-0.369769,-0.106335,-0.106335,-0.239789,-0.402263,-0.320093,-0.214018,-0.296039,-0.313183,0,164.34937939670732
2017-01-23,-0.336116,0.268892,-0.773066,0.011205,0.011205,-0.125483,-0.397737,-0.327526,-0.222957,-0.264411,-0.278416,0,164.3677949246805
2017-01-24,0.869466,1.017219,-0.880832,-1.422889,-1.422889,1.169518,0.966074,1.012673,1.125476,1.174064,1.162698,-1,162.02902287208576
2017-01-25,0.203701,1.075086,-0.090534,0.431892,0.431892,0.53528,0.540372,0.52849,0.633452,0.722684,0.694468,0,162.72881293506686
2017-01-26,-0.288429,0.231874,-0.441127,0.050925,0.050925,0.273725,0.428685,0.420767,0.522848,0.641104,0.590054,0,162.8116828109462
2017-01-27,0.0,0.281722,-0.366238,0.373261,0.373261,-0.212982,0.057471,0.03869,0.132128,0.240478,0.190632,0,163.41939523406137
2017-01-30,1.043211,1.31684,-0.313533,-1.160694,-1.160694,0.606544,1.120169,1.106677,1.22278,1.348991,1.344773,-1,161.52259585282312
2017-01-31,-0.045761,0.366091,-0.577737,-0.342036,-0.342036,0.820272,1.327651,1.360256,1.462933,1.596614,1.669717,0,160.9701300136275
2017-02-01,0.0,0.359651,-0.49666,0.200206,0.200206,0.440715,0.935662,1.10407,1.177999,1.311868,1.423189,0,161.29240175315826
2017-02-02,-0.028706,0.344471,-0.361695,-0.565165,-0.565165,0.708463,1.251005,1.536724,1.634229,1.778849,1.923489,-1,160.38083311848553
2017-02-03,-0.582724,0.148537,-0.679845,0.493742,0.493742,-0.065128,0.556444,0.94645,1.058615,1.209324,1.353976,0,161.17270082133257
2017-02-06,-0.55968,0.628212,-0.685323,0.034278,0.034278,-0.135922,0.327242,0.824672,0.934609,1.099029,1.255854,0,161.2279474052521
2017-02-07,0.182066,0.364133,-0.347064,0.376927,0.376927,-0.40396,-0.061447,0.389167,0.512631,0.655439,0.810385,0,161.83565982836728
2017-02-08,-0.818885,0.299317,-0.892302,0.745335,0.745335,-0.926187,-0.781612,-0.406995,-0.217146,-0.111368,0.032944,1,163.04187691061102
2017-02-09,-0.735212,0.207655,-0.735212,0.626871,0.626871,-1.094399,-1.323381,-1.046133,-0.830621,-0.736783,-0.604071,1,164.06393871312292
2017-02-10,-0.391061,0.324022,-0.452514,0.460209,0.460209,-1.105028,-1.690503,-1.480447,-1.241341,-1.162682,-1.042272,0,164.8189753600236
2017-02-13,-0.640813,0.198873,-0.972268,1.128492,1.128492,-1.554524,-2.478179,-2.487386,-2.243122,-2.203955,-2.098479,1,166.6789436853155
2017-02-14,-0.407489,0.220264,-0.523128,0.320407,0.320407,-1.225771,-2.4163,-2.592144,-2.435848,-2.420925,-2.355543,0,167.2129939965379
2017-02-15,-0.770501,0.071547,-0.853054,0.055066,0.706948,-1.283358,-2.679535,-3.051608,-3.000608,-2.96804,-2.952889,1,168.39510291841594
2017-02-16,-0.905076,0.027261,-0.975956,0.941112,0.941112,-1.507654,-3.022173,-3.674354,-3.744493,-3.727206,-3.744211,1,169.97988897229868
2017-02-17,0.262367,0.355288,-0.229571,-0.250804,-0.250804,-0.701532,-2.284046,-3.190969,-3.349006,-3.33956,-3.385759,0,169.5535722560495
2017-02-21,-0.3163,0.136336,-0.725309,0.229571,0.229571,-0.544855,-1.995048,-3.082389,-3.406354,-3.405462,-3.492642,0,169.9428179534944
2017-02-22,-1.41905,0.043002,-1.591056,1.456072,1.456072,-1.368523,-2.787868,-4.030712,-4.491388,-4.578316,-4.699997,1,172.4173084586797
2017-02-23,-0.683797,0.144238,-0.790641,0.618147,0.618147,-1.387895,-2.783231,-4.15183,-4.768192,-4.953942,-5.076183,1,173.4831002493026
2017-02-24,-0.314818,0.533589,-0.592284,0.117528,0.117528,-1.076784,-2.343308,-3.753612,-4.566912,-4.854501,-4.997807,0,173.6869908527261
2017-02-27,0.31566,0.342411,-0.283559,-0.266795,-0.266795,-0.388422,-1.596879,-3.032355,-4.028628,-4.395059,-4.554298,0,173.22360311767267
2017-02-28,0.203917,0.617118,-0.021465,-0.299609,-0.299609,0.230749,-0.952268,-2.297941,-3.416492,-3.914668,-4.086663,0,172.70460885441284
