date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,-1.135947,0.164896,-1.557347,2.248033,2.248033,-1.509711,-1.958593,-2.902162,-3.897948,-4.674973,-5.491633,1,47.18555212628922
2017-01-04,0.055026,0.531915,-0.348496,-0.10993,-0.10993,-1.078503,-1.555393,-2.457814,-3.354732,-4.320616,-4.993275,0,47.133680870745486
2017-01-05,0.256223,0.347731,-0.622255,0.220103,0.220103,-0.856515,-1.493411,-2.393851,-3.175329,-4.261347,-4.815764,0,47.23742338183296
2017-01-06,0.769808,0.976342,-0.300413,-2.525622,-1.484004,0.67006,0.150056,-0.651192,-1.489311,-2.527209,-3.11325,-1,46.536418286033836
2017-01-09,1.025057,1.11997,-0.018983,-1.088997,-1.088997,1.726941,1.176242,0.622047,-0.206297,-1.200646,-1.857911,-1,46.029637914161896
2017-01-10,-0.132676,0.75815,-1.402578,0.15186,0.15186,1.101532,0.956028,0.601222,-0.185664,-1.086873,-1.840832,0,46.09953865510975
2017-01-11,0.304994,0.552802,-0.419367,-0.568613,-0.568613,1.114101,1.416536,1.19043,0.504016,-0.274483,-1.160007,-1,45.837410876555296
2017-01-12,-0.474563,0.398633,-0.778284,0.419367,0.419367,0.167046,0.955993,0.783237,0.167211,-0.474365,-1.429852,0,46.029637914161896
2017-01-13,0.323501,0.666032,-0.266413,-0.246773,-0.246773,0.144624,1.087416,1.050326,0.554484,-0.097746,-0.984446,0,45.91604921012163
2017-01-17,-0.360258,0.284414,-0.455063,0.36156,0.36156,-0.193402,0.708904,0.642958,0.33233,-0.294542,-1.126438,0,46.082063469872786
2017-01-18,0.516746,1.129187,-0.076555,-0.929086,-0.929086,0.547368,1.317864,1.476747,1.324218,0.740354,-0.009943,-1,45.65392143156718
2017-01-19,0.362872,0.534759,-0.343774,0.210526,0.210526,0.297937,0.802576,1.172797,1.112251,0.616358,-0.020362,0,45.75003495037048
2017-01-20,-0.227618,0.91047,-0.30349,0.687548,0.687548,-0.371775,-0.140364,0.462338,0.437134,-0.001386,-0.520194,1,46.06458828463582
2017-01-23,0.095402,0.55333,-0.438848,-0.588012,-0.588012,0.164091,0.288113,0.95966,1.031215,0.69129,0.168279,-1,45.79372291346288
2017-01-24,0.27933,1.336792,-0.65842,-4.369395,-4.369395,3.695132,4.359537,5.213988,5.3518,5.200752,4.713784,-1,43.79281420383056
2017-01-25,-0.542495,0.341571,-1.868596,-0.698324,-0.698324,3.427768,4.492666,5.386892,5.756882,5.784053,5.371433,-1,43.486998462183706
2017-01-26,-0.753257,0.712541,-1.241857,-1.306008,-1.306008,3.477199,5.19544,6.126803,6.753985,6.920806,6.623787,-1,42.91905494198239
2017-01-27,-0.504032,0.262097,-0.665323,0.977199,0.977199,1.217742,3.556452,4.5,5.390743,5.647511,5.443665,1,43.33845938766951
2017-01-30,0.243063,0.951995,-0.384849,-0.46371,-0.46371,0.457768,3.394774,4.461549,5.496695,5.893392,5.819163,0,43.13749475744443
2017-01-31,0.40808,0.938584,-0.163232,-0.729188,-0.729188,0.742706,3.393185,4.729647,5.883367,6.338824,6.443271,-1,42.82294142317909
2017-02-01,1.963216,2.025212,-0.289316,-1.265048,-1.265048,1.463112,3.920231,5.46945,6.660037,7.310933,7.577879,-1,42.28121068083322
2017-02-02,0.538525,0.642088,-0.787075,-0.22732,-0.22732,1.346313,3.31193,5.13256,6.316517,7.158339,7.541943,0,42.18509716202992
2017-02-03,-0.2676,0.082338,-0.514615,0.621375,0.621375,0.300535,1.821737,3.920681,5.095718,6.142954,6.604854,1,42.44722494058437
2017-02-06,1.332501,1.332501,-0.187383,-1.132153,-1.132153,0.89111,2.075786,4.483309,5.754737,6.9302,7.521632,-1,41.96665734656788
2017-02-07,0.187344,0.249792,-0.499584,0.02082,0.02082,0.466278,1.621565,3.809326,5.249792,6.510305,7.149351,0,41.97539493918636
2017-02-08,-0.454827,0.413479,-0.558197,0.686928,0.686928,-0.227414,0.638826,2.566329,4.077941,5.317829,6.091517,1,42.26373549559625
2017-02-09,-0.901455,0.307314,-0.901455,0.909655,0.909655,-0.90965,-0.331899,1.156867,2.765827,3.947739,4.844031,1,42.64818957080946
2017-02-10,-0.081666,0.285831,-0.592078,0.348289,0.348289,-1.090241,-0.80441,0.29672,2.031441,3.171907,4.215066,0,42.79672864532364
2017-02-13,-0.576725,0.144181,-0.968074,-0.877909,-0.877909,0.0,-0.094748,0.654995,2.523172,3.697631,4.82076,-1,42.42101216272892
2017-02-14,0.082867,0.414336,-0.58007,-0.576725,-0.576725,0.675368,0.331469,0.983358,2.654858,3.933706,5.114893,-1,42.17635956941144
2017-02-15,-0.166389,0.041597,-0.582363,-0.393619,-0.393619,0.952579,0.663478,1.148087,2.626872,3.955075,5.119651,0,42.01034530966028
2017-02-16,-0.88733,0.123813,-1.176228,0.790349,0.790349,0.016508,-0.088733,0.264135,1.419728,2.80974,3.918165,1,42.34237382916259
