date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,0.055012,0.495104,-0.814171,0.697984,0.697984,-0.418088,-0.400484,-0.137896,-0.874684,-1.601936,-2.140316,1,80.23056688381618
2017-01-04,1.368339,1.401713,-0.155746,-1.100231,-1.100231,0.498387,0.64857,0.892202,0.362109,-0.355101,-0.880706,-1,79.34784527655668
2017-01-05,1.852061,1.976285,-0.124224,-1.490711,-1.490711,1.623941,1.959345,2.115566,1.936759,1.272501,0.696781,-1,78.16499832282895
2017-01-06,0.327684,0.542373,-0.768362,-0.056465,-0.056465,1.263277,1.815819,2.016573,2.018644,1.383955,0.822222,0,78.12086224246598
2017-01-09,1.355699,1.355699,-0.56296,-1.649718,-1.649718,2.221967,3.08364,3.432904,3.656365,3.075368,2.517999,-1,76.8320886958671
2017-01-10,1.443035,1.605958,-0.023275,-1.275276,-1.275276,2.38799,3.858955,4.36169,4.816711,4.355173,3.796113,-1,75.85226771180906
2017-01-11,-1.048266,0.161272,-1.094344,1.024089,1.024089,0.640479,2.352264,3.026533,3.513996,3.266444,2.756979,1,76.62906272619742
2017-01-12,1.077137,1.20454,-0.312717,-0.541412,-0.541412,0.676396,2.450776,3.271562,3.716122,3.772064,3.333333,-1,76.21418357078545
2017-01-13,-0.092646,0.382166,-0.208454,0.011582,0.011582,0.166763,1.97568,2.956186,3.459178,3.680371,3.284694,0,76.22301078685804
2017-01-17,-0.892857,0.034341,-1.270604,1.169658,1.169658,-0.91804,0.464744,1.498016,2.061012,2.437729,2.095162,1,77.11455961019014
2017-01-18,0.904033,1.309689,-0.266574,-1.236264,-1.236264,0.403338,1.187993,2.426209,3.05459,3.59388,3.343764,-1,76.16122027434987
2017-01-19,1.463472,1.616901,-0.165231,-1.796477,-1.796477,1.749085,2.430072,3.826272,4.604036,5.19391,5.126087,-1,74.79300178309765
2017-01-20,-0.523926,0.0815,-0.977995,1.369055,1.369055,0.270113,0.736989,2.081732,2.927,3.461637,3.641479,1,75.81695884751868
2017-01-23,0.835589,1.070966,-0.258915,-1.071138,-1.071138,1.030952,1.412263,2.764897,3.728963,4.317759,4.642031,-1,75.00485496883992
2017-01-24,-0.129275,0.446586,-0.305559,0.141226,0.141226,0.354918,1.040075,2.21491,3.243037,3.89799,4.367924,0,75.11078156171108
2017-01-25,0.0,0.632763,-0.105461,0.293807,0.293807,-0.159363,0.674947,1.481915,2.625967,3.319897,3.919225,0,75.33146196352595
2017-01-26,0.10514,0.268692,-0.560748,0.304664,0.304664,-0.259346,0.227804,0.839564,2.013435,2.780841,3.394081,0,75.56096958141342
2017-01-27,-0.245585,0.280669,-0.549643,-0.10514,-0.10514,-0.243246,0.23623,0.708689,1.84072,2.65887,3.227303,0,75.48152463676007
2017-01-30,0.65991,0.695263,-0.80132,-0.760145,-0.760145,0.494933,0.828423,1.194124,2.297313,3.189724,3.793307,-1,74.90775559204138
2017-01-31,1.370843,1.406604,-0.905948,-1.143059,-1.143059,1.370843,1.580641,2.113879,3.100489,4.050066,4.715302,-1,74.05151563299967
2017-02-01,1.278032,1.470943,-0.482276,-1.132435,-1.132435,1.953219,2.341452,3.043164,3.802146,4.867133,5.583554,-1,73.21293010610313
2017-02-02,-0.287597,0.095866,-1.07849,0.614902,0.614902,0.814859,1.562612,2.144997,2.781905,3.876333,4.659876,1,73.66311812580548
2017-02-03,0.191525,0.215466,-0.7661,0.107849,0.107849,0.234618,1.171894,1.811507,2.371319,3.440747,4.272205,0,73.74256307045884
2017-02-06,0.288081,0.408114,-0.456128,-0.275317,-0.275317,0.139239,1.251951,1.849318,2.342456,3.388309,4.281199,0,73.53953710078916
2017-02-07,0.555757,1.026942,-0.386614,-0.648181,-0.648181,0.521928,1.632234,2.144094,2.752205,3.700858,4.635335,-1,73.06286743286903
2017-02-08,0.62592,0.785469,-0.380461,-1.558536,-0.65883,1.014599,1.92738,2.492714,3.208341,3.967058,4.985287,-1,72.58150721539283
2017-02-09,-0.439883,0.256598,-0.439883,0.441826,0.441826,0.361501,1.114314,1.868958,2.498737,3.156065,4.194047,0,72.90219134152859
2017-02-10,-0.315075,0.302957,-0.472613,0.83089,0.83089,-0.52936,0.012602,0.820101,1.470025,2.052596,3.054212,1,73.50792802422946
2017-02-13,-0.277108,0.216867,-0.783133,0.581677,0.581677,-0.9975,-0.697284,0.140623,0.728514,1.23598,2.195918,1,73.93550685907714
2017-02-14,0.108669,0.338083,-0.917653,-0.216867,-0.216867,-0.58923,-0.518919,0.237575,0.721114,1.290262,2.151486,0,73.77516479600925
2017-02-15,-0.625301,0.02405,-0.841751,0.410529,0.410529,-0.591631,-0.808865,-0.285049,0.168708,0.780333,1.45699,0,74.0780331373597
2017-02-16,0.996355,1.360875,-0.157959,-1.034151,-1.034151,0.558931,0.17974,0.552414,1.114418,1.652459,2.242733,-1,73.31195439159094
2017-02-17,0.40362,0.52593,-0.391389,-0.656136,-0.656136,1.037182,0.716225,0.973907,1.577251,2.138028,2.673885,-1,72.83092820238731
2017-02-21,0.280865,0.317499,-0.720479,0.159002,0.159002,0.605691,0.475073,0.634391,1.274927,1.796231,2.274457,0,72.94673080349189
2017-02-22,0.889658,0.95144,-0.074138,-1.172304,-1.172304,1.332015,1.532188,1.646881,2.26686,2.725048,3.268457,-1,72.09157313379654
2017-02-23,-0.440205,0.538029,-0.917095,1.05029,1.05029,-0.058694,0.513573,0.557062,1.033523,1.475468,2.05768,1,72.84874398717264
2017-02-24,0.641342,0.888012,-0.394672,-0.855955,-0.855955,0.503207,1.287617,1.29249,1.674861,2.20934,2.735542,-1,72.22519151968643
2017-02-27,-0.502821,0.208487,-0.895266,0.567341,0.567341,-0.117734,0.596026,0.619398,0.905322,1.457503,1.991713,1,72.6349545697488
2017-02-28,0.258239,0.823906,-0.332022,-0.269806,-0.269806,0.012297,0.661584,0.790324,1.007904,1.590298,2.093513,0,72.43898093711027
2017-03-01,-1.589978,0.373404,-1.589978,2.090507,2.090507,-1.532161,-1.375572,-1.193287,-1.067073,-0.552571,-0.139543,1,73.95332264386245
2017-03-02,-0.60024,1.140456,-0.612245,0.337268,0.337268,-1.498199,-1.690276,-1.379752,-1.332925,-0.947693,-0.563187,0,74.20274363085693
