date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,0.955014,1.03041,-0.256346,-0.832419,-0.832419,0.142749,-1.361146,-2.615733,-3.239256,-4.5334,-5.81151,-1,196.84571926109882
2019-04-12,0.165938,0.638608,-1.337557,-0.040211,-0.040211,0.371097,-0.872932,-2.31441,-2.879771,-3.972847,-5.373024,0,196.76656541570608
2019-04-15,-0.326256,0.311198,-0.612358,0.181023,0.181023,0.102394,-0.651006,-2.139905,-2.77393,-3.738192,-5.152838,0,197.12275771997346
2019-04-16,0.105395,1.06399,-0.346299,0.010039,0.010039,0.067252,-0.398494,-1.732831,-2.464492,-3.379674,-4.765537,0,197.14254618132165
2019-04-17,-1.767341,0.123074,-2.225176,1.947302,1.947302,-1.597007,-1.917984,-3.128702,-3.959041,-4.803426,-6.115132,1,200.9815076828701
2019-04-18,-0.362994,0.142254,-0.657314,0.359376,0.359376,-1.467674,-1.868439,-2.980477,-4.087854,-4.749338,-5.938553,0,201.70378652207899
2019-04-22,-0.831174,0.20046,-1.070748,0.328657,0.328657,-1.236982,-1.821738,-2.823058,-4.072508,-4.701315,-5.731352,0,202.36669997724326
2019-04-23,-1.470021,0.130133,-1.725468,1.442331,1.442331,-1.845961,-2.861963,-3.682925,-4.984818,-5.681126,-6.612525,1,205.28549802610095
2019-04-24,0.096544,0.637189,-0.053099,-0.154232,-0.154232,-0.930682,-2.342151,-3.111283,-4.346399,-5.137092,-6.04589,0,204.96888264452994
2019-04-25,0.755066,1.208106,-0.077942,-0.907511,-0.907511,0.186087,-1.220772,-1.901468,-3.060941,-3.934723,-4.802708,-1,203.1087672778003
2019-04-26,0.293686,0.342633,-1.067058,-0.477397,-0.477397,0.709741,-0.485071,-1.149943,-2.214635,-3.293588,-4.010442,0,202.1391326717391
2019-04-29,-0.102634,0.664679,-0.366551,0.151738,0.151738,0.564977,-0.35531,-1.051757,-2.004545,-3.175016,-3.85465,0,202.44585382263602
2019-04-30,1.19101,1.360443,-0.777396,-1.925615,-1.925615,1.860766,1.672896,0.909952,0.154482,-1.036129,-1.756781,-1,198.547526937043
2019-05-01,-0.304009,2.275318,-0.612768,4.908556,4.908556,-2.585978,-2.548926,-3.462537,-4.139749,-5.215656,-5.973621,1,208.29334415102554
2019-05-02,0.329907,1.67344,-0.487688,-0.65077,-0.65077,-1.577815,-1.622759,-2.558291,-3.181927,-4.199283,-5.023189,-1,206.93783454867466
2019-05-03,-0.406139,0.042503,-0.717828,1.243127,1.243127,-2.082645,-2.458087,-3.351751,-3.991499,-4.940543,-5.927115,1,209.51033452393906
2019-05-06,-2.009785,0.172678,-2.388718,-1.544274,-1.544274,-0.175556,-0.73868,-1.528524,-2.210284,-3.094014,-4.172902,-1,206.27492109351036
2019-05-07,1.488711,2.247856,-1.00069,-2.695702,-2.695702,2.805876,1.783496,1.318808,0.566893,-0.180223,-1.286109,-1,200.71436345466958
2019-05-08,-0.492854,1.202563,-0.566782,0.019718,0.019718,2.0345,1.553475,1.418761,0.630853,-0.02484,-1.040907,0,200.75394037736595
2019-05-09,-0.159426,0.478278,-2.022718,-1.074421,-1.074421,2.30271,2.429255,2.440215,1.726285,1.167995,0.237312,-1,198.59699809041345
2019-05-10,0.121716,0.846942,-2.236535,-1.763651,-1.385072,2.344193,3.546584,3.679623,3.129541,2.634392,1.800435,-1,195.84628678698067
2019-05-13,1.071505,2.024553,-1.545337,-5.811948,-5.811948,6.29461,8.96118,9.430232,9.159758,8.74087,8.019279,-1,184.4638015117053
2019-05-14,-1.192622,0.551256,-1.722676,1.583028,1.583028,3.215363,6.667412,7.088021,7.198794,6.820032,6.303338,1,187.38391553520526
2019-05-15,-2.435575,0.434737,-2.56652,1.197922,1.197922,0.820181,4.420468,5.281067,5.731715,5.391843,5.003861,1,189.62862903626305
2019-05-16,-0.089436,1.257365,-0.652357,-0.439975,-0.439975,0.227273,3.920902,5.240855,5.8762,5.651996,5.388627,0,188.7943107438345
2019-05-17,-1.095238,1.005291,-1.185185,-0.568182,-0.568182,-0.065608,3.354042,5.330213,6.108789,6.061304,5.886108,-1,187.72161579642633
2019-05-20,0.234857,0.688186,-1.534764,-3.126984,-3.126984,2.872904,5.347192,7.975205,8.969834,9.156809,9.064551,-1,181.85159066755398
2019-05-21,-0.73955,0.750268,-1.018221,1.91709,1.91709,0.717042,2.535933,5.469003,6.381937,6.849194,6.78558,1,185.33784924663044
2019-05-22,1.028559,1.60302,-0.125834,-2.04716,-2.04716,1.931284,3.620716,6.690943,7.960094,8.738588,8.726386,-1,181.54368748820534
2019-05-23,0.077925,0.489814,-1.029723,-1.70697,-1.70697,2.541467,4.290883,7.479257,9.143862,10.121777,10.23995,-1,178.44479097347067
2019-05-24,0.687266,1.771247,-0.195564,-0.384059,-0.384059,1.815947,3.675476,6.702851,8.878906,10.007537,10.307064,0,177.75945809040434
2019-05-28,0.38714,1.324132,-0.179543,-0.413477,-0.413477,1.693318,3.685687,6.044315,8.612945,9.891655,10.393313,0,177.02446340421727
