date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-2.670623,1.186944,-3.560831,1.201201,1.201201,-0.534125,-0.504451,-1.226508,0.756677,5.839763,11.810089,1,3.37
2019-04-12,2.431611,4.255319,-2.12766,-2.373887,-2.373887,1.094225,1.762918,1.134752,2.537994,6.56535,13.363728,-1,3.29
2019-04-15,1.846154,1.846154,-1.538462,-1.215805,-1.215805,1.784615,2.738462,2.646154,3.123077,5.895385,13.005128,-1,3.25
2019-04-16,3.405573,3.405573,-0.928793,-0.615385,-0.615385,1.981424,3.126935,3.095975,3.359133,5.585139,11.991744,-1,3.23
2019-04-17,-1.823708,0.303951,-2.735562,1.857585,1.857585,-0.121581,0.759878,1.236069,0.987842,2.930091,8.439716,1,3.29
2019-04-18,-2.38806,0.298507,-2.686567,1.823708,1.823708,-2.029851,-0.985075,-0.616915,-0.985075,0.680597,5.054726,1,3.35
2019-04-22,0.295858,1.183432,-2.071006,0.895522,0.895522,-2.366864,-1.982249,-1.420118,-1.760355,-0.627219,2.712032,1,3.38
2019-04-23,6.309148,7.255521,-1.26183,-6.213018,-6.213018,3.596215,3.974763,4.752892,4.826498,5.299685,7.739222,-1,3.17
2019-04-24,1.587302,2.857143,-1.587302,-0.630915,-0.630915,3.746032,4.15873,5.079365,5.222222,5.536508,7.513228,-1,3.15
2019-04-25,-0.314465,1.257862,-2.830189,0.952381,0.952381,2.075472,2.704403,3.522013,4.072327,4.0,5.754717,1,3.18
2019-04-26,-0.625,2.8125,-1.5625,0.628931,0.628931,0.5,1.53125,2.604167,3.15625,3.025,4.583333,1,3.2
2019-04-29,0.626959,3.134796,-0.31348,-0.3125,-0.3125,-0.376176,1.53605,2.445141,3.244514,3.197492,4.346917,0,3.19
2019-04-30,0.31348,2.507837,-1.567398,0.0,0.0,-0.250784,1.347962,2.131661,3.009404,3.285266,3.824451,0,3.19
2019-05-01,1.910828,3.184713,-1.592357,-1.567398,-1.567398,1.273885,2.675159,3.418259,4.378981,4.700637,5.106157,-1,3.14
2019-05-02,0.0,0.634921,-2.539683,0.318471,0.318471,0.761905,1.904762,2.708995,3.571429,4.203175,4.285714,0,3.15
2019-05-03,-1.246106,1.246106,-4.361371,1.904762,1.904762,-1.05919,-0.436137,0.456906,1.448598,2.056075,2.076843,1,3.21
2019-05-06,-0.311526,0.623053,-1.557632,0.0,0.0,-0.934579,-0.965732,0.290758,1.121495,1.894081,1.973001,0,3.21
2019-05-07,8.90411,8.90411,-3.424658,-9.034268,-9.034268,7.054795,8.013699,9.497717,10.445205,11.438356,11.872146,-1,2.92
2019-05-08,2.413793,2.413793,-0.344828,-0.684932,-0.684932,6.137931,7.896552,9.494253,10.517241,11.641379,12.16092,-1,2.9
2019-05-09,5.395683,5.395683,-5.035971,-4.137931,-4.137931,8.057554,11.115108,12.997602,14.298561,15.496403,16.402878,-1,2.78
2019-05-10,1.811594,7.246377,-0.724638,-0.719424,-0.719424,5.57971,10.326087,12.391304,14.021739,15.507246,16.509662,-1,2.76
2019-05-13,2.61194,5.223881,-2.985075,-2.898551,-2.898551,4.776119,11.716418,14.004975,16.287313,17.850746,19.166667,-1,2.68
2019-05-14,7.630522,8.835341,-2.008032,-7.089552,-7.089552,9.317269,17.429719,20.883534,23.634538,25.477912,27.121821,-1,2.49
2019-05-15,5.957447,8.085106,0.0,-5.62249,-5.62249,11.148936,21.06383,25.815603,29.12766,31.33617,33.333333,-1,2.35
