date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,0.251075,0.31886,-0.203897,-0.176471,-0.176471,-0.064748,-0.964389,-1.938755,-2.504623,-3.909917,-4.822051,0,1844.07
2019-04-12,0.289736,0.457934,-0.095493,-0.05477,-0.05477,0.052738,-0.572038,-1.601829,-2.096622,-3.374887,-4.460028,0,1843.06
2019-04-15,-0.155567,0.107325,-1.407687,0.098206,0.098206,-0.099519,-0.503287,-1.443209,-1.914281,-3.091882,-4.28509,0,1844.87
2019-04-16,-0.627469,0.361238,-0.807283,0.984893,0.984893,-0.78184,-1.210334,-2.120727,-2.599327,-3.629208,-4.913332,1,1863.04
2019-04-17,0.438112,0.624725,-0.234875,0.095543,0.095543,-0.688967,-1.068039,-1.859804,-2.511181,-3.347948,-4.653979,0,1864.82
2019-04-18,0.381374,0.490415,-0.118709,-0.167845,-0.167845,-0.332708,-0.671648,-1.378711,-2.23332,-2.808437,-4.071587,0,1861.69
2019-04-22,-1.690766,0.058814,-2.207904,1.376169,1.376169,-1.216758,-1.754932,-2.341075,-3.235849,-3.757009,-4.903098,1,1887.31
2019-04-23,-1.69303,0.285377,-1.777239,1.93185,1.93185,-2.26867,-3.232715,-3.812202,-4.681173,-5.203408,-6.266775,1,1923.77
2019-04-24,1.222558,1.469173,-0.188773,-1.144627,-1.144627,-0.729959,-1.765689,-2.39078,-3.26728,-3.811521,-4.780684,-1,1901.75
2019-04-25,0.775398,1.0619,-0.101984,0.026292,0.026292,-0.362518,-1.502799,-2.130635,-2.933789,-3.616055,-4.435204,0,1902.25
2019-04-26,-1.108873,0.018968,-2.698103,2.543304,2.543304,-1.921841,-3.399466,-4.107664,-4.887011,-5.737203,-6.353588,1,1950.63
2019-04-29,0.545287,0.923944,-0.223893,-0.625439,-0.625439,-0.777124,-2.29949,-3.156266,-3.881672,-4.785584,-5.37545,-1,1938.43
2019-04-30,0.185827,0.477026,-1.015821,-0.614415,-0.614415,-0.135166,-1.271671,-2.292285,-2.99592,-3.880821,-4.471465,-1,1926.52
2019-05-01,1.128421,1.680338,-0.050745,-0.778606,-0.778606,0.750711,-0.243314,-1.261614,-1.979576,-2.859212,-3.460841,-1,1911.52
2019-05-02,0.658137,1.090582,-0.996938,-0.559764,-0.559764,1.302806,0.507623,-0.518197,-1.217054,-2.028051,-2.735819,-1,1900.82
2019-05-03,-0.685874,0.098856,-1.348308,3.242811,3.242811,-1.758507,-2.135789,-3.240695,-3.953915,-4.719994,-5.547612,1,1962.46
2019-05-06,-1.669785,0.433211,-2.053267,-0.606891,-0.606891,-1.034375,-1.214017,-2.282502,-3.077106,-3.790008,-4.653405,-1,1950.55
2019-05-07,0.988548,1.46278,-0.917231,-1.514957,-1.514957,0.430505,0.29115,-0.515148,-1.401015,-2.087642,-2.932101,-1,1921.0
2019-05-08,0.057358,0.917733,-0.405158,-0.168142,-0.168142,0.664835,0.5436,-0.157336,-1.021342,-1.706253,-2.535688,0,1917.77
2019-05-09,0.006843,0.501613,-1.256402,-0.933376,-0.933376,1.603268,1.478364,0.906343,0.049477,-0.613474,-1.382007,-1,1899.87
2019-05-10,0.424343,0.730696,-1.797903,-0.520562,-0.520562,1.367951,1.688483,1.534161,0.694478,0.057122,-0.660377,-1,1889.98
2019-05-13,0.761516,1.309061,-0.256765,-3.560884,-3.560884,3.707727,4.80814,5.046781,4.356579,3.719556,3.084286,-1,1822.68
2019-05-14,-0.033693,0.669522,-1.32437,0.956833,0.956833,1.845749,3.345271,3.748125,3.354618,2.715366,2.154262,1,1840.12
2019-05-15,-2.308741,0.175293,-2.573284,1.686303,1.686303,-0.341501,1.415707,1.918606,1.66232,1.087481,0.562043,1,1871.15
2019-05-16,-1.133903,0.521082,-1.325246,1.946397,1.946397,-2.163485,-0.485172,-0.008667,-0.166599,-0.716199,-1.206124,1,1907.57
2019-05-17,1.286784,2.222044,-0.089353,-2.021944,-2.021944,-0.368967,1.068432,1.763653,1.913189,1.386046,0.92208,-1,1869.0
2019-05-20,-0.337821,0.473918,-1.260375,-0.536651,-0.536651,0.559019,1.121105,2.027754,2.386832,1.967304,1.505493,-1,1858.97
2019-05-21,0.929734,1.156381,-0.620182,-0.078,-0.078,0.824863,0.858295,1.859756,2.288428,2.074142,1.598475,0,1857.52
2019-05-22,-0.424804,0.635055,-0.466747,0.116284,0.116284,0.584402,0.428783,1.555608,2.05651,1.948357,1.523201,0,1859.68
2019-05-23,1.162778,1.570934,-0.621323,-2.376753,-2.376753,2.01875,2.409005,3.71472,4.302223,4.3217,3.936425,-1,1815.48
2019-05-24,0.691611,1.013558,-0.297815,0.429638,0.429638,1.080799,1.605074,2.762128,3.506784,3.791146,3.453776,0,1823.28
2019-05-28,-0.200389,0.699183,-0.494438,0.721228,0.721228,0.111521,0.952391,1.612004,2.487898,2.937112,2.700947,1,1836.43
2019-05-29,0.21603,0.594221,-0.640945,-0.938778,-0.938778,0.638856,1.79404,2.201859,3.164155,3.682672,3.627164,-1,1819.19
2019-05-30,0.504867,0.723991,-0.467429,-0.157763,-0.157763,0.320428,1.653013,1.990985,3.065099,3.658364,3.705166,0,1816.32
2019-05-31,0.841657,1.156011,-0.133516,-2.271076,-2.271076,2.19642,3.268829,3.892391,5.105968,5.78064,5.946582,-1,1775.07
2019-06-03,3.977102,4.348109,-1.222315,-4.640944,-4.640944,5.627138,7.25313,8.171609,9.424407,10.319243,10.769997,-1,1692.69
2019-06-04,-1.753047,0.072851,-2.81401,2.17819,2.17819,2.139619,4.21853,5.506718,6.452884,7.484447,8.104624,1,1729.56
2019-06-05,0.638481,0.776531,-1.33736,0.516894,0.516894,0.686109,2.997987,4.57448,5.380587,6.49912,7.193481,0,1738.5
2019-06-06,-0.949064,0.321485,-1.609134,0.912281,0.912281,-0.930482,1.466518,3.185283,3.962186,5.178002,5.944371,1,1754.36
2019-06-07,-2.23555,0.123058,-2.468917,2.831232,2.831232,-3.337084,-1.390609,-0.038322,0.834188,2.067549,2.845943,1,1804.03
2019-06-10,-2.076178,1.302785,-2.291159,3.13742,3.13742,-4.472356,-4.189549,-3.109126,-2.312039,-1.256241,-0.443846,1,1860.63
2019-06-11,1.048989,1.609701,-0.305843,0.164998,0.164998,-3.190213,-4.201052,-3.251811,-2.362907,-1.605301,-0.7415,0,1863.7
2019-06-12,-0.072225,0.521743,-0.589656,-0.449643,-0.449643,-1.493651,-3.573615,-2.82273,-1.880942,-1.302482,-0.421095,0,1855.32
2019-06-13,-0.191413,0.683848,-0.432016,0.807408,0.807408,-1.042827,-4.057317,-3.563207,-2.669091,-2.194514,-1.292128,1,1870.3
2019-06-14,-0.303262,0.338562,-0.570689,-0.033684,-0.033684,-0.307327,-3.519017,-3.337487,-2.737649,-2.226168,-1.314403,0,1869.67
2019-06-17,-0.505294,0.512187,-0.560967,0.875021,0.875021,-0.902743,-3.330806,-3.954161,-3.536184,-3.082666,-2.305513,1,1886.03
2019-06-18,-0.001052,1.067651,-0.083098,0.813349,0.813349,-1.306006,-3.207109,-4.501351,-4.202943,-3.699038,-3.179918,1,1901.37
2019-06-19,-0.04977,0.56528,-0.854992,0.390245,0.390245,-1.129407,-2.691234,-4.559642,-4.441033,-3.929484,-3.577607,0,1908.79
2019-06-20,0.789286,0.886773,-0.645921,0.492459,0.492459,-1.114592,-2.314004,-4.673294,-4.756802,-4.302181,-4.04939,0,1918.19
2019-06-21,0.251138,0.766494,-0.194632,-0.359193,-0.359193,-0.322503,-1.400617,-3.854479,-4.162795,-3.949396,-3.683566,0,1911.3
2019-06-24,-0.064789,0.154658,-0.658342,0.136033,0.136033,-0.166675,-1.256231,-3.214553,-4.056246,-3.986039,-3.77275,0,1913.9
2019-06-25,1.787283,2.029527,-0.311457,-1.861644,-1.861644,1.48115,0.694469,-0.850747,-2.124854,-2.123592,-1.848705,-1,1878.27
2019-06-26,-0.281901,0.31457,-0.55379,1.041384,1.041384,0.319734,-0.119347,-1.312938,-2.926421,-3.047396,-2.75894,1,1897.83
2019-06-27,-0.11973,0.365492,-0.327683,0.339862,0.339862,-0.166152,-0.279213,-1.122349,-3.024266,-3.282101,-3.030314,0,1904.28
2019-06-28,0.816949,1.019735,-0.508547,-0.559266,-0.559266,0.2087,0.408158,-0.250806,-2.165814,-2.573069,-2.509484,-1,1893.63
2019-07-01,0.041099,0.396943,-0.391741,1.508214,1.508214,-1.193951,-0.895593,-1.519378,-3.022464,-3.814815,-3.865764,1,1922.19
2019-07-02,-0.771851,0.024815,-1.431001,0.630531,0.630531,-1.233618,-1.346268,-1.893078,-3.100847,-4.215084,-4.338291,1,1934.31
2019-07-03,-0.160392,0.133574,-0.43837,0.242464,0.242464,-1.04786,-1.429087,-1.842668,-2.818205,-4.199608,-4.429603,0,1939.0
2019-07-05,-0.736524,0.153893,-0.906372,0.20165,0.20165,-0.849345,-1.500224,-1.791059,-2.528553,-4.131782,-4.47914,0,1942.91
2019-07-08,-0.932224,0.188494,-1.232892,0.484325,0.484325,-0.726008,-1.764875,-1.982189,-2.618577,-4.2307,-4.705905,0,1952.32
2019-07-09,-2.036916,0.086003,-2.254187,1.842936,1.842936,-1.857466,-3.168335,-3.412999,-4.059724,-5.369029,-6.153682,1,1988.3
2019-07-10,-1.035982,0.373251,-1.091003,1.464065,1.464065,-2.449775,-3.875861,-4.423229,-5.063125,-6.163764,-7.208797,1,2017.41
2019-07-11,1.226844,1.735571,-0.288346,-0.809949,-0.809949,-1.032847,-2.575022,-3.335349,-3.923726,-4.872673,-6.148127,-1,2001.07
2019-07-12,-0.135753,0.298359,-0.35455,0.496235,0.496235,-0.844356,-2.52541,-3.504989,-4.048309,-4.831924,-6.288861,0,2011.0
2019-07-15,0.020287,0.094508,-0.961905,0.496768,0.496768,-0.654927,-2.377053,-3.62014,-4.148239,-4.872939,-6.346477,0,2020.99
2019-07-16,0.033833,0.816956,-0.431862,-0.548741,-0.548741,0.108165,-1.40201,-2.769922,-3.31121,-4.050988,-5.303647,-1,2009.9
2019-07-17,0.754005,1.002495,0.0,-0.889099,-0.889099,0.751394,-0.227758,-1.516978,-2.216282,-2.932566,-4.01495,-1,1992.03
2019-07-18,0.106679,0.485363,-1.332221,-0.709327,-0.709327,1.236867,0.681683,-0.543539,-1.343015,-1.991223,-2.92578,-1,1977.9
2019-07-19,1.358602,1.602427,-0.116568,-0.676475,-0.676475,1.453179,1.477409,0.338268,-0.553163,-1.131859,-1.908032,-1,1964.52
2019-07-22,-0.729743,0.169719,-1.378404,1.074563,1.074563,0.018432,0.566319,-0.419581,-1.423251,-1.949366,-2.646028,1,1985.63
2019-07-23,0.075207,0.165456,-1.07095,0.446206,0.446206,-0.580399,0.150615,-0.620276,-1.659121,-2.167411,-2.854782,0,1994.49
2019-07-24,-1.574862,0.02449,-1.746293,0.316873,0.316873,-0.806673,-0.248699,-0.712611,-1.663526,-2.277638,-2.933212,0,2000.81
2019-07-25,1.377025,1.387158,-0.055729,-1.348954,-1.348954,0.508354,0.977242,0.76265,-0.126379,-0.809598,-1.405802,-1,1973.82
2019-07-26,-0.054039,0.404004,-0.95417,-1.558906,-1.558906,1.879005,2.226603,2.3588,1.554978,0.812352,0.280332,-1,1943.05
2019-07-29,0.917671,1.034275,-1.145651,-1.574844,-1.574844,2.74381,3.294727,3.8576,3.229104,2.427797,1.959424,-1,1912.45
2019-07-30,-0.390302,0.598358,-0.792719,-0.727862,-0.727862,2.486239,3.465471,4.303856,3.923667,3.146413,2.728936,-1,1898.53
2019-07-31,1.678291,1.755429,-0.928872,-1.672346,-1.672346,2.793366,4.554259,5.539914,5.510317,4.876097,4.414375,-1,1866.78
2019-08-01,0.883945,2.2961,-0.609598,-0.613891,-0.613891,2.150896,4.539379,5.668097,5.936523,5.432249,4.963259,-1,1855.32
2019-08-02,1.197319,1.268072,-0.834778,-1.729082,-1.729082,2.633992,5.60387,6.840789,7.472302,7.109541,6.636501,-1,1823.24
2019-08-05,0.288364,1.333613,-0.926277,-3.187183,-3.187183,4.343589,7.831265,9.391754,10.480163,10.344507,9.871058,-1,1765.13
2019-08-06,0.246108,0.332246,-1.925798,1.286024,1.286024,1.780371,5.306209,7.174731,8.516749,8.642858,8.240977,1,1787.83
2019-08-07,-1.082302,0.308353,-2.029664,0.311551,0.311551,0.645924,3.822627,6.103491,7.555175,7.991145,7.747054,0,1793.4
2019-08-08,-1.467082,0.074745,-1.89755,2.201963,2.201963,-1.767264,0.816852,3.290032,4.779092,5.432885,5.30752,1,1832.89
2019-08-09,1.182244,1.300634,-0.296529,-1.380879,-1.380879,-0.565065,1.479049,4.157492,5.683538,6.609699,6.603728,-1,1807.58
2019-08-12,0.620196,0.89976,-0.443717,-1.25361,-1.25361,0.919033,2.052865,4.730147,6.363927,7.587993,7.754073,-1,1784.92
2019-08-13,-2.266025,0.405626,-2.430468,2.208502,2.208502,-0.861353,-0.558942,1.84538,3.557067,4.903757,5.246957,1,1824.34
2019-08-14,1.70452,1.854268,-0.325589,-3.364504,-3.364504,2.244974,2.314346,4.491839,6.512882,7.978808,8.5873,-1,1762.96
2019-08-15,0.330496,0.668874,-0.797243,0.746472,0.746472,0.848141,1.110342,2.97555,5.155648,6.672139,7.477047,1,1776.12
2019-08-16,0.017851,0.576825,-0.447402,0.926176,0.926176,-0.244788,0.01138,1.470923,3.711041,5.205822,6.211194,1,1792.57
2019-08-19,0.107922,0.544017,-0.193269,1.313756,1.313756,-1.194745,-1.004724,-0.198482,1.899517,3.390371,4.583948,1,1816.12
2019-08-20,0.728331,0.857121,-0.083269,-0.81162,-0.81162,-0.641175,-0.119464,0.258617,2.197315,3.773352,5.093835,-1,1801.38
2019-08-21,-0.227579,0.331224,-0.46832,1.230168,1.230168,-1.18418,-1.167948,-1.117826,0.469334,2.142689,3.462332,1,1823.54
2019-08-22,1.293318,1.371449,-0.252679,-1.035349,-1.035349,0.165904,-0.290415,-0.270485,1.051749,2.827303,4.181951,-1,1804.66
2019-08-23,2.48111,3.159543,-0.250912,-3.049882,-3.049882,2.825985,2.515003,2.586314,3.677884,5.570764,6.961359,-1,1749.62
2019-08-26,-0.110805,0.063883,-1.433684,1.100239,1.100239,1.172726,1.308632,1.483998,2.143741,3.931708,5.32223,1,1768.87
2019-08-27,0.788952,0.997259,-0.859901,-0.397994,-0.397994,1.128032,1.358644,1.79113,2.163943,3.818779,5.27374,0,1761.83
2019-08-28,-0.524302,0.20462,-1.144962,0.137357,0.137357,0.317189,1.226924,1.541354,1.733229,3.140031,4.698975,0,1764.25
2019-08-29,-0.190327,0.680139,-0.512203,1.255491,1.255491,-1.131102,0.029333,0.108822,0.278913,1.441514,3.043458,1,1786.4
2019-08-30,1.193499,1.320167,-0.659802,-0.565943,-0.565943,-0.268087,0.507012,0.56117,0.717507,1.643358,3.276717,-1,1776.29
2019-09-03,-1.108479,0.612345,-1.220221,0.762826,0.762826,-0.788786,-0.400706,-0.181804,0.024052,0.599853,2.130228,1,1789.84
2019-09-04,0.24325,0.38931,-0.243805,0.602288,0.602288,-0.951894,-1.001211,-0.86722,-0.539259,-0.219924,1.159897,1,1800.62
2019-09-05,-1.01971,0.069538,-1.36577,2.227011,2.227011,-2.278782,-3.064562,-2.745194,-2.57747,-2.450259,-1.333772,1,1840.72
2019-09-06,0.256884,0.389417,-0.387781,-0.391695,-0.391695,-1.380631,-2.526029,-2.154083,-2.19268,-2.11424,-1.200866,0,1833.51
