date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.921725,0.518471,-1.360985,0.974333,0.974333,-0.204508,-0.032404,-1.83577,-2.325916,-2.731187,-2.606274,1,134.96413785060355
2019-04-12,-0.141643,0.509915,-0.984419,1.677828,1.677828,-1.732295,-1.27762,-2.915958,-3.635623,-4.057224,-4.125354,1,137.22860419460804
2019-04-15,1.012478,1.554367,-0.413547,-0.672805,-0.672805,-1.005348,-0.608913,-1.83672,-2.763636,-3.203708,-3.430778,-1,136.30532392559334
2019-04-16,-1.034993,0.126734,-1.717947,1.269162,1.269162,-1.446173,-1.724988,-2.588655,-3.704851,-4.147856,-4.526274,1,138.0352595875367
2019-04-17,0.182149,1.233011,-0.196161,0.499894,0.499894,-1.206389,-1.970015,-2.534211,-3.843001,-4.3657,-4.816449,0,138.72529010437927
2019-04-18,-0.390625,0.983538,-0.655692,0.434356,1.043204,-1.483235,-2.697904,-2.992322,-4.483227,-5.060774,-5.535015,1,140.17247785360894
2019-04-22,0.400337,0.561877,-0.667229,-0.683594,-0.683594,-0.519878,-1.8269,-1.963781,-3.355497,-4.112058,-4.608055,-1,139.21426755578153
2019-04-23,-0.021122,0.774484,-0.415405,-0.245821,-0.245821,0.094921,-1.370056,-1.598976,-2.714549,-3.629675,-4.144814,0,138.87204959227174
2019-04-24,1.466638,1.86597,-0.849488,-3.027529,-3.027529,2.7198,1.869069,1.394968,0.565416,-0.493497,-1.005787,-1,134.6676574691515
2019-04-25,0.675825,0.977007,-1.498568,-1.161693,-1.161693,3.082348,3.024418,2.474521,1.957522,0.791277,0.241835,-1,133.10323249310676
2019-04-26,-1.776595,0.0,-2.258505,2.130317,2.130317,0.309286,0.947146,0.324766,0.099011,-1.144877,-1.701746,1,135.93875276218785
2019-04-29,0.345274,1.028629,-0.143864,-0.007193,-0.007193,-0.166882,0.858797,0.308282,0.262535,-0.849119,-1.523251,0,135.9289751060876
2019-04-30,0.408837,0.416009,-1.319753,0.287728,0.287728,-0.827715,0.570512,0.041654,-0.02458,-0.880203,-1.659271,0,136.32008135009875
2019-05-01,1.035107,1.288455,-0.369164,-0.910917,-0.910917,0.14477,1.276142,1.087837,0.851225,0.236697,-0.639217,-1,135.07831902536324
2019-05-02,2.478361,2.493157,-0.584449,-2.157076,-2.157076,2.21055,3.012503,3.240926,2.954371,2.587423,1.624353,-1,132.1645775074799
2019-05-03,-2.114195,0.100676,-2.344312,2.877858,2.877858,-0.644326,-0.17834,0.402137,0.066261,-0.066932,-1.079224,1,135.9680857304887
2019-05-06,-1.447792,0.533782,-1.791459,-1.653962,-1.653962,0.69611,1.0895,1.915716,1.648457,1.674745,0.773834,-1,133.71922482742437
2019-05-07,1.14461,1.743099,-1.204459,-2.259433,-2.259433,2.163537,2.800928,3.98564,3.799697,3.853508,3.180233,-1,130.69792909243796
2019-05-08,0.810913,1.871921,-0.121258,-1.286751,-1.286751,2.555513,3.702918,4.875074,5.017154,4.98308,4.54806,-1,129.01617224318986
2019-05-09,-0.746951,0.365854,-2.301829,-0.568397,-0.568397,2.536585,3.91997,4.931911,5.407828,5.363063,5.16579,-1,128.28284803566888
