date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.550459,0.013106,-0.799476,0.619807,0.619807,0.304063,0.503277,0.278724,0.038008,0.02097,-0.159021,1,73.6913270233726
2019-04-12,-0.379383,0.078493,-1.072737,0.183486,0.183486,-0.149137,0.290424,0.175301,-0.184458,-0.125065,-0.269928,0,73.82654046745218
2019-04-15,-0.156515,0.326073,-0.639103,0.30089,0.30089,-0.448676,-0.013043,-0.061736,-0.479979,-0.406417,-0.508239,0,74.04867683986865
2019-04-16,1.810437,2.48935,-0.119808,-2.021651,-2.021651,1.267306,1.803781,1.84416,1.568823,1.584132,1.529996,-1,72.55167085184469
2019-04-17,-0.066428,0.557991,-0.79713,0.199681,0.199681,0.9167,1.376378,1.502148,1.388335,1.326956,1.302865,0,72.69654239907281
2019-04-18,0.467165,1.001068,-0.040043,-0.464993,-0.464993,1.019754,1.585691,1.909592,1.849306,1.708489,1.722726,0,72.35850878887386
2019-04-22,0.160643,0.481928,-0.38822,-0.293647,-0.293647,0.851406,1.514056,2.034806,2.094378,1.882731,1.97635,0,72.14603051960594
2019-04-23,-0.927767,0.185553,-1.126574,1.004016,1.004016,-0.474486,0.343274,0.910979,1.047051,0.808482,0.924232,1,72.87038825574656
2019-04-24,-0.983091,0.117971,-1.192817,1.11332,1.11332,-1.263599,-0.774676,-0.259536,-0.104208,-0.243807,-0.188753,1,73.68166892022407
2019-04-25,-0.783801,0.365774,-1.045069,0.340805,0.340805,-1.264533,-1.017636,-0.634008,-0.462443,-0.498498,-0.516874,0,73.93277960208614
2019-04-26,0.026045,0.664149,-0.169293,0.313521,0.313521,-1.086079,-1.263185,-0.954117,-0.700612,-0.721969,-0.821287,0,74.16457407765115
2019-04-29,0.44637,0.577655,-0.498884,-0.807397,-0.807397,0.105028,-0.494946,-0.261695,0.075489,0.120257,-0.052076,-1,73.56577168244156
2019-04-30,-2.029023,0.051368,-2.1446,2.23185,2.23185,-1.458842,-2.513163,-2.336373,-2.033517,-1.966354,-2.180129,1,75.20764921769364
2019-05-01,0.466684,0.920404,-0.285196,-0.93746,-0.93746,-0.305937,-1.328753,-1.347334,-1.095411,-1.025149,-1.170167,-1,74.5026076878501
2019-05-02,0.389712,0.532606,-0.6755,-0.207415,-0.207415,0.01299,-0.901533,-1.042695,-0.888542,-0.812159,-0.876418,0,74.34807803747344
2019-05-03,-1.34132,0.312541,-1.562703,-0.246817,-0.246817,0.260451,-0.412814,-0.755307,-0.650475,-0.5084,-0.558232,0,74.16457407765115
2019-05-06,1.722082,1.722082,-0.119221,-1.692929,-1.692929,1.806862,1.406809,0.869872,0.929262,1.142933,1.152912,-1,72.90902066834073
2019-05-07,0.466418,0.586354,-0.533049,-0.596105,-0.596105,1.663113,1.960288,1.329957,1.425906,1.661514,1.719527,-1,72.47440602665637
2019-05-08,1.612248,1.883214,-0.08129,-1.639126,-1.639126,2.454952,3.323398,2.900239,2.941336,3.184392,3.275979,-1,71.28645933938574
2019-05-09,0.600191,0.927568,-0.954849,-0.677415,-0.677415,2.152503,3.586141,3.423817,3.471559,3.688992,3.819852,-1,70.80355418195866
2019-05-10,-1.743562,0.040236,-1.998391,1.705088,1.705088,-0.158262,1.550429,1.657725,1.620172,1.825107,2.029685,1,72.01081707552636
2019-05-13,-1.706349,0.224868,-1.706349,1.39485,1.39485,-1.502646,0.078042,0.338624,0.166667,0.325397,0.579365,1,73.01525980297468
2019-05-14,1.193189,1.380882,-0.160879,-1.335979,-1.335979,-0.289583,0.993431,1.620414,1.383563,1.572329,1.847433,-1,72.03979138497199
2019-05-15,0.673038,0.848028,0.0,-0.402199,-0.402199,0.242294,1.017634,1.851303,1.737111,1.869431,2.138466,0,71.75004829051574
2019-05-16,-1.447159,0.106213,-1.659586,1.386458,1.386458,-0.594796,-0.584174,0.349619,0.349177,0.449283,0.669145,1,72.74483291481552
2019-05-17,-1.164021,0.251323,-1.230159,0.371747,0.371747,-0.687831,-1.109788,-0.126984,0.022487,0.040212,0.238977,0,73.01525980297468
2019-05-20,-0.34188,0.460224,-0.657462,0.595238,0.595238,-1.157133,-1.621302,-0.728468,-0.480605,-0.572255,-0.416393,1,73.44987444465906
2019-05-21,-0.781963,0.456145,-1.277206,0.894149,0.894149,-1.475303,-2.272905,-1.707285,-1.279161,-1.45028,-1.29632,1,74.1066254587599
2019-05-22,-0.775896,0.284495,-0.969869,0.781963,0.781963,-1.453511,-2.575973,-2.453554,-1.977887,-2.100608,-2.021639,1,74.68611164767239
2019-05-23,-0.794363,0.115311,-1.063421,0.931075,0.931075,-1.663037,-2.867393,-3.262012,-2.786035,-2.861243,-2.830664,1,75.38149507436738
2019-05-24,0.553268,0.759135,-0.051467,-0.422806,-0.422806,-0.699949,-2.048379,-2.771487,-2.313433,-2.304683,-2.35718,0,75.06277767046551
