date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,0.969125,1.080617,-0.240137,-0.477979,-0.477979,-0.415094,-1.942539,-3.344768,-3.635077,-3.290223,-3.079188,0,115.19234948924148
2019-04-12,-1.653083,0.645856,-2.844841,11.543739,11.543739,-8.405351,-10.627403,-12.228715,-13.027449,-12.799016,-12.698242,1,128.48985398431174
2019-04-15,-0.749773,0.499849,-1.704029,1.522374,1.522374,-7.19176,-10.488488,-12.320509,-13.615192,-13.582854,-13.560285,1,130.44595048507242
2019-04-16,1.424172,1.716705,-0.26174,-1.620721,-1.620721,-3.655119,-7.632794,-9.861945,-11.426097,-11.692071,-11.728253,-1,128.33178558020987
2019-04-17,-1.472486,0.462998,-1.874763,1.424172,1.424172,-2.793169,-7.470209,-10.04124,-11.844023,-12.395901,-12.540164,1,130.15945150263778
2019-04-18,-0.513401,0.317101,-1.011703,0.531309,0.531309,-0.913552,-6.622877,-9.422424,-11.411854,-12.316195,-12.538316,0,130.85100077058348
2019-04-22,0.167072,0.394897,-0.493621,-0.581351,-0.581351,-0.088092,-4.810146,-7.847307,-10.003417,-11.295565,-11.574524,-1,130.0902965758432
2019-04-23,0.022496,0.659868,-0.532394,1.27582,1.27582,-1.14877,-4.629574,-7.965907,-10.178464,-11.805939,-12.223305,1,131.75001481891292
2019-04-24,-1.472983,0.481125,-1.761658,1.304739,1.304739,-1.65211,-4.507772,-8.009376,-10.411547,-12.198668,-12.851221,1,133.4690087135208
2019-04-25,-1.369863,1.194987,-1.748761,1.584012,1.584012,-2.385602,-4.533664,-8.242981,-10.82629,-12.773535,-13.647867,1,135.58317361838337
2019-04-26,-0.871927,0.085763,-1.722413,1.952783,1.952783,-3.187536,-4.69554,-8.80122,-11.490495,-13.5506,-14.695779,1,138.23081938708975
2019-04-29,2.074659,2.203877,-1.213209,-0.44311,-0.44311,-1.662599,-3.60804,-7.232352,-10.081838,-12.273654,-13.733668,0,137.618304321195
2019-04-30,1.569687,1.76681,-0.686282,-1.672649,-1.672649,0.537344,-1.608381,-4.582999,-7.659341,-9.929182,-11.685771,-1,135.31643318646147
2019-05-01,0.813902,1.312509,-0.102654,-0.430751,-0.430751,1.159994,-0.707582,-3.216014,-6.36457,-8.769908,-10.658943,0,134.7335559463358
2019-05-02,0.924407,1.155509,-1.312062,-1.64247,-1.64247,2.387058,1.128672,-0.755927,-3.99508,-6.534963,-8.56692,-1,132.52059828890953
2019-05-03,0.662547,0.729547,-0.409439,0.141643,0.141643,1.409961,1.125586,-0.016378,-3.40207,-5.96382,-8.059257,0,132.70830451878052
2019-05-06,-1.822222,0.244444,-2.0,0.498772,0.498772,0.26963,0.86963,-0.268642,-3.140741,-5.720296,-7.854568,0,133.37021596095713
2019-05-07,1.431355,1.895983,-0.509592,-1.155556,-1.155556,0.91277,2.054856,0.967226,-1.315947,-3.990707,-6.136591,-1,131.82904902096382
2019-05-08,-1.103785,0.525965,-1.244537,1.161571,1.161571,-0.451885,0.87488,0.059264,-1.777539,-4.410697,-6.600736,1,133.36033668570076
2019-05-09,1.077925,2.163336,-0.561419,-1.037114,-1.037114,0.50902,1.658807,1.199691,-0.133244,-2.778052,-5.040297,-1,131.97723814980935
2019-05-10,-0.768427,0.208893,-2.096389,0.336852,0.336852,0.12832,0.878842,0.939023,0.182035,-2.528797,-4.778922,0,132.42180553634586
