date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.202429,0.506073,-0.607287,0.20284,0.20284,-0.506073,-0.526316,-1.255082,-1.782719,-0.965457,-0.790635,0,9.385479105909624
2019-04-12,1.334702,1.334702,-1.950719,-1.417004,-1.417004,0.657084,0.821355,0.376454,-0.28722,0.348093,0.567211,-1,9.252486486999972
2019-04-15,-0.40568,0.30426,-1.622718,1.232033,1.232033,-0.425963,-0.365112,-0.635565,-1.347248,-0.976804,-0.65039,1,9.3664801603511
2019-04-16,-0.201005,1.60804,-0.603015,0.912779,0.912779,-0.924623,-1.175879,-1.346734,-1.983183,-1.974424,-1.519157,1,9.451975415364448
2019-04-17,1.530612,1.836735,-0.510204,-1.507538,-1.507538,0.469388,0.326531,0.319728,-0.359083,-0.774644,-0.032487,-1,9.309483323675538
2019-04-18,-2.775025,0.594648,-3.171457,2.959184,2.959184,-2.001982,-2.289395,-2.398414,-2.983167,-3.461904,-2.855857,1,9.584968034274098
2019-04-22,1.816347,2.21998,-0.302725,-1.783944,-1.783944,0.12109,-0.474268,-0.565086,-0.978809,-1.573968,-1.124249,-1,9.413977524247406
2019-04-23,-0.698603,0.898204,-1.097804,1.10999,1.10999,-0.658683,-1.337325,-1.523619,-1.831337,-2.46977,-2.241458,1,9.518471724819273
2019-04-24,-0.689655,0.295567,-1.182266,1.297405,1.297405,-1.536946,-2.206897,-2.594417,-2.852217,-3.439028,-3.511127,1,9.641964870949664
2019-04-25,1.398601,1.398601,-0.899101,-1.37931,-1.37931,0.25974,-0.689311,-1.098901,-1.273726,-1.907613,-2.336955,-1,9.508972252040012
2019-04-26,0.903614,1.305221,-0.200803,-0.4995,-0.4995,0.502008,-0.110442,-0.508701,-0.717871,-1.273105,-1.751222,0,9.46147488814371
2019-04-29,-0.796813,0.298805,-1.693227,0.803213,0.803213,-0.039841,-0.60757,-1.188579,-1.399402,-1.816733,-2.380314,1,9.537470670377795
2019-04-30,-1.470588,0.588235,-1.960784,1.593625,1.593625,-1.254902,-1.833333,-2.470588,-2.759804,-3.101961,-3.70156,1,9.689462234845966
2019-05-01,-1.351351,0.3861,-2.123552,1.568627,1.568627,-2.374517,-2.953668,-3.584299,-4.02027,-4.332046,-4.892707,1,9.841453799314138
2019-05-02,0.977517,2.052786,-0.097752,-1.254826,-1.254826,-0.703812,-1.300098,-2.117954,-2.595308,-2.85826,-3.464908,-1,9.71796065318375
2019-05-03,-0.96432,0.289296,-2.314368,1.368524,1.368524,-1.253616,-2.362584,-3.124397,-3.64513,-3.965284,-4.522672,1,9.850953272093399
2019-05-06,0.292969,1.171875,-0.195312,-1.253616,-1.253616,0.390625,-0.800781,-1.56901,-2.241211,-2.582031,-3.046875,-1,9.72746012596301
2019-05-07,0.392927,1.571709,-0.392927,-0.585938,-0.585938,0.943026,-0.058939,-0.779306,-1.473477,-1.866405,-2.269155,-1,9.670463289287445
2019-05-08,1.191658,2.184707,-0.397219,-1.08055,-1.08055,1.469712,0.953327,0.383979,-0.238332,-0.711023,-1.069182,-1,9.565969088715578
2019-05-09,-3.585271,1.647287,-4.069767,2.482622,2.482622,-0.813953,-1.19186,-1.711886,-2.432171,-2.918605,-3.223514,1,9.803455908197096
2019-05-10,-2.897196,0.280374,-3.271028,3.682171,3.682171,-3.719626,-4.009346,-4.82243,-5.514019,-6.037383,-6.392523,1,10.164435873809003
2019-05-13,-0.281955,0.56391,-1.409774,-0.560748,-0.560748,-2.424812,-2.904135,-3.828321,-4.558271,-5.218045,-5.607769,-1,10.10743903713344
2019-05-14,-1.214953,0.0,-1.682243,0.56391,0.56391,-2.0,-2.981308,-3.943925,-4.700935,-5.409346,-5.862928,1,10.164435873809003
2019-05-15,-1.751152,0.276498,-1.843318,1.401869,1.401869,-1.917051,-3.870968,-4.841782,-5.603687,-6.311521,-6.860215,1,10.306927965497916
2019-05-16,1.214953,1.682243,-0.46729,-1.382488,-1.382488,0.168224,-2.084112,-3.077882,-3.859813,-4.684112,-5.277259,-1,10.164435873809003
