date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.054789,0.277266,-0.372732,0.204632,0.204632,-0.13415,-0.348907,-0.777562,-0.583254,-0.908071,-1.506948,0,1204.62
2019-04-12,-0.64621,0.039413,-0.801399,1.099932,1.099932,-1.044611,-1.067191,-1.789354,-1.527708,-1.738018,-2.368096,1,1217.87
2019-04-15,-0.253869,0.253869,-0.981902,0.265217,0.265217,-1.023667,-1.110474,-1.895722,-1.637335,-1.849414,-2.426255,0,1221.1
2019-04-16,-0.173576,0.300702,-0.571252,0.493817,0.493817,-1.023037,-1.379316,-2.146852,-2.005452,-2.221118,-2.728888,0,1227.13
2019-04-17,-0.270152,0.34133,-0.689131,0.750532,0.750532,-1.207435,-1.867933,-2.534362,-2.685426,-2.810327,-3.241908,1,1236.34
2019-04-18,0.227278,0.455365,-0.142352,0.002427,0.002427,-0.696232,-1.697469,-2.170709,-2.668255,-2.648269,-2.993333,0,1236.37
2019-04-22,-1.028955,0.020019,-1.643926,1.008598,1.008598,-1.191826,-2.345216,-2.74436,-3.466617,-3.414144,-3.677653,1,1248.84
2019-04-23,-1.096042,0.351904,-1.436875,1.257967,1.257967,-1.732158,-3.078328,-3.582935,-4.382982,-4.360096,-4.640254,1,1264.55
2019-04-24,0.646497,0.95621,-0.079618,-0.67613,-0.67613,-0.603503,-1.950796,-2.631953,-3.44793,-3.527038,-3.824443,-1,1256.0
2019-04-25,0.104476,0.313428,-0.903874,0.593153,0.593153,-0.760457,-2.043848,-2.902529,-3.659385,-3.970905,-4.206524,1,1263.45
2019-04-26,-0.249965,0.069959,-0.932258,0.690965,0.690965,-0.878492,-2.18499,-3.269191,-3.912968,-4.502099,-4.636896,1,1272.18
2019-04-29,-1.054692,0.131254,-1.652713,1.210521,1.210521,-1.462278,-2.813495,-4.009693,-4.61847,-5.389304,-5.510518,1,1287.58
2019-04-30,-0.292811,0.364331,-1.134222,-7.696609,-7.696609,5.474051,5.015819,3.908185,3.309774,2.484484,2.380211,-1,1188.48
2019-05-01,1.709643,1.709643,-0.07705,-1.716478,-1.716478,5.810732,6.344343,5.556412,4.975301,4.217691,4.080428,-1,1168.08
2019-05-02,0.442969,0.996035,-0.654562,-0.46829,-0.46829,4.573847,6.210509,5.826259,5.282941,4.672212,4.394194,0,1162.61
2019-05-03,-0.991227,0.118104,-1.383499,1.960245,1.960245,1.099207,3.738569,3.683595,3.133963,2.716889,2.25741,1,1185.4
2019-05-06,-1.944694,0.122752,-1.944694,0.336595,0.336595,-0.891045,2.890725,3.176138,2.713324,2.426387,1.869221,0,1189.39
2019-05-07,0.542543,1.391704,-1.112341,-1.285533,-1.285533,0.154672,3.460267,4.252903,3.924282,3.690997,3.14218,-1,1174.1
2019-05-08,0.492167,1.21327,-0.045444,-0.666894,-0.666894,0.796042,3.385494,4.604937,4.489183,4.269783,3.7822,-1,1166.27
2019-05-09,-0.288202,0.626301,-0.99193,-0.333542,-0.333542,1.129407,2.861973,4.530819,4.667751,4.4689,4.099004,0,1162.38
2019-05-10,-0.058406,0.71547,-1.869841,0.162597,0.162597,0.602266,1.768147,3.948282,4.324555,4.125023,3.917934,0,1164.27
2019-05-13,0.877185,1.40544,-0.876302,-2.769117,-2.769117,2.453999,3.292404,6.220801,6.916557,6.825049,6.755946,-1,1132.03
2019-05-14,1.496733,1.783228,-0.079433,-1.023824,-1.023824,2.55596,3.753615,6.462104,7.573319,7.632323,7.640124,-1,1120.44
2019-05-15,-3.980382,0.611574,-4.083456,3.906501,3.906501,-1.335154,-0.18038,1.933901,3.258733,3.472226,3.489376,1,1164.21
2019-05-16,-1.227332,0.778639,-1.36898,1.268671,1.268671,-2.289606,-1.292049,0.179251,1.72187,2.097304,2.116717,1,1178.98
2019-05-17,0.530844,1.535748,-0.197023,-1.414782,-1.414782,-0.921277,-0.074249,0.986664,2.86303,3.416846,3.431042,-1,1162.3
2019-05-20,0.496115,0.698073,-0.650656,-2.017551,-2.017551,1.238618,1.539535,2.195431,4.498178,5.268754,5.360876,-1,1138.85
2019-05-21,-0.099162,0.267912,-1.016849,0.946569,0.946569,0.797126,0.374555,1.011862,3.018493,4.032985,4.215733,1,1149.63
2019-05-22,-0.405586,0.61663,-0.480277,0.155702,0.155702,0.418266,0.089542,0.758368,2.404205,3.60824,3.921042,0,1151.42
2019-05-23,-0.023668,0.455832,-1.012474,-0.924945,-0.924945,0.685853,0.834524,1.571395,2.822523,4.240399,4.711847,-1,1140.77
2019-05-24,1.22544,1.438062,-0.159687,-0.639919,-0.639919,0.825606,1.212207,1.920121,2.872859,4.548616,5.176993,-1,1133.47
2019-05-28,-0.013226,1.537715,-0.090817,0.059993,0.059993,0.682273,1.170216,1.534306,2.134771,4.081435,4.867875,0,1134.15
2019-05-29,0.990631,1.13215,-0.738047,-1.559758,-1.559758,1.683356,2.737581,2.798906,3.43053,5.200007,6.217061,-1,1116.46
2019-05-30,-0.215573,0.463348,-0.52149,0.133458,0.133458,0.949059,2.18686,2.37375,3.068474,4.565857,5.749959,0,1117.95
2019-05-31,-0.212028,0.540942,-0.312605,-1.280916,-1.280916,1.585858,2.830025,3.347197,4.138615,5.343385,6.721274,-1,1103.63
2019-06-03,2.824662,2.824662,-1.083736,-6.107119,-6.107119,6.316551,8.301825,9.245502,10.19238,11.284483,13.018989,-1,1036.23
2019-06-04,-0.963867,0.284887,-1.838469,1.623192,1.623192,3.078106,5.757182,7.000554,7.784958,8.616115,10.594021,1,1053.05
2019-06-05,0.894245,1.087103,-1.125482,-1.028441,-1.028441,2.724569,5.825545,7.612084,8.272294,9.183435,11.032156,-1,1042.22
2019-06-06,0.06224,0.301626,-1.018825,0.203412,0.203412,1.106345,4.585384,6.628429,7.468736,8.487849,10.131183,0,1044.34
2019-06-07,-1.445537,0.457769,-1.654722,2.077867,2.077867,-1.656973,1.755469,3.751642,4.829275,5.917151,7.272116,1,1066.04
2019-06-10,-0.684944,1.136637,-0.746034,1.345165,1.345165,-2.144986,-0.086544,1.869034,3.049621,4.122475,5.256515,1,1080.38
2019-06-11,1.41464,2.157186,-0.103827,-0.15365,-0.15365,-1.518466,-0.44664,1.654183,2.961102,3.87233,4.773095,0,1078.72
2019-06-12,0.090062,0.362107,-0.881127,-0.156667,-0.156667,-0.717529,-0.656528,1.364307,2.921135,3.674809,4.592568,0,1077.03
2019-06-13,-0.471174,0.495973,-0.791719,1.090035,1.090035,-0.971922,-1.995738,-0.112298,1.46491,2.272179,3.221954,1,1088.77
2019-06-14,0.098586,0.67628,-0.477265,-0.314116,-0.314116,-0.304049,-1.855346,-0.137959,1.353296,2.310554,3.309931,0,1085.35
2019-06-17,-0.569336,0.611442,-0.569336,0.658774,0.658774,-0.734645,-1.982609,-1.041526,0.370526,1.378197,2.350359,1,1092.5
2019-06-18,0.55183,1.158934,-0.417724,1.016018,1.016018,-1.282167,-2.51042,-2.221397,-0.798704,0.255491,1.061798,1,1103.6
2019-06-19,0.296644,0.423648,-0.802845,-0.115078,-0.115078,-0.709406,-1.852803,-2.194201,-0.898959,0.305281,0.961206,0,1102.33
2019-06-20,0.771086,0.782782,-0.601033,0.824617,0.824617,-1.11389,-2.05197,-3.033297,-1.88943,-0.70508,-0.029032,1,1111.42
2019-06-21,-1.12668,0.198773,-1.230078,0.941138,0.941138,-1.38464,-2.467465,-3.82893,-2.888366,-1.834456,-1.081459,1,1121.88
