date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.784197,0.009927,-1.216002,1.02793,1.02793,0.001985,-1.314274,-2.87208,-4.177834,-5.348063,-6.016281,1,197.59915264210895
2019-04-12,-0.843758,0.201128,-0.843758,1.176295,1.176295,-0.985038,-1.874908,-3.507481,-4.761589,-5.978339,-6.781099,1,199.9235024126162
2019-04-15,-0.341697,0.136679,-0.712682,0.495462,0.495462,-1.345309,-1.908621,-3.489212,-4.707849,-5.977767,-6.876048,0,200.9140480954062
2019-04-16,0.381474,0.743385,-0.088032,-0.190374,-0.190374,-0.807942,-1.22463,-2.811822,-4.028708,-5.37135,-6.342526,0,200.53156015848728
2019-04-17,-0.585815,0.140402,-0.595497,1.017264,1.017264,-1.117405,-1.834907,-3.232147,-4.500121,-5.832196,-6.906999,1,202.57149582205483
2019-04-18,0.175046,1.030828,-0.272294,-0.430888,-0.430888,-0.282991,-1.156764,-2.307692,-3.705388,-4.956919,-6.107036,0,201.69863873523985
2019-04-22,-0.32718,0.717844,-0.380897,-0.427891,-0.427891,0.236351,-0.59918,-1.468242,-2.900186,-4.108018,-5.298387,0,200.83558903142284
2019-04-23,-0.44164,0.621208,-1.271536,0.620178,0.620178,-0.265955,-1.090512,-1.738737,-3.101432,-4.259743,-5.478303,1,202.0811266721588
2019-04-24,-0.270898,0.764319,-0.57082,0.325164,0.325164,-0.371517,-1.129547,-1.656992,-2.995114,-4.132933,-5.396349,0,202.73822133301948
2019-04-25,-0.237288,0.590799,-0.697337,-0.106424,-0.106424,-0.270218,-0.68184,-1.297498,-2.474092,-3.635642,-4.886199,0,202.52245890706521
2019-04-26,1.114876,1.242572,-0.132606,-1.399516,-1.399516,0.943961,0.832474,0.206932,-0.757085,-1.999902,-3.176006,-1,199.6881252206661
2019-04-29,0.568856,0.811239,-0.900277,-0.712146,-0.712146,1.408785,1.472101,0.928967,0.208746,-1.031658,-2.152915,-1,198.26605468596756
2019-04-30,-1.055474,0.024546,-1.428571,0.761773,0.761773,0.411389,0.648012,0.170839,-0.351006,-1.504566,-2.560792,1,199.77639166764737
2019-05-01,2.21328,2.374245,-0.070423,-2.405498,-2.405498,2.089537,2.843561,2.569416,2.218058,1.113481,0.086854,-1,194.97077399866617
2019-05-02,-0.850704,0.024874,-1.099448,1.11167,1.11167,0.420875,1.437242,1.494121,1.153923,0.235809,-0.766297,1,197.13820564120667
2019-05-03,0.71799,0.872557,-0.119665,-0.223869,-0.223869,0.342042,1.41055,1.691264,1.383626,0.670124,-0.367637,0,196.69687340630026
2019-05-06,-0.445825,0.150278,-0.661223,-0.463702,-0.463702,0.556029,1.625006,2.024078,1.795071,1.294194,0.278181,0,195.7847867874936
2019-05-07,1.016584,1.478667,-0.929301,-2.434504,-2.434504,2.148175,3.58166,4.22447,4.109719,3.803871,2.867485,-1,191.01839865050408
2019-05-08,-0.348414,0.737818,-0.763437,0.20537,0.20537,1.566839,2.777579,3.693191,3.749552,3.608751,2.75623,0,191.4106939704209
2019-05-09,-0.652688,0.256964,-1.536643,-0.302301,-0.302301,1.213897,2.476616,3.597492,3.939511,3.840066,3.159112,0,190.8320583735436
2019-05-10,-0.704081,0.467674,-2.348648,0.0,0.0,0.599239,2.01254,3.217871,3.762206,3.719396,3.236544,0,190.8320583735436
2019-05-13,0.346748,0.693496,-0.630451,-2.179052,-2.179052,1.864033,3.66397,5.011383,5.718714,5.783545,5.509089,-1,186.67372798242516
2019-05-14,-0.58449,0.594927,-0.840205,0.672481,0.672481,0.854817,2.341092,3.807884,4.667049,4.827889,4.73437,1,187.92907300615903
2019-05-15,-0.495411,0.547559,-0.777013,0.073061,0.073061,0.425532,1.899249,3.212001,4.25923,4.560701,4.613579,0,188.0663763681299
2019-05-16,0.046782,1.341096,-0.093565,0.323321,0.323321,-0.126832,1.122258,2.390061,3.554943,4.077139,4.168486,0,188.674434114001
2019-05-17,-0.893135,0.996988,-0.950254,0.103961,0.103961,-0.438259,0.602866,1.901894,3.107799,3.784194,3.924083,0,188.87058177395943
2019-05-20,0.094266,1.000262,-0.178057,-0.846401,-0.846401,0.475517,1.00707,2.380379,3.625818,4.399895,4.617265,-1,187.27197834529832
2019-05-21,-2.256464,0.558893,-2.669104,0.261849,0.261849,0.195351,0.569862,1.686428,2.973884,3.847062,4.133368,0,187.76234749519435
2019-05-22,0.836377,1.752157,-0.455243,-1.326717,-1.326717,1.240802,1.590705,2.704639,3.887036,4.913874,5.321935,-1,185.27127221372245
2019-05-23,-1.848958,0.28125,-2.984375,1.6357,1.6357,-0.428125,-0.178646,0.738889,1.8375,2.922292,3.497917,1,188.30175356008002
2019-05-24,-0.542383,0.13947,-1.642647,0.828125,0.828125,-1.141588,-1.049641,-0.328529,0.74229,1.827574,2.51201,1,189.86112745674941
2019-05-28,1.477421,2.56852,-0.104411,-1.053773,-1.053773,-0.026103,0.067345,0.451753,1.538241,2.635761,3.389715,-1,187.86042132517358
2019-05-29,0.15264,0.994789,-1.031633,-0.814409,-0.814409,0.641086,0.8032,1.10883,2.011158,3.140376,3.977753,-1,186.33046957749792
2019-05-30,-0.497174,0.743144,-0.518108,0.573714,0.573714,0.294118,0.192589,0.389366,1.227235,2.224618,3.151036,1,187.3994743242713
2019-05-31,-0.110614,0.231762,-0.626811,-0.643709,-0.643709,0.717408,0.708454,0.873672,1.589149,2.536107,3.526117,-1,186.19316621552701
2019-06-03,-0.026375,1.213272,-0.432558,-0.147485,-0.147485,0.442053,0.698423,0.846477,1.449333,2.391307,3.396107,0,185.91855949158523
2019-06-04,-1.879641,0.128041,-1.961588,2.996255,2.996255,-2.100896,-2.010755,-1.91959,-1.614085,-0.728912,0.225523,1,191.48915303440427
2019-06-05,-1.36255,0.015252,-1.835375,0.737516,1.443894,-2.67854,-3.071292,-3.098542,-2.931169,-2.255593,-1.33534,1,194.25405416082327
2019-06-06,-0.263732,0.243445,-1.12086,0.244039,0.244039,-2.16276,-2.821617,-3.106374,-3.082298,-2.498532,-1.71265,0,194.7281095067849
2019-06-07,-0.050684,0.871769,-0.552458,0.065933,0.065933,-1.338023,-2.549259,-2.958708,-3.042889,-2.609614,-1.90855,0,194.85649949631622
2019-06-10,0.257511,0.908861,-0.368594,0.380132,0.380132,-0.721997,-2.625037,-3.096928,-3.288248,-3.000912,-2.349731,0,195.59721097438128
2019-06-11,0.510075,1.429221,-1.095904,-0.020197,-0.020197,-0.285844,-2.211759,-2.794888,-3.041567,-2.985962,-2.376169,0,195.55770636221777
2019-06-12,-0.065346,0.62833,-0.482558,0.469673,0.469673,-0.525787,-2.152513,-2.953629,-3.277315,-3.328367,-2.888529,0,196.47618859501847
2019-06-13,-1.186064,0.163084,-1.43316,1.714085,1.714085,-1.690141,-3.178728,-4.102918,-4.612616,-4.788679,-4.443767,1,199.8439567819543
2019-06-14,-2.167469,0.354765,-2.167469,1.690141,1.690141,-2.50085,-3.950022,-5.207331,-5.840088,-6.127276,-5.932176,1,203.221601121931
2019-06-17,0.009663,0.874481,-0.473476,0.588035,0.588035,-2.207943,-3.606608,-5.286786,-6.01029,-6.410233,-6.356212,1,204.41661563987594
2019-06-18,0.298824,1.296511,-0.17833,0.241569,0.241569,-1.53075,-3.183921,-4.960319,-5.806399,-6.279779,-6.433432,0,204.91042329191933
2019-06-19,-0.019236,0.25969,-0.981052,0.221708,0.221708,-0.882947,-2.857074,-4.552663,-5.586209,-6.147501,-6.407559,0,205.36472633179923
2019-06-20,-0.795266,0.194083,-0.918343,1.591805,1.591805,-1.593373,-3.712663,-5.369675,-6.505652,-7.223717,-7.598853,1,208.6337329883264
2019-06-21,0.89307,1.241702,-0.148049,-0.880473,-0.880473,-0.373466,-2.279956,-3.864864,-5.227969,-6.049056,-6.520725,-1,206.79676852272502
2019-06-24,1.289538,1.829684,-0.184915,-1.857777,-1.857777,1.36837,-0.06764,-1.485469,-3.111408,-3.993031,-4.552109,-1,202.95494498982757
2019-06-25,0.761942,1.152681,-0.263749,-0.36983,-0.36983,1.476995,0.632021,-0.766501,-2.397066,-3.341259,-3.941782,0,202.20435735872164
2019-06-26,-0.523205,0.436004,-0.857475,0.820553,0.820553,0.503827,0.175371,-1.259891,-2.761411,-3.812019,-4.463034,1,203.86355106958737
2019-06-27,0.284997,0.473384,-0.487876,0.29067,0.29067,-0.196116,0.110617,-1.228867,-2.626113,-3.715464,-4.472717,0,204.45612025203943
2019-06-28,-0.096168,0.495264,-0.278886,0.458893,0.458893,-0.788575,-0.2409,-1.338013,-2.603491,-3.822414,-4.637736,0,205.39435479092185
2019-07-01,-0.275823,0.965379,-1.003424,1.110737,1.110737,-1.423816,-1.179855,-2.034113,-3.1496,-4.535835,-5.383488,1,207.67574614336223
2019-07-02,0.047587,0.057105,-0.799467,-0.066578,-0.066578,-0.844199,-0.987437,-1.584023,-2.698439,-4.092987,-4.994961,0,207.53748000079008
2019-07-03,-1.074965,0.306459,-1.131542,0.932712,0.932712,-1.224894,-1.706271,-2.079837,-3.234323,-4.537333,-5.527412,1,209.47320599680012
2019-07-05,-0.704625,0.335761,-0.818122,-0.301744,-0.301744,-0.506006,-1.398846,-1.496264,-2.603566,-3.837729,-4.865283,0,208.8411322021846
2019-07-08,-0.906486,0.248931,-1.089662,0.685709,0.685709,-0.719553,-1.90503,-1.943544,-2.900287,-4.034561,-5.164888,1,210.2731743931104
2019-07-09,-0.033019,0.627358,-0.377358,-0.427411,-0.427411,-0.131132,-1.177358,-1.36478,-2.154481,-3.17452,-4.447152,0,209.37444446639145
2019-07-10,-0.014235,0.270463,-0.911032,-0.589623,-0.589623,0.519098,-0.30605,-0.676315,-1.271886,-2.280237,-3.555635,-1,208.139925336283
2019-07-11,-0.836292,0.018688,-1.410951,1.561091,1.561091,-0.844702,-1.482433,-2.013019,-2.436694,-3.458045,-4.642934,1,211.38917968672843
2019-07-12,-1.48009,0.009165,-1.6588,1.957578,1.957578,-2.12803,-2.860285,-3.681132,-3.946066,-4.925629,-6.03876,1,215.5272878108519
2019-07-15,0.114312,0.274348,-0.864198,0.215369,0.215369,-1.808871,-2.578418,-3.604329,-3.856882,-4.738546,-5.78082,0,215.99146700377267
2019-07-16,0.018411,0.501703,-0.243947,-0.658436,-0.658436,-0.673847,-1.611433,-2.60456,-2.983062,-3.753475,-4.711246,-1,214.56930096588775
2019-07-17,0.519456,0.913687,0.0,-0.759459,-0.759459,0.537081,-0.604796,-1.52312,-2.052085,-2.690413,-3.646244,-1,212.93973571414463
2019-07-18,0.494311,0.834732,-0.666853,-0.542646,-0.542646,1.122925,0.046633,-0.736492,-1.366116,-1.87036,-2.844619,-1,211.78422580836312
2019-07-19,0.765115,1.027976,-0.051633,-0.652863,-0.652863,1.300225,0.778258,0.104206,-0.675929,-1.024784,-1.957848,-1,210.40156438264168
2019-07-22,0.818857,0.941923,-0.421262,-0.83083,-0.83083,1.445544,1.544942,1.047001,0.200691,-0.091447,-0.916047,-1,208.65348529440814
2019-07-23,-0.239347,0.492773,-0.633565,0.856724,0.856724,0.191477,0.733058,0.276266,-0.472592,-0.825605,-1.522589,1,210.44106899480516
2019-07-24,-0.707932,0.03726,-0.763821,0.764971,0.764971,-0.652974,0.152764,-0.343098,-0.995995,-1.443808,-2.010929,1,212.05088194046655
2019-07-25,-0.58919,0.171654,-0.890745,0.391225,0.391225,-0.937138,-0.167479,-0.624758,-1.17003,-1.686662,-2.135931,0,212.88047879589942
2019-07-26,-0.636209,0.138306,-1.295468,0.630944,0.630944,-1.20142,-0.854271,-1.080325,-1.561708,-2.1987,-2.525779,1,214.2236356094574
2019-07-29,-0.573289,0.105485,-0.775087,0.520953,0.520953,-1.09246,-1.398367,-1.436128,-1.840947,-2.546872,-2.843362,0,215.33964090307543
2019-07-30,0.073611,0.565881,-0.230033,-0.311869,-0.311869,-0.389216,-1.085296,-0.963379,-1.370997,-2.023739,-2.380229,0,214.66806249629644
2019-07-31,1.244794,1.923347,-0.711311,-1.688443,-1.688443,1.226075,0.523656,0.829239,0.405962,-0.173522,-0.606798,-1,211.04351433029805
2019-08-01,0.615515,2.245924,-0.380585,-0.402452,-0.402452,1.379505,0.854203,1.198766,0.828831,0.350327,-0.128585,0,210.19416516878346
2019-08-02,-0.136696,0.466651,-0.50436,-0.319504,-0.319504,1.255715,1.135517,1.332076,1.168277,0.768701,0.205672,0,209.52258676200447
2019-08-05,2.23968,2.449497,-0.419635,-3.398539,-3.398539,3.539573,4.384698,4.449432,4.533034,4.254709,3.658632,-1,202.40188041953897
2019-08-06,-1.815134,0.138889,-2.059387,1.883478,1.883478,0.805556,2.25,2.248404,2.523946,2.299042,1.795019,1,206.21407549331386
2019-08-07,-0.899428,0.283777,-2.299072,-0.426245,-0.426245,0.681064,2.360637,2.439196,2.894522,2.69405,2.281596,0,205.33509787267664
2019-08-08,-0.883868,0.056719,-1.347072,1.760377,1.760377,-1.179751,0.401758,0.576641,1.056152,0.907501,0.593342,1,208.94976988563414
2019-08-09,0.680888,1.137987,-0.98562,-0.732618,-0.732618,-0.653271,0.814684,1.223058,1.606514,1.624798,1.38336,-1,207.4189661642997
2019-08-12,0.526545,1.27047,-0.415439,-1.433197,-1.433197,0.991256,1.747742,2.557686,2.801555,2.988455,2.842053,-1,204.44624409899856
2019-08-13,-0.969616,1.579225,-1.704027,0.63765,0.63765,0.306245,0.669611,1.755868,1.935871,2.265444,2.159235,1,205.7498963003931
2019-08-14,1.423682,1.870132,-0.039685,-3.235252,-3.235252,3.032889,3.43519,4.72411,4.99628,5.502852,5.433471,-1,199.09336915084836
2019-08-15,0.599633,0.976262,-1.357847,0.099211,0.099211,1.961445,2.785569,4.165717,4.57877,5.155459,5.158663,0,199.2908922116657
2019-08-16,0.049104,0.38301,-0.972256,0.92175,0.92175,0.404616,1.429413,2.78026,3.393076,3.908667,4.070382,1,201.1278566772671
2019-08-19,-0.466458,0.41837,-1.274345,2.111466,2.111466,-1.581149,-0.523203,0.33149,1.175283,1.553258,1.838904,1,205.3746024848401
2019-08-20,-1.653692,0.350085,-2.266341,4.395287,4.395287,-4.917776,-4.329541,-3.900993,-2.992077,-2.725506,-2.370599,1,214.40140636419304
2019-08-21,-0.757713,0.217786,-1.651543,1.524713,1.524713,-4.638838,-5.199637,-5.141258,-4.319873,-4.099456,-3.690865,1,217.67041302072016
2019-08-22,-0.438874,0.742014,-0.51579,0.281307,0.281307,-3.166229,-5.038006,-5.160317,-4.464528,-4.249389,-3.85576,0,218.28273450925397
2019-08-23,1.117396,1.563434,-0.671357,-1.606189,-1.606189,-0.314526,-3.145261,-3.449058,-2.892123,-2.604865,-2.297941,-1,214.77670017974597
2019-08-26,-0.086897,0.388749,-1.129659,0.542604,0.542604,0.126229,-3.135605,-3.5521,-3.402241,-2.995472,-2.825978,0,215.94208623856835
2019-08-27,0.614087,1.008203,-0.137482,-0.201235,-0.201235,0.430778,-2.487512,-3.070131,-3.187984,-2.705834,-2.615523,0,215.5075355047702
2019-08-28,-1.833746,0.063077,-2.180671,1.713945,1.713945,-1.121874,-3.213336,-4.281745,-4.633251,-4.214823,-4.161298,1,219.2012167420546
2019-08-29,-1.504487,0.167165,-1.566074,2.419464,2.419464,-2.903396,-4.37665,-6.081002,-6.567394,-6.270456,-6.236436,1,224.5047109250005
2019-08-30,0.22816,0.596727,-0.535299,0.259546,0.259546,-2.238603,-3.559738,-5.800828,-6.463516,-6.320039,-6.261682,0,225.08740395441168
2019-09-03,1.062168,1.588789,-0.307939,-1.684876,-1.684876,-0.079439,-1.187575,-3.67891,-4.433659,-4.606953,-4.464825,-1,221.29496118671855
2019-09-04,-0.089226,0.0,-1.552532,0.035703,0.646016,-0.072732,-1.448125,-3.789074,-4.676422,-5.074562,-4.8942,1,222.72456279809222
2019-09-05,-0.81087,0.276134,-0.832785,1.784519,1.784519,-1.163204,-2.7777,-4.664058,-5.876469,-6.46259,-6.346241,1,226.69912559618444
2019-09-06,-1.051356,0.103838,-1.406135,1.306158,1.306158,-1.988559,-3.535801,-5.011669,-6.639128,-7.329544,-7.310192,1,229.66017488076312
2019-09-09,-0.588311,0.429424,-1.198093,0.752823,0.752823,-2.176214,-3.538637,-4.849548,-6.818756,-7.643972,-7.755486,1,231.38910969793324
2019-09-10,-0.321888,0.008584,-1.412017,0.055825,0.055825,-1.347639,-2.919672,-4.149818,-6.286083,-7.192449,-7.574018,0,231.51828298887122
2019-09-11,0.116049,0.438408,-0.704891,-0.145923,-0.145923,-0.471933,-2.099851,-3.525881,-5.599118,-6.624843,-7.200862,0,231.18044515103338
2019-09-12,-0.162532,0.72284,-0.295124,0.489985,0.489985,-0.473909,-2.012799,-3.576083,-5.344434,-6.615625,-7.348161,0,232.3131955484897
