date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.447483,0.093226,-0.758235,0.581359,0.581359,0.121815,-0.04537,-0.842759,-1.261032,-1.902051,-2.287549,1,158.531538810176
2019-04-12,-0.344679,0.09848,-0.658583,0.975761,0.975761,-0.750908,-0.792762,-1.528487,-1.996061,-2.582138,-3.093289,1,160.07842828147477
2019-04-15,0.462963,0.537037,-0.12963,-0.289284,-0.289284,-0.47037,-0.472222,-0.993004,-1.555247,-2.081975,-2.657819,0,159.61534672000317
2019-04-16,-0.171927,0.036841,-0.448238,0.530864,0.530864,-0.74911,-0.886037,-1.295591,-1.902554,-2.369151,-2.993573,0,160.46268744950441
2019-04-17,0.257843,1.080484,-0.1412,0.018421,0.018421,-0.408865,-0.744674,-1.07721,-1.718031,-2.194364,-2.824196,0,160.49224584704513
2019-04-18,-0.910919,0.473205,-1.875074,3.787832,3.787832,-3.078197,-3.894475,-4.272645,-4.991127,-5.437123,-6.043811,1,166.57142294125762
2019-04-22,0.005944,0.701379,-0.439848,-0.485035,-0.485035,-1.919876,-3.037328,-3.436757,-4.159237,-4.669757,-5.255984,0,165.76349340847736
2019-04-23,-2.072056,0.110587,-2.211746,2.121969,2.121969,-2.815901,-4.484605,-5.042004,-5.688551,-6.304173,-6.863396,1,169.28094271582557
2019-04-24,0.280227,0.47872,-0.140113,-0.30266,-0.30266,-1.536575,-3.585148,-4.354798,-4.999124,-5.691634,-6.234456,0,168.7685971584527
2019-04-25,0.1643,0.310996,-1.056214,-0.507911,-0.507911,-0.150217,-2.479756,-3.47025,-4.123636,-4.878535,-5.454954,-1,167.9114036297712
2019-04-26,-1.213353,0.023222,-1.306241,1.073818,1.073818,-0.840639,-2.856894,-4.063087,-4.744267,-5.56865,-6.130431,1,169.71446587975646
2019-04-29,-0.376702,0.330339,-0.452043,0.174165,0.174165,-0.513474,-2.441611,-3.810683,-4.514923,-5.345233,-5.961364,0,170.01004985516389
2019-04-30,-0.357081,0.218856,-0.662328,0.625906,0.625906,-0.922652,-2.378621,-3.964753,-4.758682,-5.526234,-6.225691,1,171.07415216663054
2019-05-01,1.649702,1.989002,-0.06435,-1.549271,-1.549271,0.595531,-0.36972,-2.059982,-2.97034,-3.724582,-4.482859,-1,168.42374918714407
2019-05-02,-0.565994,0.09336,-1.061968,0.2574,0.2574,0.449294,-0.13012,-1.867585,-2.895904,-3.638698,-4.43459,0,168.85727235107495
2019-05-03,-1.129423,0.057624,-1.233145,1.260357,1.260357,-0.652299,-1.115017,-2.603434,-3.745246,-4.492336,-5.334217,1,170.98547697400832
2019-05-06,-1.228202,0.515613,-1.361451,-0.5359,-0.5359,-0.110075,-0.329066,-1.68704,-2.910608,-3.660506,-4.500126,-1,170.06916665024536
2019-05-07,0.494554,1.130409,-0.571092,-1.59898,-1.59898,1.068001,1.175155,0.218624,-1.103621,-1.897674,-2.675105,-1,167.34979407649715
