date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,0.554693,0.717403,-0.584276,-0.272902,-0.272902,0.389024,1.168553,1.450583,1.55203,1.749871,1.874368,0,132.37583340676125
2019-04-12,-0.558906,0.272099,-0.904545,0.569485,0.569485,-0.208854,0.315488,0.830514,0.917414,1.112517,1.239398,1,133.12969326715032
2019-04-15,-0.380897,0.197773,-0.527395,0.397117,0.397117,-0.547905,-0.2615,0.427288,0.494433,0.652798,0.791093,0,133.65837420820242
2019-04-16,0.21736,1.941748,-0.333285,1.09874,1.09874,-1.273728,-1.322997,-0.690721,-0.612955,-0.474714,-0.322417,1,135.1269323777915
2019-04-17,0.34652,1.176725,-0.61363,0.362266,0.362266,-1.205602,-1.581721,-1.05785,-0.927303,-0.859659,-0.695928,0,135.61645176765452
2019-04-18,1.330716,1.977894,-1.287086,-0.721917,-0.721917,-0.151251,-0.724258,-0.404305,-0.227967,-0.153287,0.008726,-1,134.63741298792849
2019-04-22,-0.616702,0.478851,-0.993978,0.225422,0.225422,-0.107379,-0.827831,-0.723113,-0.418994,-0.371182,-0.221771,0,134.94091500964356
2019-04-23,-1.772695,0.679056,-1.89421,1.50185,1.50185,-1.102216,-2.026447,-2.148201,-1.774839,-1.767262,-1.66619,1,136.9675252836765
2019-04-24,0.323276,0.675287,-0.244253,-0.500357,-0.500357,-0.435345,-1.272989,-1.58477,-1.258261,-1.251437,-1.171216,-1,136.28219813786825
2019-04-25,-0.809166,0.085929,-1.210168,0.323276,0.323276,-0.594343,-1.299678,-1.783506,-1.542427,-1.502041,-1.483948,0,136.72276558874498
2019-04-26,-0.363274,0.092599,-0.769286,0.529896,0.529896,-0.709452,-1.450958,-2.072322,-2.007622,-1.95598,-1.946957,0,137.44725428574225
2019-04-29,0.364703,0.421911,-0.185927,-0.391766,-0.391766,-0.031465,-0.787328,-1.512681,-1.620423,-1.486556,-1.507914,0,136.90878295689294
2019-04-30,-0.715297,0.177054,-1.586402,0.97254,0.97254,-0.810198,-1.411473,-2.22238,-2.489377,-2.305382,-2.361426,1,138.24027569732036
