date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-1.753984,0.078537,-1.829248,2.163012,2.163012,-0.806309,-1.17085,-1.988067,-2.187572,-1.995091,-1.68112,1,300.0481113827604
2019-04-12,-0.871811,0.025831,-1.185018,1.344939,1.344939,-1.6629,-2.174362,-2.951028,-3.266871,-3.182693,-2.983425,1,304.0835763449095
2019-04-15,0.404911,0.417868,-0.378996,-0.319664,-0.319664,-1.149947,-1.717469,-2.324728,-2.777364,-2.816365,-2.628897,0,303.11153004015824
2019-04-16,-0.270915,0.183835,-0.632136,0.437304,0.437304,-1.104302,-1.920919,-2.424477,-2.983616,-3.13449,-3.006622,0,304.4370477284554
2019-04-17,0.231884,0.621578,-0.231884,0.141908,0.141908,-0.511433,-1.633816,-2.207407,-2.887279,-3.180934,-3.066989,0,304.8690683083449
2019-04-18,-1.027811,0.098644,-1.524216,1.21095,1.21095,-1.150003,-2.346465,-2.981608,-3.806561,-4.138866,-4.107427,1,308.560880536491
2019-04-22,-0.32037,0.317199,-0.631225,0.318208,0.318208,-1.110829,-2.254013,-2.970035,-3.774662,-4.200469,-4.260293,0,309.5427454907852
2019-04-23,-1.975383,1.266887,-2.575803,5.658821,5.658821,-4.94266,-6.665266,-7.590113,-8.34314,-8.905434,-9.10067,1,327.0592162753935
2019-04-24,1.145038,1.714528,-0.690658,-0.894626,-0.894626,-2.86926,-4.991518,-6.210267,-6.982612,-7.676966,-7.995375,-1,324.1332587115968
2019-04-25,0.419619,1.629823,-0.124669,-0.37865,-0.37865,-1.382917,-3.725788,-5.213205,-6.098154,-6.926019,-7.388026,0,322.9059275187291
2019-04-26,0.386806,0.737063,-0.380715,-0.164199,-0.164199,-0.363659,-2.874852,-4.475375,-5.445284,-6.41574,-6.932964,0,322.3757204434102
2019-04-29,-0.057823,0.779086,-0.419976,0.079189,0.079189,0.368849,-2.376822,-4.023251,-5.087495,-6.06884,-6.677521,0,322.6310053315267
2019-04-30,-1.143011,0.159002,-1.461015,1.442527,1.442527,-1.04461,-3.02643,-4.834648,-6.00156,-6.934029,-7.647676,1,327.2850452148811
2019-05-01,0.723218,1.615188,-0.081362,-0.444004,-0.444004,-0.499021,-1.937321,-3.824218,-5.149164,-6.073829,-6.881724,0,325.8318850825258
2019-05-02,-0.162382,0.045106,-1.296046,0.210939,0.210939,-0.487145,-1.48068,-3.356488,-4.818373,-5.807247,-6.711171,0,326.5191905505317
2019-05-03,-0.146676,0.469961,-0.859101,0.457074,0.457074,-0.596282,-1.335948,-3.227866,-4.736582,-5.775197,-6.785803,0,328.01162528105885
2019-05-06,-1.554867,0.241272,-1.653163,0.493908,0.493908,-0.660074,-1.211426,-3.186783,-4.711218,-5.814607,-6.829799,0,329.6317024556443
