date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,0.830368,0.830368,-0.423657,-0.430271,-0.430271,0.116965,0.350565,-0.330269,-0.745145,-1.431861,-1.971746,0,235.15347141277383
2019-04-12,-0.753674,0.07118,-1.151447,1.182003,1.182003,-0.840765,-0.666471,-1.260369,-1.73753,-2.294102,-2.950868,1,237.9329926178308
2019-04-15,0.154715,0.296885,-0.819569,0.133987,0.133987,-0.732595,-0.781283,-1.140181,-1.679154,-2.193616,-2.897088,0,238.25179074887672
2019-04-16,-0.037486,0.366529,-0.474822,0.393059,0.393059,-0.773043,-1.121294,-1.329397,-1.868304,-2.352197,-3.080324,0,239.18826025882422
2019-04-17,-0.136929,0.099585,-0.850622,0.379025,0.379025,-0.820747,-1.394953,-1.458434,-2.001701,-2.508157,-3.213332,0,240.09484244398615
2019-04-18,0.680809,0.730624,-0.178505,-0.045643,-0.045643,-0.372784,-1.135771,-1.237502,-1.845936,-2.269365,-2.90913,0,239.9852555864391
2019-04-22,-1.337173,0.037029,-1.637523,0.896675,0.896675,-0.910924,-1.73668,-1.897753,-2.458796,-2.937088,-3.477269,1,242.13714297099932
2019-04-23,0.168385,0.414801,-0.427122,0.181033,0.181033,-0.7335,-1.617726,-1.944348,-2.36008,-2.892011,-3.403026,0,242.57549040118752
2019-04-24,-0.67675,0.322068,-1.011048,0.73925,0.73925,-1.037955,-1.957275,-2.49096,-2.825354,-3.3665,-3.858219,1,244.368729888321
2019-04-25,-0.370506,0.504865,-0.647368,0.130458,0.130458,-0.791499,-1.7369,-2.427653,-2.678889,-3.231172,-3.746949,0,244.687528019367
2019-04-26,-0.255392,0.19053,-1.402627,0.43565,0.43565,-0.752392,-1.731798,-2.554986,-2.854817,-3.470301,-3.928123,0,245.7535092700519
2019-04-29,-0.101161,0.437017,-0.5139,0.182423,0.182423,-0.602922,-1.57488,-2.440281,-2.788762,-3.375909,-3.883446,0,246.20181914183527
2019-04-30,-1.238987,1.25472,-1.467118,2.877028,2.877028,-2.536973,-3.733874,-4.697399,-5.202061,-5.698256,-6.25451,1,253.28511511601263
2019-05-01,2.472362,3.015075,-0.032161,-2.159377,-2.159377,-0.107739,-1.261106,-2.249916,-2.912385,-3.363156,-3.94348,-1,247.81573468025542
2019-05-02,0.149682,0.436911,-1.177232,-0.627136,-0.627136,0.650512,-0.387556,-1.359818,-2.125862,-2.510658,-3.099667,-1,246.26159379140637
2019-05-03,0.266183,0.766284,-0.19762,0.307456,0.307456,0.444444,-0.408147,-1.341937,-2.179463,-2.593027,-3.229865,0,247.01873935264052
2019-05-06,-2.875644,0.176963,-3.454794,0.278282,0.278282,0.287162,-0.459701,-1.352692,-2.202783,-2.645871,-3.254398,0,247.70614782270837
2019-05-07,0.90182,1.089529,-1.003836,-1.439833,-1.439833,1.00302,1.058516,0.249191,-0.594752,-1.120124,-1.637574,-1,244.13959373163175
2019-05-08,-0.322015,0.904904,-0.64403,0.110177,0.110177,0.613052,0.948926,0.281254,-0.512167,-1.124545,-1.577824,0,244.40857965470178
2019-05-09,-1.394154,0.089682,-2.180914,-0.008152,-0.008152,0.467979,0.944927,0.40656,-0.335902,-1.007026,-1.391605,0,244.3886547715114
2019-05-10,-1.438791,0.52136,-2.465344,0.864213,0.864213,-0.43487,0.110334,-0.27752,-0.959665,-1.666081,-2.062742,1,246.50069238969087
