date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.60736,0.107181,-0.839586,1.010466,1.010466,-1.193283,-0.501965,-0.025009,-0.122602,-0.396031,-1.29221,1,53.18966991619634
2019-04-12,-0.919378,0.070721,-1.467468,1.036084,1.036084,-1.57355,-1.676096,-0.974776,-1.093105,-1.278245,-2.036193,1,53.740759743838254
2019-04-15,-0.456621,0.29856,-0.755181,0.671853,0.671853,-1.647348,-2.471022,-1.589978,-1.714087,-1.816462,-2.384554,1,54.101818596431215
2019-04-16,0.549743,0.727079,-0.656145,-0.965929,-0.965929,-0.234084,-1.572974,-0.705799,-0.651974,-0.75786,-1.181054,-1,53.57923341504666
2019-04-17,1.014596,1.032396,-0.195799,-0.372406,-0.372406,0.409398,-0.813457,-0.348879,-0.169988,-0.327176,-0.676496,0,53.37970089124528
2019-04-18,3.292257,3.568144,-2.004782,-3.221787,-3.221787,3.159831,2.446202,2.682852,2.991539,2.899933,2.6545,-1,51.65992056705243
2019-04-22,-1.062077,0.622597,-1.64805,0.44142,0.44142,1.992309,1.966673,1.887322,2.418971,2.349372,2.204457,0,51.88795773711115
2019-04-23,-0.218898,0.310106,-1.67822,0.384545,0.384545,0.828165,1.492156,1.143135,1.868843,1.835095,1.788439,0,52.08749026091253
2019-04-24,-0.274173,0.584902,-0.639737,-0.200657,-0.200657,0.416743,1.623104,1.105221,1.861634,2.002342,1.977461,0,51.98297322463562
2019-04-25,1.3227,2.606497,-1.45886,-6.031804,-6.031804,5.006808,7.366271,7.261882,7.924528,8.275434,8.268483,-1,48.84746213632822
2019-04-26,-2.367873,0.284145,-2.443645,2.684303,2.684303,1.663194,3.955295,4.229336,4.732904,5.191892,5.260298,1,50.15867586416586
2019-04-29,-1.139974,0.242945,-1.47636,1.363895,1.363895,-0.115866,1.986545,2.669906,2.957391,3.596337,3.691821,1,50.84278737434202
2019-04-30,-0.938708,1.214798,-1.785386,1.532424,1.532424,-1.803792,-0.033131,1.003743,1.090558,1.869317,1.993986,1,51.621914372042646
2019-05-01,2.116501,2.528563,-0.05619,-1.730167,-1.730167,-0.569395,1.165012,2.567272,2.561341,3.390148,3.675285,-1,50.72876878931266
2019-05-02,-0.188111,0.733634,-0.413845,-0.430792,-0.430792,0.519187,1.034612,2.727615,2.927953,3.601204,4.012416,0,50.51023316800639
2019-05-03,-0.576637,0.279018,-1.041667,1.128668,1.128668,-0.241815,-0.206473,1.305804,1.701079,2.22619,2.704613,1,51.08032609315318
2019-05-06,-0.784607,0.878012,-0.803288,-0.427827,-0.427827,0.194284,0.020549,1.363721,2.022231,2.373996,2.997073,0,50.861790471846916
2019-05-07,0.623347,0.944465,-0.83113,-1.102186,-1.102186,0.785795,0.780128,1.989674,2.938232,3.153003,3.917643,-1,50.30119909545256
2019-05-08,1.212471,1.69361,-0.019246,-1.851152,-1.851152,2.136259,2.151655,3.344881,4.576597,4.734411,5.552348,-1,49.37004731771279
2019-05-09,-0.423158,0.538565,-1.557992,0.057737,0.057737,1.627236,2.20427,2.747964,4.186382,4.520869,5.215105,0,49.39855196397013
2019-05-10,-1.170601,0.230282,-2.533103,0.230814,0.230814,0.759931,1.838419,2.222222,3.57513,4.089042,4.679204,0,49.51257054899949
2019-05-13,0.583204,0.991446,-0.797045,-1.285742,-1.285742,1.25972,2.762442,3.14282,4.426516,5.185848,5.654484,-1,48.875966782585564
2019-05-14,-1.175564,0.944305,-1.349008,0.874806,0.874806,-0.023126,1.401041,1.871909,3.034303,4.012334,4.363076,1,49.303536476445665
2019-05-15,-0.728947,0.47957,-1.246883,0.462517,0.462517,-0.418185,0.6925,1.072959,2.151352,3.304815,3.591022,0,49.531573646504384
2019-05-16,-0.038439,1.403037,-0.288295,-0.191828,-0.191828,-0.211416,0.668845,1.346659,1.948876,3.242745,3.665193,0,49.43655815897992
2019-05-17,-1.12703,0.324737,-1.700096,0.61503,0.61503,-0.729704,-0.215855,0.671124,1.13276,2.334288,2.888252,1,49.74060771905821
2019-05-20,-0.343971,1.452322,-0.515956,-0.038204,-0.038204,-0.351615,-0.407032,0.559271,0.953564,2.050067,2.772151,0,49.72160462155331
2019-05-21,1.407365,1.407365,-0.077116,-0.879037,-0.879037,0.524388,0.269906,1.134889,1.564488,2.564103,3.46443,-1,49.284533378940765
2019-05-22,-1.703578,0.359644,-2.044293,1.850781,1.850781,-1.037289,-1.387469,-0.77355,-0.459019,0.430816,1.440469,1,50.19668205917564
2019-05-23,-0.568074,0.132551,-1.211892,-0.037857,-0.037857,-0.704412,-1.194849,-0.780155,-0.288771,0.213596,1.314145,0,50.17767896167076
2019-05-24,1.087786,1.354962,-1.526718,-0.776368,-0.776368,0.091603,-0.366412,-0.176845,0.454198,0.847328,1.879135,-1,49.78811546282044
2019-05-28,4.331261,4.331261,-0.240626,-4.828244,-4.828244,4.182875,4.373371,4.398102,5.185482,5.583317,6.600495,-1,47.38422362845144
2019-05-29,-1.972504,0.518031,-2.968719,0.641668,0.641668,2.849173,3.369197,3.367205,4.102411,4.541144,5.472538,1,47.68827318852973
2019-05-30,0.21908,0.557658,-0.557658,0.039849,0.039849,1.764589,2.945628,3.093673,3.744274,4.141008,5.020248,0,47.70727628603463
2019-05-31,1.752956,1.814105,-0.244598,-2.29038,-2.29038,2.62128,4.753363,5.112108,5.758255,6.390542,6.998233,-1,46.61459817950326
2019-06-03,-1.696607,0.0998,-1.936128,2.119853,2.119853,-0.427146,2.129741,2.662675,3.197605,3.967265,4.493014,1,47.60275924975772
2019-06-04,0.714002,0.773503,-0.337168,0.638723,0.638723,-0.840936,1.102737,1.87624,2.234232,3.062277,3.552823,1,47.90680880983601
2019-06-05,1.81123,1.972228,-1.448984,-1.447838,-1.447838,0.41457,2.149326,3.077749,3.409137,4.202858,4.729993,-1,47.213195750907396
2019-06-06,-1.655172,0.827586,-1.694581,2.133226,2.133226,-1.469951,-0.394089,0.743514,1.130049,1.818325,2.28243,1,48.220359918666745
2019-06-07,-0.369794,0.661736,-0.506033,1.241379,1.241379,-1.77501,-1.893733,-0.5761,-0.169327,0.431296,1.02634,1,48.818957490070886
2019-06-10,0.566296,0.956844,-0.449131,-0.330868,-0.330868,-1.015427,-1.80043,-0.394454,0.074204,0.565515,1.258869,0,48.65743116127929
2019-06-11,-1.534036,0.594439,-1.610738,1.835579,1.835579,-2.136146,-3.133269,-2.212848,-1.661553,-1.35302,-0.653244,1,49.55057674400928
2019-06-12,-0.290754,0.872262,-0.911029,-1.073826,-1.073826,-0.337275,-1.810428,-1.187569,-0.623183,-0.386897,0.24811,-1,49.01849001387227
2019-06-13,-0.136692,0.429604,-1.034954,-0.736577,0.826898,-0.667628,-2.268386,-2.102195,-1.449089,-1.199488,-0.662052,1,49.42382303549713
2019-06-14,0.491545,1.219033,-0.747149,-0.68346,-0.68346,0.12476,-1.092342,-1.576761,-0.806603,-0.545046,-0.075159,-1,49.086030845252566
2019-06-17,-0.924105,0.64884,-0.943767,0.0,0.0,0.299392,-0.790164,-1.672116,-0.87328,-0.579805,-0.210588,0,49.086030845252566
2019-06-18,1.895451,2.254589,-0.219473,-1.454974,-1.454974,1.292904,0.770763,-0.084232,0.450764,0.846404,1.091176,-1,48.371841643021206
2019-06-19,0.420842,0.701403,-0.601202,-0.438947,-0.438947,1.382766,1.411539,0.421511,0.776832,1.195998,1.388633,0,48.159515123438915
2019-06-20,-0.039793,0.298448,-0.716275,0.721443,0.721443,0.278552,0.744238,-0.187877,-0.119181,0.386664,0.603101,1,48.50695851911903
2019-06-21,4.291667,4.875,-0.1875,-4.496618,-4.496618,3.808333,4.94943,4.470048,4.167801,4.844603,5.118732,-1,46.325786090682726
2019-06-24,-0.783667,1.113632,-1.196123,1.020833,1.020833,1.781811,3.491721,3.299818,2.795775,3.533677,3.863187,1,46.798695157025115
