date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,1.36523,1.36523,-0.563627,-1.212571,-1.212571,1.092184,2.488727,2.768036,2.743612,2.375789,2.146635,-1,78.24996079661284
2019-04-12,0.730203,1.27156,-0.163666,-0.513527,-0.513527,1.180914,2.546897,3.058458,3.139242,2.912669,2.603812,-1,77.84812607809316
2019-04-15,0.993251,1.222463,-0.076404,-1.133073,-1.133073,1.724182,3.114733,3.915277,4.141729,4.000667,3.682431,-1,76.96604986670849
2019-04-16,2.153172,2.230531,-0.180505,-1.235197,-1.235197,2.160908,3.675864,4.754169,5.163744,5.140294,4.824856,-1,76.01536772777169
2019-04-17,4.991883,5.005411,-0.229978,-4.693141,-4.693141,5.324675,7.528409,9.157648,9.790314,9.931818,9.702777,-1,72.44785949506038
2019-04-18,0.396229,1.175024,-1.311655,-0.987554,-0.987554,4.558,7.41768,9.386528,10.218609,10.574669,10.490993,-1,71.73239767915949
2019-04-22,-0.408386,0.47645,-0.980125,0.368903,0.368903,2.548326,5.976041,8.103276,9.212497,9.726654,9.821595,0,71.99702054257487
2019-04-23,-1.206434,0.871314,-1.608579,1.551865,1.551865,-0.072386,3.505362,5.673816,7.024129,7.687936,7.887538,1,73.11431707699545
2019-04-24,0.0,0.508497,-1.003613,0.174263,0.174263,-1.003613,2.513047,4.733485,6.289977,7.116285,7.434333,0,73.24172808530658
2019-04-25,-2.305476,0.628766,-2.462667,2.154423,2.154423,-2.457427,-0.235787,1.927343,3.658632,4.556458,4.962885,1,74.81966441900582
2019-04-26,0.01305,0.46979,-0.704685,0.379879,0.379879,-1.928749,-1.032233,1.087477,2.874853,3.830876,4.354256,0,75.10388897600753
2019-04-29,-0.24746,0.520969,-0.390727,0.195746,0.195746,-1.255535,-1.570722,0.51055,2.257749,3.340974,3.942433,0,75.25090167790498
2019-04-30,-1.46106,0.241392,-3.443019,2.513675,2.513675,-2.632448,-3.961377,-2.143734,-0.541227,0.62203,1.281921,1,77.14246510898542
2019-05-01,-0.03811,1.283028,-0.368394,0.012705,0.012705,-1.631098,-3.82622,-2.332317,-0.83905,0.395833,1.133977,0,77.15226595577859
2019-05-02,-1.144366,0.389839,-1.144366,1.01626,1.01626,-1.820926,-4.089537,-3.423877,-2.066776,-0.753521,0.009222,1,77.93633369923162
2019-05-03,-0.575,0.175,-0.9375,0.603622,0.603622,-1.5675,-3.81375,-3.99,-2.77,-1.4805,-0.71375,1,78.40677434530345
2019-05-06,-1.195269,0.390035,-1.48465,-0.65,-0.65,-0.244087,-2.427026,-3.357658,-2.238928,-1.021641,-0.182016,-1,77.89713031205898
2019-05-07,1.27086,1.784339,-0.616175,-1.987921,-1.987921,1.571245,-0.02439,-1.451433,-0.451861,0.708601,1.652118,-1,76.34859651873923
2019-05-08,0.191865,0.677923,-0.358148,0.359435,0.359435,1.069327,0.058839,-1.751514,-0.975953,0.09056,1.085955,0,76.6230202289478
2019-05-09,-0.829823,0.229797,-1.391549,0.191865,0.191865,0.571939,0.121282,-1.564322,-1.324524,-0.348781,0.723861,0,76.77003293084523
2019-05-10,-0.140683,0.179051,-1.764932,-0.178731,-0.178731,0.28904,0.500064,-0.96176,-1.253357,-0.35759,0.714925,0,76.63282107574095
2019-05-13,-0.453544,0.466503,-0.453544,-1.304515,-1.304515,1.015939,1.878969,0.66779,-0.094596,0.753142,1.786964,-1,75.63313470283833
2019-05-14,0.258331,0.852493,-0.077499,0.32396,0.32396,0.565745,1.383363,0.585551,-0.488892,0.245415,1.205115,0,75.8781558726674
2019-05-15,-0.876854,0.425532,-0.967118,0.167915,0.167915,0.234687,1.06254,0.65936,-0.656351,-0.090264,0.792177,0,76.00556688097852
2019-05-16,-1.718691,0.960445,-1.76924,2.037395,2.037395,-1.564514,-1.004676,-1.115464,-2.310754,-2.170605,-1.39096,1,77.55410067429827
2019-05-17,-0.393801,0.444614,-1.105183,-0.518135,-0.518135,-0.917175,-0.651677,-0.423442,-1.450711,-1.717988,-1.009909,-1,77.15226595577859
2019-05-20,-0.659229,0.494422,-0.798682,0.203252,0.203252,-0.684584,-0.92926,-0.447938,-1.307049,-1.945233,-1.306626,0,77.3090795044692
2019-05-21,-0.528302,0.289308,-1.220126,0.786004,0.786004,-0.935849,-1.500629,-1.158071,-1.768553,-2.661132,-2.137107,1,77.9167320056453
2019-05-22,-2.012843,0.209928,-2.062238,1.861635,1.861635,-1.899234,-2.955051,-2.778464,-3.177945,-4.271178,-3.918251,1,79.36725733103341
2019-05-23,-0.518391,0.209825,-0.752901,0.049395,0.049395,-1.481116,-2.670945,-2.703036,-2.936929,-3.967909,-3.957459,0,79.40646071820606
2019-05-24,0.160158,0.948626,-0.073919,0.185139,0.185139,-1.059505,-2.483676,-2.786744,-2.836639,-3.752125,-4.080325,0,79.5534734201035
2019-05-28,1.395465,2.093197,-0.037379,-1.121104,-1.121104,0.40618,-0.993023,-1.619736,-1.518191,-2.321954,-2.958302,-1,78.66159636192569
2019-05-29,0.957661,1.272681,-0.768649,-1.121356,-1.121356,1.509577,0.374244,-0.381384,-0.360383,-0.974294,-1.822917,-1,77.77952015054102
