date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,0.17452,0.432145,-0.34073,0.116482,0.116482,-0.337405,-0.681459,-1.303637,-1.508768,-2.390426,-3.183745,0,119.08319890743911
2019-04-12,-0.256304,0.024804,-0.479537,0.51525,0.51525,-0.673005,-0.941711,-1.594598,-1.805291,-2.545515,-3.447981,0,119.69677476817719
2019-04-15,-0.090872,0.437836,-0.39653,0.082679,0.082679,-0.570012,-0.855845,-1.489192,-1.742668,-2.354399,-3.285695,0,119.79573861668332
2019-04-16,0.720378,0.728658,-0.554774,-0.231309,-0.231309,-0.092738,-0.495156,-1.102923,-1.385692,-1.891198,-2.811129,0,119.51863984086613
2019-04-17,-0.435247,0.065698,-1.010101,0.82802,0.82802,-0.653691,-1.16449,-1.641346,-2.021023,-2.458077,-3.334976,1,120.50827832592753
2019-04-18,-0.956472,0.121585,-1.67788,1.313953,1.313953,-1.449299,-2.121261,-2.568966,-3.164059,-3.438437,-4.237929,1,122.0916999020258
2019-04-22,-0.921138,0.193924,-0.961538,0.316122,0.316122,-1.305753,-2.117001,-2.562487,-3.198125,-3.489011,-4.182827,0,122.47765891119974
2019-04-23,-1.06824,0.111607,-1.283482,1.357466,1.357466,-1.927615,-2.98868,-3.526254,-4.184471,-4.530612,-5.131006,1,124.1402515661029
2019-04-24,0.62395,0.671946,-0.391969,-0.342793,-0.342793,-0.911927,-2.196624,-2.884036,-3.570914,-3.966723,-4.500973,0,123.71470701752651
2019-04-25,0.704607,1.718931,-0.247774,3.311735,3.311735,-2.945412,-4.638018,-5.523293,-6.182733,-6.68494,-7.184153,1,127.81181034568073
2019-04-26,-0.146278,0.485026,-0.669798,0.572977,0.572977,-2.494418,-4.4453,-5.521082,-6.218339,-6.918777,-7.320297,1,128.54414282462616
2019-04-29,0.100177,0.315944,-0.32365,-0.092386,-0.092386,-1.478,-3.677275,-4.926151,-5.675811,-6.440626,-6.87858,0,128.4253862064188
2019-04-30,-0.6049,0.07657,-0.926493,0.639593,0.639593,-1.313936,-3.558193,-4.985707,-5.83193,-6.638897,-7.137825,1,129.24678614901975
2019-05-01,2.072255,2.166093,-0.140757,-2.082695,-2.082695,1.233969,-0.950891,-2.516422,-3.489209,-4.341257,-4.895996,-1,126.55496946965273
2019-05-02,1.402425,1.418271,-0.546708,-1.305912,-1.305912,2.107598,0.711513,-0.908539,-1.964979,-2.776325,-3.408076,-1,124.90227319960019
2019-05-03,-1.194725,0.411171,-1.280062,2.131368,2.131368,-0.176881,-0.96121,-2.53323,-3.640807,-4.433825,-5.199379,1,127.56440072441538
2019-05-06,-1.373391,0.319938,-1.591885,-0.581846,-0.581846,0.154506,-0.039017,-1.588243,-2.754584,-3.555833,-4.355833,-1,126.82217186061932
2019-05-07,0.748885,1.322498,-1.035692,-2.052282,-2.052282,1.443595,2.061823,0.711175,-0.494344,-1.327916,-2.143085,-1,124.21942264490781
2019-05-08,-0.055772,0.685204,-0.605529,-0.007967,-0.007967,1.074018,2.109792,0.970972,-0.238228,-1.118636,-1.933445,0,124.2095262600572
2019-05-09,-0.964143,0.231076,-1.537849,-0.007967,-0.007967,0.968924,1.827092,1.177158,-0.018725,-0.934502,-1.693758,0,124.19962987520658
2019-05-10,-1.746244,0.629277,-2.603634,1.298805,1.298805,-0.604106,0.304413,0.077086,-1.033194,-1.960198,-2.686751,1,125.81274060585667
2019-05-13,0.616133,1.783543,-0.251317,-2.973334,-2.973334,1.663559,2.857722,3.12174,2.096879,1.156384,0.441562,-1,122.07190713232455
2019-05-14,-0.689489,0.921992,-0.825784,1.118768,1.118768,0.41209,1.249098,1.942863,1.114808,0.191133,-0.517117,1,123.43760824170931
2019-05-15,-1.396604,0.547532,-1.840978,1.034234,1.408569,-0.82817,-0.267393,0.604716,-0.063692,-0.972616,-1.706641,1,125.17631165941555
2019-05-16,-1.69084,0.349027,-1.915768,2.309157,2.309157,-2.462582,-2.271294,-1.652696,-2.024191,-2.922783,-3.68206,1,128.06682956870694
2019-05-17,0.187398,1.866167,-0.117123,-0.667029,-0.667029,-1.58753,-1.642694,-1.062068,-1.165003,-2.015286,-2.797111,-1,127.21258716252458
2019-05-20,0.23768,1.085406,-0.364443,-1.444523,-1.444523,0.381806,-0.316506,0.225858,0.399162,-0.39797,-1.193558,-1,125.37497268410911
2019-05-21,0.417652,0.496454,-0.252167,0.538742,0.538742,0.258471,-0.705406,-0.480259,-0.063062,-0.73321,-1.528305,0,126.05042016806723
2019-05-22,-0.822433,0.446464,-0.90076,0.606777,0.606777,-0.087726,-1.098794,-1.066796,-0.543552,-1.101756,-1.891654,1,126.81526511313746
