date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.747211,0.073669,-0.862976,0.752836,0.752836,-0.3273,-0.121553,0.556725,0.475163,0.397811,0.145934,1,186.7935284751027
2019-04-12,-0.775478,0.104794,-1.257532,0.426226,0.426226,-0.669636,-0.674876,0.022356,0.038512,0.016767,-0.22164,0,187.5896911675087
2019-04-15,-0.026156,0.476041,-0.251099,0.162431,0.162431,-0.567064,-0.8009,-0.225291,-0.116133,-0.110693,-0.332531,0,187.89439540781223
2019-04-16,0.812579,1.47214,-0.052765,-0.85792,-0.85792,0.273322,0.059624,0.445336,0.775116,0.724778,0.551041,-1,186.28241168491618
2019-04-17,0.052729,0.474558,-0.321645,0.068594,0.068594,0.313209,0.008964,0.226382,0.700237,0.627893,0.518675,0,186.4101908824628
2019-04-18,0.031686,0.697085,-0.063371,-0.152913,-0.152913,0.395015,0.212822,0.289748,0.787125,0.747782,0.697789,0,186.1251449802434
2019-04-22,-0.635571,0.236369,-0.698603,0.538657,0.538657,-0.192247,-0.308331,-0.350527,0.153903,0.189936,0.187695,0,187.1277202225324
2019-04-23,0.563781,0.885189,-0.900996,-0.309907,-0.309907,-0.026345,0.062174,-0.065335,0.364614,0.478634,0.504242,0,186.54779924905148
2019-04-24,-0.157845,0.547196,-0.478796,0.142263,0.142263,-0.111544,-0.06156,-0.186959,0.092076,0.368726,0.346908,0,186.81318681318683
2019-04-25,-0.551239,0.650987,-0.640487,0.220983,0.220983,-0.244645,-0.184271,-0.366093,-0.218921,0.160227,0.117073,0,187.22601191295288
2019-04-26,-0.161703,0.876324,-0.219081,0.645737,0.645737,-0.639508,-0.737572,-0.890234,-0.864587,-0.486568,-0.51258,1,188.43499970512494
2019-04-29,0.135579,0.589248,-0.604891,0.031297,0.031297,-0.52563,-0.720655,-0.862492,-0.936017,-0.562757,-0.534494,0,188.49397471937723
2019-04-30,-1.378317,0.108002,-1.635466,1.392293,1.392293,-1.413289,-1.915244,-2.024961,-2.194764,-1.911129,-1.839128,1,191.11836285360437
2019-05-01,0.124179,0.915817,-0.17592,-0.601728,-0.601728,-0.484297,-1.127438,-1.30905,-1.504631,-1.353133,-1.162622,-1,189.9683500756846
2019-05-02,0.584185,1.121427,-0.605049,-0.801987,-0.801987,0.449614,-0.220113,-0.403366,-0.645473,-0.601502,-0.331386,-1,188.44482887416697
2019-05-03,-0.436568,0.114339,-0.831558,0.3599,0.3599,0.162154,-0.419417,-0.678412,-0.897562,-0.947768,-0.680145,0,189.12304153806838
