date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,0.483361,0.743633,-0.501952,-0.333519,-0.333519,-0.159468,-0.048767,-0.694197,-0.801293,-1.07136,-1.405639,0,53.09865550532072
2019-04-12,-0.733945,0.0,-1.155963,1.319948,1.319948,-1.162862,-1.162056,-1.747548,-1.928865,-2.215941,-2.554069,1,53.79953011786539
2019-04-15,-0.237964,0.21966,-0.585759,0.238532,0.238532,-0.977355,-1.343625,-1.722059,-2.033373,-2.287224,-2.613787,0,53.92785927227498
2019-04-16,0.146547,0.586188,-0.476278,-0.07322,-0.07322,-0.53856,-1.146575,-1.4611,-1.889179,-2.067243,-2.392029,0,53.888373378610495
2019-04-17,0.367107,0.642438,-0.165198,-0.201502,-0.201502,-0.150514,-0.825714,-1.029015,-1.500707,-1.747906,-2.050367,0,53.77978717103314
2019-04-18,-0.146735,0.275128,-0.531915,0.073421,0.073421,0.044021,-0.726135,-0.910041,-1.50689,-1.694814,-1.989308,0,53.81927306469764
2019-04-22,-0.402783,0.10985,-0.768949,0.183419,0.183419,-0.095203,-0.737605,-0.951203,-1.496357,-1.734502,-2.041511,0,53.91798779885885
2019-04-23,-0.345832,0.364033,-0.400437,0.585866,0.585866,-0.564252,-1.050172,-1.454948,-1.848508,-2.181772,-2.459517,1,54.23387494817476
2019-04-24,-0.326205,0.634288,-0.398695,0.43684,0.43684,-0.782892,-1.192461,-1.729993,-2.081752,-2.507144,-2.725788,0,54.47079031016169
2019-04-25,0.254499,0.381749,-0.781676,-0.308083,-0.308083,-0.283585,-0.698055,-1.282008,-1.557818,-2.016485,-2.292703,0,54.302975262087614
2019-04-26,-0.342898,0.144378,-0.721891,0.727141,0.727141,-0.682187,-1.122541,-1.774516,-2.046771,-2.607553,-2.841864,1,54.6978341987325
2019-04-29,0.381264,0.744372,0.0,-0.59556,-0.59556,0.079884,-0.424837,-1.017768,-1.313835,-1.83923,-2.115991,-1,54.37207557600047
