date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.784109,2.456874,-1.2023,1.377848,1.377848,0.230005,-2.420282,-3.404774,-2.388918,-1.637219,-2.052622,1,19.13
2019-04-12,-16.897747,0.606586,-18.414211,20.648197,20.648197,-13.708839,-16.832756,-18.879261,-18.351386,-17.831889,-18.069035,1,23.08
2019-04-15,-4.047218,4.974705,-7.166948,2.772964,2.772964,-12.630691,-16.669477,-19.519393,-19.650084,-19.317032,-19.482856,1,23.72
2019-04-16,5.795148,6.693621,-0.539084,-6.155143,-6.155143,-3.809524,-9.137466,-12.949985,-13.663522,-13.478886,-13.610362,-1,22.26
2019-04-17,4.393593,4.393593,-0.640732,-1.841869,-1.841869,0.723112,-5.885584,-10.044241,-11.409611,-11.417849,-11.456903,-1,21.85
2019-04-18,3.333333,3.47619,-0.904762,-3.89016,-3.89016,6.580952,-1.057143,-5.212698,-7.359524,-7.548571,-7.566667,-1,21.0
2019-04-22,-2.429907,0.934579,-2.476636,1.904762,1.904762,3.018692,-1.957944,-5.862928,-8.628505,-8.949533,-8.981308,1,21.4
2019-04-23,-0.13934,1.16117,-1.068277,0.607477,0.607477,0.362285,-1.690664,-5.341384,-8.409196,-9.10915,-9.198018,1,21.53
2019-04-24,-2.66027,2.267771,-3.837767,6.502555,6.502555,-5.180986,-5.900567,-9.588603,-12.915395,-13.985172,-14.202646,1,22.93
2019-04-25,-1.818969,0.649632,-3.724556,0.697776,0.697776,-4.763967,-4.724989,-8.88119,-12.347337,-13.886531,-14.273134,1,23.09
2019-04-26,-1.537804,0.0,-2.776591,1.385881,1.385881,-4.006835,-4.19906,-8.830984,-12.229816,-14.318667,-14.889648,1,23.41
2019-04-29,-0.085397,1.622545,-0.640478,0.042717,0.042717,-2.322801,-4.094791,-7.717051,-11.067464,-13.672075,-14.389411,0,23.42
2019-04-30,4.040853,4.218472,-0.08881,-3.842869,-3.842869,2.460036,-0.794849,-3.188277,-6.511989,-9.456483,-10.510657,-1,22.52
2019-05-01,4.423963,4.423963,-0.875576,-3.641208,-3.641208,5.198157,2.695853,1.354839,-2.048387,-5.343779,-6.725038,-1,21.7
2019-05-02,4.723282,7.824427,-1.192748,-3.410138,-3.410138,6.879771,5.896947,5.597964,2.003817,-1.375954,-3.132952,-1,20.96
2019-05-03,-3.536529,0.558399,-3.583062,2.528626,2.528626,2.456957,3.513262,3.725764,0.100047,-3.019079,-5.143478,1,21.49
2019-05-06,-2.155576,2.155576,-2.530459,-0.697999,-0.697999,1.227741,4.212746,3.911278,1.26523,-1.673852,-4.17682,-1,21.34
2019-05-07,1.714286,2.761905,-0.47619,-1.593252,-1.593252,1.419048,5.647619,4.730159,3.219048,0.487619,-2.18254,-1,21.0
2019-05-08,2.66535,3.010859,-0.641658,-3.52381,-3.52381,3.701876,8.188549,7.897335,7.344521,4.671273,1.770319,-1,20.26
2019-05-09,4.082687,4.547804,-2.067183,-4.491609,-4.491609,6.914729,11.343669,12.11025,12.516796,9.775711,6.8441,-1,19.35
2019-05-10,4.623656,5.16129,-1.075269,-3.875969,-3.875969,8.11828,13.247312,15.770609,16.91129,14.146237,11.394265,-1,18.6
