date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.719424,0.093838,-0.844542,0.724638,0.724638,-0.037535,-0.390992,-0.037535,0.303409,0.50172,0.422213,1,30.739793465510278
2019-04-12,0.062775,0.345261,-0.784683,-0.344073,-0.344073,0.125549,-0.009416,0.238544,0.511613,0.833647,0.77011,0,30.634026268725602
2019-04-15,0.188206,0.313676,-0.470514,0.062775,0.062775,0.031368,0.003137,0.077373,0.316813,0.707654,0.698806,0,30.653256668140997
2019-04-16,1.564496,1.915709,-0.287356,-1.756587,-1.756587,1.385696,1.663474,1.626224,1.985951,2.36143,2.419908,-1,30.114805484509915
2019-04-17,0.707623,0.707623,-0.257317,-0.734355,-0.734355,1.717594,2.15825,2.110003,2.576391,2.937279,3.085665,-1,29.89365589123286
2019-04-18,0.226025,0.871811,-0.129157,-0.385976,-0.385976,1.465935,2.328059,2.372188,2.759122,3.126897,3.366699,0,29.778273494740485
2019-04-22,0.680934,0.680934,-0.291829,-0.419761,-0.419761,1.232166,2.33463,2.609166,2.973411,3.315175,3.679204,0,29.653275898540414
2019-04-23,0.097213,0.324044,-0.583279,0.064851,0.064851,0.505509,1.921581,2.374163,2.665262,3.007129,3.447829,0,29.67250629795581
2019-04-24,-0.193861,0.549273,-0.355412,0.29164,0.29164,-0.025848,1.285945,1.910609,2.124394,2.558966,2.983306,0,29.75904309532509
2019-04-25,0.064935,0.974026,-0.292208,-0.484653,-0.484653,0.272727,1.474026,2.170996,2.371753,2.888312,3.300866,0,29.614815099709624
2019-04-26,0.649773,1.202079,-0.032489,-0.064935,-0.064935,0.214425,1.153346,2.044618,2.306693,2.757635,3.171973,0,29.59558470029423
2019-04-29,0.686948,0.883219,-0.327118,-0.682261,-0.682261,0.726202,1.426235,2.401047,2.818122,3.251554,3.644096,-1,29.39366550643257
2019-04-30,-1.730215,0.096123,-1.986543,2.093556,2.093556,-1.115027,-0.868311,0.147389,0.64082,0.988145,1.357471,1,30.00903828772524
2019-05-01,-0.096494,1.157929,-0.128659,-0.384492,-0.384492,-0.643294,-0.559665,0.338801,0.927951,1.202959,1.640399,0,29.89365589123286
2019-05-02,0.650618,1.268705,-0.195185,-1.125764,-1.125764,0.448926,0.458686,1.264368,1.890046,2.14704,2.6491,-1,29.557123901463434
2019-05-03,-1.505445,0.064061,-1.601537,1.561483,1.561483,-0.813581,-1.005766,-0.452701,0.251441,0.529148,0.955584,1,30.018653487432935
2019-05-06,0.515963,0.515963,-0.322477,-0.672646,-0.672646,0.14189,-0.280555,0.038697,0.746533,1.115769,1.512415,-1,29.81673429357128
2019-05-07,0.096899,0.581395,-0.484496,-0.161238,-0.161238,0.142119,-0.087209,0.002153,0.752584,1.191214,1.526701,0,29.76865829503279
2019-05-08,1.712216,2.074416,-0.098782,-1.905685,-1.905685,1.613434,1.662825,1.736363,2.441554,2.979256,3.270772,-1,29.201361512278613
2019-05-09,0.462657,0.925314,-1.024455,-0.3622,-0.3622,1.665565,1.853933,1.923331,2.569399,3.138136,3.417052,0,29.095594315493937
2019-05-10,-2.416237,0.0,-2.545103,2.57766,2.57766,-1.005155,-0.621778,-0.622852,-0.157861,0.465206,0.759235,1,29.84557989269437
2019-05-13,-1.467305,0.223285,-1.5311,0.998711,0.998711,-1.767145,-1.355662,-1.497076,-1.226475,-0.630303,-0.278575,1,30.14365108363301
2019-05-14,0.611129,0.997105,-0.064329,-0.829346,-0.829346,-0.862014,-0.569315,-0.623995,-0.527501,0.092634,0.496408,-1,29.89365589123286
2019-05-15,0.815661,1.141925,-0.228385,-1.415246,-1.415246,0.743883,0.714519,0.737357,0.791191,1.353344,1.82273,-1,29.470587104094154
2019-05-16,2.104911,2.739726,-0.501169,-2.349103,-2.349103,2.946876,2.866689,2.966923,3.022051,3.549616,4.053904,-1,28.778292725139902
2019-05-17,0.369251,0.906344,-0.268546,-0.467758,-0.467758,2.591474,2.870091,3.229272,3.308157,3.743538,4.33255,0,28.643679929232132
2019-05-20,0.538902,1.448299,-0.269451,-0.335683,-0.335683,1.818794,2.771977,3.379365,3.462445,3.800606,4.407769,0,28.547527932155155
2019-05-21,-1.455989,1.025811,-1.48908,1.785113,1.785113,-0.542687,0.724686,1.347893,1.542025,1.760424,2.388043,1,29.057133516663143
2019-05-22,0.299501,0.565724,-0.898502,-0.562541,-0.562541,-0.379368,1.18802,1.690516,1.966722,2.167055,2.750971,-1,28.893675121632278
2019-05-23,-0.955204,0.065876,-1.119895,1.031614,1.031614,-1.113307,0.187747,0.568731,0.853096,1.027668,1.550285,1,29.191746312570913
2019-05-24,-1.233766,0.162338,-1.331169,1.449275,1.449275,-1.87013,-1.321429,-0.958874,-0.584416,-0.437662,-0.027056,1,29.614815099709624
2019-05-28,0.654022,0.915631,-0.457816,-0.714286,-0.714286,-0.58208,-0.863309,-0.340092,0.13244,0.244604,0.552649,-1,29.403280706140265
2019-05-29,2.579564,2.579564,0.0,-2.387181,-2.387181,1.60134,1.145729,1.849246,2.353434,2.560804,2.785036,-1,28.70137112747832
2019-05-30,0.066912,0.802944,-0.33456,0.134003,0.134003,1.358314,0.756106,1.605888,2.015724,2.2817,2.488012,0,28.73983192630911
2019-05-31,0.638441,0.907258,-0.100806,-0.434928,-0.434928,1.397849,1.139113,1.937724,2.296707,2.58871,2.786738,0,28.61483433010904
