date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.478985,0.574781,-1.137588,0.432952,0.432952,-0.411927,-1.730332,-1.987786,-2.226081,-2.922764,-3.273859,0,83.51
2019-04-12,0.512515,1.108462,-1.060787,0.46701,0.46701,-0.765197,-1.794994,-2.164482,-2.435042,-3.056973,-3.577275,0,83.9
2019-04-15,0.469258,1.239321,-0.890386,-0.941597,-0.941597,0.197329,-0.702683,-1.177556,-1.327758,-1.933823,-2.528376,-1,83.11
2019-04-16,0.542495,1.133213,-0.26522,-0.192516,-0.192516,0.450874,-0.179626,-0.927466,-0.984328,-1.570102,-2.212578,0,82.95
2019-04-17,-0.799046,0.858676,-0.799046,1.084991,1.084991,-0.460346,-0.859869,-1.74359,-1.880739,-2.395707,-3.059034,1,83.85
2019-04-18,-0.273451,0.546903,-1.129473,0.310078,0.310078,-0.625372,-0.873856,-1.82935,-2.171561,-2.463916,-3.11695,0,84.11
2019-04-22,0.39469,0.729578,-0.586054,-0.59446,-0.59446,-0.100466,-0.260734,-1.00307,-1.393972,-1.697405,-2.284017,-1,83.61
2019-04-23,-1.602829,0.624632,-1.602829,1.483076,1.483076,-1.150265,-1.50383,-2.209389,-2.690631,-2.911019,-3.479081,1,84.85
2019-04-24,0.783104,0.783104,-0.937352,-0.671774,-0.671774,-0.166113,-0.650214,-1.225281,-1.909706,-2.070717,-2.630517,-1,84.28
2019-04-25,-0.083353,0.750179,-0.809717,-0.355956,-0.355956,0.221481,-0.196475,-0.601731,-1.366397,-1.581805,-2.085417,0,83.98
2019-04-26,-1.345133,0.058997,-1.498525,0.916885,0.916885,-0.538053,-0.956932,-1.260964,-2.062537,-2.43587,-2.756735,1,84.75
2019-04-29,-1.706722,0.220597,-1.706722,1.628319,1.628319,-1.546499,-2.284918,-2.634777,-3.311274,-3.732497,-4.069043,1,86.13
2019-04-30,2.18909,2.331085,-1.171459,-1.880878,-1.880878,0.260324,-0.246125,-0.651599,-1.296888,-1.787244,-2.056956,-1,84.51
2019-05-01,-1.98169,0.405609,-2.340943,2.10626,2.10626,-1.341986,-1.916792,-2.42361,-2.980067,-3.624058,-3.850195,1,86.29
2019-05-02,2.074689,2.667457,-1.019561,-2.248233,-2.248233,1.014819,0.39834,-0.084568,-0.5246,-1.236277,-1.508793,-1,84.35
2019-05-03,-4.902837,0.290373,-6.041992,6.152934,6.152934,-3.770382,-4.814608,-5.426997,-5.849899,-6.595488,-7.007669,1,89.54
2019-05-06,1.5423,1.564981,-0.487639,-1.518874,-1.518874,-1.821275,-2.828306,-3.644817,-4.129054,-4.811522,-5.278975,-1,88.18
2019-05-07,1.122945,2.095392,-0.208382,-2.041279,-2.041279,0.65756,-0.626302,-1.38458,-1.93737,-2.61542,-3.151578,-1,86.38
2019-05-08,0.369857,1.248266,-1.375405,0.162075,0.162075,0.54785,-0.528202,-1.269071,-1.875289,-2.480814,-3.142241,0,86.52
2019-05-09,-0.243506,0.765306,-1.437848,-0.323625,-0.323625,1.312616,0.056818,-0.76376,-1.377551,-1.901206,-2.615182,0,86.24
2019-05-10,-0.197905,0.675204,-0.558789,-0.394249,-0.394249,0.866123,0.586729,-0.232053,-0.848079,-1.315017,-2.053551,0,85.9
2019-05-13,0.0,0.895065,-1.589919,-1.152503,-1.152503,1.271935,1.615829,1.033251,0.367448,-0.09516,-0.742747,-1,84.91
2019-05-14,0.354191,1.558442,-0.401417,-0.247321,-0.247321,1.126328,1.890201,1.27194,0.710153,0.231405,-0.382133,0,84.7
2019-05-15,-0.035638,0.712758,-0.3445,-0.613932,-0.613932,1.195058,2.268947,1.889602,1.405322,0.920884,0.390829,-1,84.18
2019-05-16,1.862152,2.575574,-0.556227,-1.758137,-1.758137,2.14994,3.899637,3.609835,3.150544,2.7052,2.273277,-1,82.7
2019-05-17,-0.145737,1.80957,-0.145737,-0.435308,-0.435308,1.731844,3.479475,3.867703,3.494049,3.097401,2.74836,0,82.34
2019-05-20,1.476923,2.030769,-0.467692,-1.323779,-1.323779,2.195692,4.014769,4.860718,4.737231,4.350031,4.036923,-1,81.25
2019-05-21,0.208948,0.909538,-0.454769,0.135385,0.135385,1.23648,3.257129,4.460833,4.381146,4.122911,3.827843,0,81.36
2019-05-22,3.245927,4.404277,-0.776477,-3.441495,-3.441495,3.413951,5.924134,7.528004,7.737398,7.610489,7.352766,-1,78.56
