date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.441289,0.211051,-0.729087,0.676067,0.676067,-0.613968,-0.915196,-0.68176,-0.820223,-0.914045,-1.390381,1,50.461335889318114
2019-04-12,-1.028571,0.019048,-1.657143,0.729087,0.729087,-1.009524,-1.47619,-1.321905,-1.477143,-1.509333,-1.944127,1,50.82924278950885
2019-04-15,-0.417299,0.170713,-0.644917,0.419048,0.419048,-0.963581,-1.638847,-1.648963,-1.799127,-1.820182,-2.187658,0,51.042241521198214
2019-04-16,0.419927,1.126169,-0.419927,-0.625948,-0.625948,-0.171789,-0.876121,-1.047274,-1.046956,-1.147547,-1.423936,-1,50.72274342366416
2019-04-17,0.65184,0.65184,-0.172546,-0.439015,-0.439015,0.417945,-0.3125,-0.619888,-0.516679,-0.678681,-0.859535,0,50.50006293144345
2019-04-18,0.250192,0.943033,-0.115473,-0.383436,-0.383436,0.742879,0.217475,-0.159097,-0.096228,-0.263279,-0.383628,0,50.30642772081676
2019-04-22,0.05777,0.519931,-0.250337,-0.057737,-0.057737,0.581552,0.329289,-0.069324,-0.033699,-0.20027,-0.259965,0,50.27738243922275
2019-04-23,0.231481,0.655864,-0.752315,-0.17331,-0.17331,0.416667,0.56713,0.159465,0.119599,-0.022377,-0.058513,0,50.19024659444074
2019-04-24,-0.670113,0.268045,-0.746697,0.752315,0.752315,-0.394409,-0.130193,-0.513115,-0.656711,-0.673942,-0.769673,1,50.5678352551628
2019-04-25,-0.705568,0.362319,-1.029748,0.402068,0.402068,-0.686499,-0.402365,-0.792016,-1.034516,-0.975591,-1.121917,0,50.77115222632084
2019-04-26,0.323563,0.875523,-0.114199,0.190694,0.190694,-0.654739,-0.511991,-0.810811,-1.109631,-1.090217,-1.246035,0,50.867969831634184
2019-04-29,0.344432,0.497512,-0.420972,-0.532927,-0.532927,0.003827,-0.024876,-0.201556,-0.524302,-0.53119,-0.691415,-1,50.59688053675681
2019-04-30,-1.634724,0.13153,-1.954153,1.836969,1.836969,-1.281473,-1.73431,-1.787549,-2.148628,-2.237505,-2.392584,1,51.526329547764966
2019-05-01,-0.552171,1.313785,-0.685453,-1.315295,-1.315295,0.144707,-0.399848,-0.406194,-0.760663,-0.935263,-0.994542,-1,50.84860631057152
2019-05-02,-0.28436,0.682464,-0.966825,0.437928,0.437928,-0.174408,-0.722275,-0.716588,-1.074882,-1.327773,-1.327014,0,51.07128680279222
2019-05-03,-0.6574,0.244177,-0.901578,0.92891,0.92891,-0.830203,-1.395567,-1.490108,-1.793764,-2.093914,-2.130604,1,51.54569306882764
2019-05-06,0.282965,0.73571,-0.30183,-0.432006,-0.432006,-0.116959,-0.764007,-0.998554,-1.239389,-1.568761,-1.634912,0,51.32301257660693
2019-05-07,0.283768,0.681044,-0.416194,-0.282965,-0.282965,0.030269,-0.289444,-0.699962,-0.831442,-1.17972,-1.304704,0,51.177786168636906
2019-05-08,1.226054,1.51341,-0.076628,-1.248581,-1.248581,1.172414,0.965517,0.53129,0.44636,0.112644,-0.077905,-1,50.5387899735688
2019-05-09,-0.190985,0.477464,-0.343774,0.306513,0.306513,0.714286,0.641711,0.249554,0.19576,-0.127578,-0.374968,0,50.693698142070154
2019-05-10,-2.136031,0.093686,-2.136031,1.928953,1.928953,-1.142964,-1.107364,-1.471488,-1.583286,-1.854975,-2.134158,1,51.67155595573499
2019-05-13,-1.478743,0.073937,-1.571165,1.36781,1.36781,-2.073937,-2.101664,-2.53358,-2.763401,-2.998152,-3.305607,1,52.37832447452245
2019-05-14,0.50345,0.764497,-0.223755,-0.868762,-0.868762,-0.928585,-1.167257,-1.456896,-1.826403,-1.989931,-2.320219,-1,51.92328172954971
2019-05-15,0.186428,0.652498,-0.074571,0.018646,0.018646,-0.410142,-0.976883,-1.300025,-1.728188,-1.882177,-2.214144,0,51.932963490081036
2019-05-16,-0.869404,0.406955,-0.99889,0.782998,0.782998,-0.554939,-1.503885,-1.867061,-2.315945,-2.475028,-2.816007,1,52.33959743239711
2019-05-17,-1.393534,0.334448,-1.505017,-0.443951,0.7115,-0.862729,-1.978475,-2.327125,-2.777877,-2.993227,-3.303936,1,52.71199388846448
2019-05-20,-0.16642,0.184911,-0.517751,0.483092,0.483092,-1.117204,-2.139418,-2.498435,-2.991428,-3.298191,-3.582518,0,52.96664120193532
2019-05-21,0.203817,0.870854,-0.222346,-0.203402,-0.203402,-0.561656,-1.621923,-2.131643,-2.541276,-2.963624,-3.197567,0,52.85890580008227
2019-05-22,-0.110885,0.20329,-0.406579,0.259403,0.259403,-0.417751,-1.412795,-2.114725,-2.564341,-3.043107,-3.278247,0,52.99602358425888
2019-05-23,-0.257637,0.184026,-0.533677,0.42506,0.42506,-0.507913,-1.355155,-2.259719,-2.746565,-3.248966,-3.493549,0,53.221288515406165
2019-05-24,0.091996,0.772769,-0.110396,0.018403,0.018403,-0.331187,-1.080332,-2.066624,-2.542491,-3.046997,-3.337864,0,53.23108264284735
2019-05-28,1.568335,1.699029,-0.186706,-1.453542,-1.453542,0.944735,0.393779,-0.477965,-0.92768,-1.450731,-1.80866,-1,52.457346574993636
2019-05-29,1.607109,1.758366,-0.207979,-1.250934,-1.250934,1.815088,1.641968,0.862984,0.353874,-0.077938,-0.515957,-1,51.801140036434155
2019-05-30,0.0,0.641509,-0.320755,0.207979,0.207979,1.184906,1.426373,0.829606,0.247721,-0.181985,-0.646266,0,51.908875438287204
2019-05-31,-0.747664,0.130841,-0.990654,0.943396,0.943396,-0.074766,0.48972,0.104185,-0.56252,-0.990629,-1.454031,1,52.39858181034651
2019-06-03,-1.218612,0.092319,-1.477105,1.233645,1.233645,-1.362629,-0.672083,-0.943083,-1.632953,-2.033004,-2.482833,1,53.044994221464805
2019-06-04,-0.202952,0.129151,-1.937269,0.073855,0.073855,-1.199262,-0.723247,-0.927543,-1.539665,-1.917882,-2.378554,0,53.084170731229555
2019-06-05,-1.13118,0.437876,-1.350119,1.125461,1.125461,-1.598248,-1.674877,-1.81179,-2.402255,-2.848876,-3.248223,1,53.68161250514192
2019-06-06,-0.595883,0.108342,-1.155652,1.039956,1.039956,-1.751535,-2.457566,-2.53885,-3.065604,-3.598712,-4.018376,1,54.239877769289535
2019-06-07,1.498812,2.266496,-0.018278,-1.209823,-1.209823,-0.106014,-1.195394,-1.19052,-1.608839,-2.230595,-2.667987,-1,53.583671230730054
2019-06-10,0.422173,0.569016,-0.660793,-0.420398,-0.420398,0.433186,-0.754405,-0.692609,-1.035389,-1.681949,-2.101498,0,53.35840629958277
2019-06-11,-0.329973,0.421632,-0.531622,0.128488,0.128488,0.432631,-0.700275,-0.762603,-1.064246,-1.650594,-2.050553,0,53.426965191671066
2019-06-12,-0.707162,0.0,-0.852221,1.099908,1.099908,-0.536718,-1.370807,-1.699607,-1.94702,-2.5105,-2.96263,1,54.01461283814225
2019-06-13,0.0,0.217588,-0.852221,0.0,0.0,-0.620127,-0.980961,-1.573889,-1.754327,-2.253101,-2.767251,0,54.01461283814225
2019-06-14,-0.503145,0.269542,-0.772686,0.906618,0.906618,-1.175202,-1.484277,-2.301288,-2.438455,-2.851674,-3.430906,1,54.50431921020156
2019-06-17,0.234234,0.612613,-0.684685,-0.269542,-0.269542,-0.540541,-0.976577,-1.899099,-2.023423,-2.391467,-2.997487,0,54.357407298583766
2019-06-18,0.832429,0.886717,-0.850525,-0.432432,-0.432432,0.148389,-0.354687,-1.267945,-1.491133,-1.838648,-2.403787,0,54.1223482399953
2019-06-19,-1.291712,0.484392,-1.345533,0.868621,0.868621,-0.502332,-1.045928,-1.777299,-2.18066,-2.488384,-3.035732,1,54.59246635717224
2019-06-20,-0.357015,0.374866,-1.035345,0.502332,0.502332,-0.68904,-1.426276,-1.908842,-2.499107,-2.761887,-3.257446,0,54.866701925525454
2019-06-21,-0.746401,0.088857,-1.332859,0.446269,0.446269,-0.909899,-1.586991,-2.016468,-2.760796,-2.992714,-3.420053,0,55.11155511155511
2019-06-24,0.088842,0.461976,-0.586354,0.017771,0.017771,-0.65032,-1.284648,-1.782753,-2.60661,-2.83511,-3.228595,0,55.121349238996295
2019-06-25,0.482315,0.732404,-0.178635,-0.533049,-0.533049,0.139335,-0.500179,-1.044421,-1.868524,-2.178635,-2.561089,-1,54.827525415760704
2019-06-26,1.582394,1.636959,-0.036377,-1.786352,-1.786352,1.684249,1.278647,0.77604,0.106402,-0.325937,-0.669676,-1,53.84811267164208
