date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.530835,0.078064,-1.007026,0.525779,0.525779,-0.163934,-0.590164,-1.123601,-1.632367,-2.148955,-2.80164,0,125.51809283047709
2019-04-12,-1.532538,0.06161,-1.74047,1.36612,1.36612,-1.261456,-1.622642,-2.262097,-2.719599,-3.206006,-3.867019,1,127.23282087460929
2019-04-15,1.088986,1.1201,-0.30336,-0.993454,-0.993454,-0.150902,-0.485376,-1.098838,-1.553924,-2.038044,-2.690622,-1,125.9688213449347
2019-04-16,1.100024,1.555748,-0.180718,-1.003423,-1.003423,0.763731,0.525654,-0.002619,-0.387231,-0.912211,-1.517666,-1,124.7048218152601
2019-04-17,0.054993,0.644198,-0.479221,0.015715,0.015715,0.725901,0.513787,0.080132,-0.276927,-0.804877,-1.343153,0,124.72441870719305
2019-04-18,-0.007849,0.71423,-0.102033,0.094273,0.094273,0.522722,0.449729,0.139706,-0.310415,-0.775175,-1.262075,0,124.84200005879067
2019-04-22,1.491466,1.882278,-0.167491,-1.593282,-1.593282,1.437231,1.847982,1.735524,1.276121,0.88633,0.443586,-1,122.85291552759732
2019-04-23,-0.467808,0.658103,-0.959404,0.590206,0.590206,0.455122,1.117983,1.11164,0.724707,0.371567,-0.043153,1,123.5780005291161
2019-04-24,0.055375,0.466735,-0.61704,0.22994,0.22994,0.088601,0.768927,0.835904,0.530417,0.250088,-0.183643,0,123.8621554621437
2019-04-25,-1.052301,0.463327,-1.225067,0.735701,0.735701,-0.634522,0.025915,0.104707,-0.128004,-0.379771,-0.808942,1,124.77341093702539
2019-04-26,-0.156189,0.593518,-0.28895,0.557562,0.557562,-1.085513,-0.532604,-0.39672,-0.541976,-0.864037,-1.240173,1,125.46910060064475
2019-04-29,0.874404,1.081081,-0.508744,-1.757126,-1.757126,0.750397,0.924483,1.255432,1.234499,0.900477,0.582989,-1,123.26445025818906
2019-04-30,-1.594373,0.14068,-1.781946,1.709062,1.709062,-0.656506,-0.81907,-0.437671,-0.415006,-0.704025,-0.996079,1,125.37111614098005
2019-05-01,1.228209,1.63233,0.0,-1.367722,-1.367722,0.687797,0.471474,0.853671,0.924723,0.695721,0.462055,-1,123.65638809684785
2019-05-02,-0.071446,1.127253,-0.563626,-0.18225,-0.18225,0.654124,0.550131,0.960546,1.058585,0.897357,0.695404,0,123.43102383961904
2019-05-03,-0.980777,0.109847,-1.074931,1.174883,1.174883,-0.608866,-0.614359,-0.245848,-0.098078,-0.180777,-0.432588,1,124.88119384265656
2019-05-06,0.553841,0.759554,-0.348129,-0.831699,-0.831699,0.318063,0.299074,0.40826,0.666588,0.673155,0.410897,-1,123.84255857021077
2019-05-07,0.906849,1.057991,-0.827301,-0.538017,-0.538017,0.504335,0.809005,0.800255,1.128391,1.18845,0.971813,-1,123.17626424449082
2019-05-08,0.461196,0.970102,-0.469148,0.039774,0.039774,0.394402,0.717239,0.680131,1.003499,1.101145,0.93909,0,123.22525647432317
2019-05-09,-0.950796,0.657634,-0.950796,0.357824,0.357824,0.074479,0.2686,0.26411,0.59504,0.708026,0.600322,0,123.6661865428143
2019-05-10,-2.267626,0.0,-2.639115,2.376991,2.376991,-1.976627,-1.969662,-1.970952,-1.697624,-1.562418,-1.613136,1,126.60572033275524
2019-05-13,-0.564491,0.262914,-1.299103,0.085133,0.085133,-1.606867,-1.780854,-1.851222,-1.801732,-1.612744,-1.60764,0,126.7135032383864
2019-05-14,0.309215,0.974026,-0.108225,0.030931,0.030931,-1.072975,-1.702226,-1.714595,-1.801175,-1.59462,-1.567718,0,126.75269702225229
2019-05-15,-0.300277,0.708346,-0.554358,0.401979,0.401979,-0.834617,-1.812442,-1.929987,-2.093856,-1.927318,-1.894056,0,127.26221621250869
2019-05-16,-0.833843,0.803244,-1.614137,0.646751,0.646751,-0.781824,-2.080018,-2.387801,-2.591799,-2.456854,-2.435741,1,128.08528567369214
2019-05-17,-0.651591,0.766577,-0.651591,-0.206548,-0.206548,-0.386355,-1.647374,-2.063115,-2.273668,-2.182905,-2.146161,0,127.82072763259747
2019-05-20,-0.213447,0.411648,-0.663211,0.559601,0.559601,-0.657112,-1.829547,-2.334705,-2.596432,-2.68669,-2.615998,1,128.53601418814978
2019-05-21,-0.060837,1.285171,-0.235741,0.24394,0.24394,-0.573384,-1.628137,-2.392395,-2.628897,-2.834068,-2.758935,0,128.8495644590768
2019-05-22,-0.938198,0.335071,-2.107223,2.129278,2.129278,-1.988086,-3.043187,-4.025316,-4.365227,-4.650484,-4.627203,1,131.59312932968834
2019-05-23,-1.258463,0.022078,-1.30262,1.176471,1.176471,-2.368266,-3.458934,-4.655088,-5.163011,-5.506329,-5.528898,1,133.14128379239054
2019-05-24,1.205806,1.503536,-0.02233,-1.125994,-1.125994,-0.675847,-1.976926,-3.226895,-3.84853,-4.223595,-4.297978,-1,131.64212155952066
2019-05-28,1.292261,1.397446,-0.232908,-0.930406,-0.930406,0.545455,-0.772352,-1.981968,-2.6713,-3.092111,-3.317806,-1,130.41731581371195
2019-05-29,2.003824,2.126195,-0.305927,-1.76559,-1.76559,2.237859,1.1174,0.036711,-0.814914,-1.208719,-1.524283,-1,128.11468101159156
2019-05-30,-0.250817,0.539637,-0.608041,0.627151,0.627151,1.185681,0.615642,-0.292367,-1.229004,-1.667553,-2.029085,1,128.91815358084207
2019-05-31,-0.007607,0.570559,-0.532522,-0.091206,-0.091206,0.604032,0.763028,0.06441,-0.930392,-1.45272,-1.834157,0,128.80057222924444
2019-06-03,0.106133,0.371465,-1.008263,0.349943,0.349943,-0.116746,0.522326,-0.148081,-1.106815,-1.679327,-2.06277,0,129.25130074370205
2019-06-04,-0.211816,0.128603,-1.263333,0.212266,0.212266,-0.465996,0.385808,-0.214842,-1.096906,-1.694228,-2.098495,0,129.52565723076322
2019-06-05,-1.365468,0.529772,-1.701239,1.384371,1.384371,-1.337114,-0.796896,-1.34557,-2.137368,-2.855395,-3.23882,1,131.31877284262717
2019-06-06,-0.837161,0.422285,-1.096459,0.716311,0.716311,-1.533561,-1.452067,-1.795328,-2.491851,-3.286116,-3.715365,1,132.25942365540826
2019-06-07,1.12276,1.442486,-0.089226,-0.363017,-0.363017,-0.72273,-1.196371,-1.250651,-1.828761,-2.680348,-3.18735,0,131.77929980305126
2019-06-10,-0.156611,0.410172,-0.760683,-0.29742,-0.29742,-0.101424,-0.921023,-0.775101,-1.353941,-2.191961,-2.748403,0,131.38736196439245
2019-06-11,-0.653207,0.044537,-0.838777,0.469834,0.469834,-0.192993,-1.264103,-1.063935,-1.614831,-2.402019,-2.982482,0,132.00466406028005
2019-06-12,-0.169504,0.530621,-0.479033,0.720012,0.720012,-0.660329,-1.605866,-1.565333,-2.084899,-2.805513,-3.485887,1,132.9551133190276
2019-06-13,-0.423853,0.014616,-1.008477,0.84752,0.84752,-1.223327,-2.047647,-2.26883,-2.653464,-3.298451,-4.037806,1,134.08193460517163
2019-06-14,-0.682346,0.43554,-0.94367,0.672318,0.672318,-1.408246,-2.243757,-2.830527,-3.048055,-3.608885,-4.393389,1,134.98339163408681
2019-06-17,-0.07249,0.449438,-0.405944,0.137921,0.137921,-0.984415,-1.940558,-2.790383,-2.90975,-3.48822,-4.271354,0,135.16956210744976
2019-06-18,1.413479,1.413479,-0.735883,-0.50743,-0.50743,-0.110747,-1.071767,-2.093018,-2.193443,-2.764882,-3.519369,-1,134.48367088979688
2019-06-19,-1.740256,0.496189,-2.193298,1.318761,1.318761,-0.926219,-1.99698,-2.968982,-3.194664,-3.751474,-4.455151,1,136.2571896097279
2019-06-20,-0.306442,0.299316,-1.190137,0.906084,0.906084,-1.31984,-2.496437,-3.424553,-3.849416,-4.31813,-4.967218,1,137.49179380150306
2019-06-21,-0.723199,0.581395,-1.035167,0.513113,0.513113,-1.35848,-2.529779,-3.464265,-4.157331,-4.513897,-5.101862,0,138.1972819110889
2019-06-24,0.170394,0.433085,-0.29109,-0.134714,-0.134714,-0.813632,-1.918353,-2.910898,-3.797302,-4.089741,-4.698379,0,138.011111437726
2019-06-25,0.313234,0.633587,-0.291877,-0.269791,-0.269791,-0.086851,-1.243682,-2.255286,-3.274721,-3.565744,-4.175981,0,137.63877049100012
2019-06-26,2.408583,2.408583,-0.145975,-2.463159,-2.463159,2.13707,1.346617,0.358611,-0.603606,-0.969564,-1.569958,-1,134.2485081866016
2019-06-27,0.855836,1.564114,-0.45743,-1.072914,-1.072914,2.539472,2.34986,1.474595,0.62085,0.141065,-0.363238,-1,132.80813662953057
2019-06-28,-1.535215,0.087311,-1.549767,1.4018,1.4018,0.598079,0.911671,0.214882,-0.552241,-1.197905,-1.577658,1,134.6698413631598
2019-07-01,0.607347,0.907361,-1.397629,-0.56752,-0.56752,0.559052,1.393239,0.91224,0.189156,-0.566369,-0.864432,-1,133.90556257777516
2019-07-02,-0.615051,0.094067,-0.615051,1.126884,1.126884,-0.890014,0.332127,-0.04438,-0.709841,-1.526773,-1.799807,1,135.4145232566115
2019-07-03,-0.116237,0.806393,-0.283327,-0.397974,0.30475,-0.958679,-0.004363,-0.207102,-0.845546,-1.598831,-1.926925,0,135.82719898956012
2019-07-05,-1.315219,0.086718,-1.690996,0.530331,0.530331,-0.933448,-0.601025,-0.613164,-1.2116,-1.894436,-2.323348,0,136.54753211896352
2019-07-08,0.194918,0.563096,-0.620849,0.101171,0.101171,-0.738614,-0.812076,-0.630586,-1.131967,-1.762838,-2.335632,0,136.68567819857515
2019-07-09,-0.481841,0.208558,-1.078749,0.382616,0.382616,-0.635486,-1.248623,-0.910265,-1.296677,-1.905298,-2.572654,0,137.20865978567625
2019-07-10,-0.150365,0.673063,-0.508377,0.438691,0.438691,-0.721753,-1.667477,-1.182123,-1.51714,-2.093279,-2.819366,0,137.81058198969825
2019-07-11,-0.527103,0.014246,-0.96873,0.522698,0.522698,-0.847639,-1.869656,-1.586535,-1.827984,-2.394128,-3.07405,0,138.53091511910165
2019-07-12,0.550432,0.793481,-0.436057,-0.356151,-0.356151,-0.277361,-1.140076,-1.208425,-1.333814,-1.877825,-2.507399,0,138.03753626334588
2019-07-15,-0.235731,0.250018,-0.585756,0.071485,0.071485,-0.138581,-0.959757,-1.281943,-1.290175,-1.763841,-2.351765,0,138.13621203449705
2019-07-16,0.423668,0.53138,-0.998133,-0.521466,-0.521466,0.415051,-0.185137,-0.793341,-0.691004,-1.073405,-1.641843,-1,137.41587890509365
