date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.869565,0.15528,-0.993789,1.003764,1.003764,-0.900468,-1.913335,-2.892858,-3.676061,-4.433309,-5.028823,1,30.87573953149421
2019-04-12,0.310559,0.372671,-0.745342,0.0,0.0,-0.677138,-1.499059,-2.557579,-3.363467,-4.096425,-4.835711,0,30.87573953149421
2019-04-15,0.593379,0.718301,-0.249844,-0.559006,-0.559006,-0.03123,-0.766305,-1.648643,-2.553964,-3.272981,-4.039219,-1,30.703142229765362
2019-04-16,-0.403101,0.0,-0.96124,0.718301,0.718301,-0.434109,-1.127283,-2.070076,-2.930593,-3.702046,-4.437104,1,30.92368322641889
2019-04-17,0.406886,0.782473,0.0,-0.930233,-0.930233,0.544601,-0.016741,-0.932581,-1.718583,-2.52905,-3.267545,-1,30.636021056870806
2019-04-18,-0.249766,0.218545,-0.561973,0.250391,0.250391,0.187324,-0.093585,-0.86605,-1.736264,-2.49439,-3.240518,0,30.712730968750297
2019-04-22,-0.187032,0.311721,-0.498753,0.156104,0.156104,-0.043641,-0.174623,-0.768281,-1.655721,-2.410316,-3.12201,0,30.760674663674976
2019-04-23,-0.124611,0.560748,-0.685358,0.062344,0.062344,-0.056075,-0.168224,-0.694436,-1.434335,-2.248671,-2.937717,0,30.779852141644852
2019-04-24,0.909386,2.598246,-0.876908,-4.080997,-4.080997,3.247808,3.767457,3.456644,2.742126,1.987356,1.261476,-1,29.523727334618222
2019-04-25,0.988794,1.021753,-0.955834,-1.461513,-1.461513,3.717864,4.798945,4.765219,4.172809,3.540969,2.82237,-1,29.092234080296098
2019-04-26,-0.684485,0.912647,-1.303781,1.120633,1.120633,1.688396,3.142112,3.43117,3.044176,2.407757,1.778158,1,29.418251205783925
2019-04-29,0.09715,1.392487,-0.194301,0.65189,0.65189,0.252591,2.046632,2.553931,2.379053,1.783276,1.19379,1,29.610025985482647
2019-04-30,-0.064599,0.581395,-0.645995,0.259067,0.259067,-0.742894,1.440568,2.09087,2.0359,1.607438,1.001767,0,29.686735897362137
