date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-0.255529,0.211472,-0.537492,0.362575,0.362575,0.058155,0.092519,-1.436837,-1.922196,-2.284607,-2.46659,0,110.60433295324971
2019-04-12,-0.454307,0.36694,-0.873668,0.854701,0.854701,-0.76708,-0.518085,-1.858,-2.537568,-2.840818,-3.22529,1,111.54966913233731
2019-04-15,0.95037,1.117564,-0.369588,-0.716407,-0.716407,-0.109117,0.130236,-0.754429,-1.704505,-1.970433,-2.434295,-1,110.75051896032512
2019-04-16,-0.219414,0.184308,-0.48271,0.263992,0.263992,-0.191329,-0.110585,-0.692177,-1.805775,-2.055468,-2.575039,0,111.04289097447592
2019-04-17,-0.061141,0.200891,-0.593938,0.48271,0.48271,-0.424491,-0.578216,-0.8484,-1.990567,-2.399161,-2.878854,0,111.5789063337524
2019-04-18,0.332895,0.499343,-0.070083,-0.296969,-0.296969,-0.012265,-0.266316,-0.328223,-1.508103,-1.993868,-2.376697,0,111.2475513843815
2019-04-22,-0.035205,0.21123,-0.668896,-0.464301,-0.464301,0.306284,0.13642,0.247022,-0.772751,-1.39236,-1.717714,0,110.73102749271507
2019-04-23,-0.228873,0.396127,-0.68662,-0.017603,-0.017603,0.316901,0.121479,0.215962,-0.460387,-1.272535,-1.560446,0,110.711536025105
2019-04-24,-0.725334,0.480643,-0.856419,0.730634,0.730634,-0.32509,-0.471904,-0.467243,-0.919339,-1.846019,-2.116578,1,111.52043193092226
2019-04-25,4.242367,4.518216,-0.884619,-8.127239,-8.127239,6.71169,7.576334,7.752941,7.662418,6.730714,6.360696,-1,102.45689949224727
2019-04-26,0.923521,1.029341,-0.721501,-1.12242,-1.12242,5.960558,7.87975,8.333494,8.579125,7.717172,7.345839,-1,101.30690290325411
2019-04-29,-0.791683,0.123998,-1.735979,0.856181,0.856181,3.386112,6.046356,6.810378,7.32831,6.706982,6.285769,1,102.1742732119015
2019-04-30,-1.449821,0.188288,-2.739597,1.316291,1.316291,0.653361,3.970062,4.936296,5.547449,5.295048,4.764639,1,103.51918447699519
2019-05-01,1.37641,1.79698,-0.344102,-1.506308,-1.506308,0.317339,4.669279,6.012872,6.728637,6.760466,6.184286,-1,101.9598670681909
2019-05-02,-0.843522,0.492844,-1.336366,0.850698,0.850698,-0.456829,2.935267,4.640318,5.40944,5.728367,5.21246,1,102.8272373768383
2019-05-03,-0.4782,0.281294,-1.24707,1.080466,1.080466,-1.014534,1.131739,3.094233,3.939522,4.461322,3.989373,1,103.93825103061135
2019-05-06,-0.066909,1.213917,-0.583063,-1.903422,-1.903422,0.86408,2.233799,4.467597,5.492258,6.21602,5.920155,-1,101.9598670681909
2019-05-07,1.753355,1.94926,-0.969733,-2.418276,-2.418276,2.554609,3.639926,6.302282,7.524733,8.364776,8.388024,-1,99.49419641551911
2019-05-08,0.382916,1.266568,-0.098184,-0.235087,-0.235087,2.252332,2.648994,5.761414,7.23515,8.155523,8.428735,0,99.26029880419846
2019-05-09,0.327543,0.327543,-0.972705,-1.08002,-1.08002,2.423821,3.334988,6.006948,7.794045,8.796427,9.340281,-1,98.18826808564552
2019-05-10,-0.417371,0.367684,-2.186227,-0.119107,-0.119107,1.349498,3.128292,5.237669,7.283613,8.395906,9.150353,0,98.07131927998519
2019-05-13,-0.734776,0.130851,-1.489683,-1.271986,-1.271986,1.594363,3.904378,5.635967,7.905385,9.189331,10.140916,-1,96.82386535294175
2019-05-14,-0.110265,1.172815,-0.200481,0.412682,0.412682,0.709703,2.829791,4.276931,6.766239,8.17081,9.198075,0,97.22344043894786
2019-05-15,-2.097695,0.462872,-2.629506,1.784282,1.784282,-1.116801,0.723853,1.602652,4.284026,5.826669,6.8853,1,98.95818105624264
2019-05-16,0.28625,1.56944,-0.325733,-0.226512,-0.226512,-0.781759,0.537953,1.581943,3.870299,5.602211,6.698911,0,98.73402917872701
2019-05-17,0.140845,1.257545,-0.402414,-1.885303,-0.946013,0.110337,0.870505,2.313046,4.174807,6.087068,7.265581,-1,97.79999212877328
2019-05-20,0.081202,0.324807,-0.649614,-0.885312,-0.885312,1.027298,1.253034,2.866537,4.393655,6.431548,7.725462,-1,96.93415718839782
2019-05-21,-0.060356,0.342018,-0.875163,0.90337,0.90337,0.242723,0.174325,1.556444,2.799507,4.949467,6.30904,1,97.80983116218663
2019-05-22,1.251282,1.353846,-0.061538,-1.921336,-1.921336,1.575245,1.789617,3.126905,4.000764,6.375264,7.901373,-1,95.93057578023536
2019-05-23,0.779869,0.863055,-1.060622,-1.364103,-1.364103,2.110845,2.820437,3.975009,5.02505,7.129572,8.844666,-1,94.62198433625882
2019-05-24,0.584246,1.011998,-0.532081,-0.332744,-0.332744,1.711007,2.764567,3.641302,5.004566,6.768708,8.632017,0,94.30713526703137
2019-05-28,1.924099,1.998512,0.0,-1.857068,-1.857068,2.689487,4.247951,4.925048,6.471866,8.003512,10.003509,-1,92.55578731945374
2019-05-29,-0.854701,0.369315,-1.825472,0.744127,0.744127,0.951778,3.051225,3.703209,5.134479,6.456465,8.56518,1,93.24451965838877
