date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,0.791841,0.912201,-0.266059,-0.441473,-0.441473,0.001267,-0.124161,-0.885595,-1.131066,-1.737996,-2.488914,0,157.1277845241176
2019-04-12,-0.582561,0.0,-1.115009,1.127581,1.127581,-0.864445,-1.021674,-1.716362,-2.102543,-2.525683,-3.363819,1,158.8995281985945
2019-04-15,-0.380204,0.024931,-0.779107,0.501128,0.501128,-1.023436,-1.317003,-1.898529,-2.419908,-2.768138,-3.586387,0,159.69581749049428
2019-04-16,0.505523,0.542969,-0.42439,-0.13089,-0.13089,-0.551707,-1.034763,-1.564834,-2.116021,-2.428509,-3.20456,0,159.48679155137057
2019-04-17,0.268013,0.39267,-0.081027,0.131062,0.131062,-0.447519,-1.040888,-1.43522,-2.035652,-2.357517,-3.068852,0,159.69581749049428
2019-04-18,0.480769,0.586913,-0.724276,-0.17452,-0.17452,0.013736,-0.710539,-1.034382,-1.728272,-2.037962,-2.621961,0,159.41711623832936
2019-04-22,-0.74813,0.049875,-0.829177,0.14985,0.14985,-0.041147,-0.687656,-1.007481,-1.64682,-2.061347,-2.496467,0,159.6560030258993
2019-04-23,-0.408264,0.136088,-1.107262,0.785536,0.785536,-0.669306,-1.219844,-1.597592,-2.14648,-2.658914,-3.029816,1,160.9101586606414
2019-04-24,0.161001,0.334386,-0.520156,-0.105159,-0.105159,-0.408694,-0.868165,-1.340847,-1.851817,-2.385535,-2.726278,0,160.74094718611272
2019-04-25,-0.31052,0.360204,-1.533971,-0.29104,-0.29104,-0.045957,-0.426034,-0.94688,-1.35418,-1.92001,-2.26535,0,160.27312722712162
2019-04-26,-1.02498,0.061376,-1.552814,1.186188,1.186188,-0.877678,-1.282146,-1.89161,-2.257104,-2.89474,-3.232472,1,162.17426791153224
2019-04-29,-0.572647,0.21322,-0.639659,0.748788,0.748788,-1.157478,-1.74109,-2.356787,-2.74109,-3.346451,-3.775206,1,163.38860908167936
2019-04-30,0.334489,0.772365,-0.310162,0.170576,0.170576,-0.988871,-1.665754,-2.252225,-2.688682,-3.233716,-3.747086,0,163.66731033384428
2019-05-01,1.689293,1.812151,-0.024572,-0.997385,-0.997385,0.168315,-0.517845,-1.050433,-1.554457,-2.07482,-2.609497,-1,162.03491728544978
