date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,0.481776,1.089233,-0.754085,-0.104624,-0.104624,1.101801,1.529116,1.656193,2.850859,3.183913,3.40944,0,46.31309358659695
2019-04-12,2.71026,5.011831,-0.92493,-2.618349,-2.618349,2.835018,3.865347,4.128486,5.167778,5.673478,5.936044,-1,45.10045498200444
2019-04-15,-1.92431,0.620056,-2.373316,0.60228,0.60228,1.317084,2.807355,3.318366,4.007911,4.785119,5.063787,1,45.37208602943317
2019-04-16,-1.61595,0.4617,-1.636936,1.881548,1.881548,-0.759706,0.791186,1.220007,1.69255,2.682057,2.966772,1,46.22578360706628
2019-04-17,0.86225,0.86225,-1.324921,-0.209864,-0.209864,-0.651945,0.727655,1.26183,1.60673,2.698633,3.024185,0,46.12877251869888
2019-04-18,-0.294241,0.6095,-0.966793,0.063091,0.063091,-0.781841,0.329971,0.986409,1.303069,2.401009,2.812106,0,46.157875845209105
2019-04-22,0.317393,0.507829,-0.338553,-0.672551,-0.672551,0.215827,0.687685,1.520666,1.877909,2.806602,3.329101,-1,45.847440362433424
2019-04-23,-0.31679,0.190074,-0.844773,0.190436,0.190436,0.270327,0.173178,1.12214,1.607181,2.241183,2.963041,0,45.93475034196409
2019-04-24,-0.884583,0.442291,-0.947767,0.274551,0.274551,-0.075821,-0.240101,0.742769,1.16786,1.63016,2.528784,0,46.0608647568417
2019-04-25,-0.715639,0.947169,-1.262892,0.063184,0.063184,-0.155757,-0.362029,0.489721,0.971374,1.322669,2.294955,0,46.08996808335193
2019-04-26,-0.917431,0.041701,-1.16764,0.947169,0.947169,-0.934112,-1.251043,-0.621351,-0.093828,0.213511,1.16903,1,46.52651798100523
2019-04-29,-0.621504,1.077274,-0.642221,0.646372,0.646372,-1.151854,-1.51647,-1.330019,-0.740626,-0.433395,0.354257,1,46.82725235494417
2019-04-30,-0.123941,0.309853,-0.619707,0.290035,0.290035,-0.999793,-1.462508,-1.680094,-1.068994,-0.694071,-0.164567,0,46.96306787865853
2019-05-01,0.186606,1.285507,-0.497616,-0.371824,-0.371824,-0.319303,-0.974497,-1.300712,-0.697699,-0.38814,-0.011749,0,46.7884479195972
2019-05-02,0.10352,0.393375,-0.931677,0.145138,0.145138,-0.136646,-0.962733,-1.373361,-0.899586,-0.571429,-0.301587,0,46.85635568145439
2019-05-03,-0.267215,0.24666,-0.61665,0.724638,0.724638,-0.571429,-1.455293,-1.958205,-1.665982,-1.322919,-1.101747,1,47.19589449074029
2019-05-06,-0.908528,0.619451,-1.13566,-0.45221,-0.45221,-0.053686,-0.766054,-1.245784,-1.25542,-0.865579,-0.644229,0,46.98247009633201
2019-05-07,1.865593,2.098792,-0.551198,-2.601693,-2.601693,2.090312,1.846513,1.448661,1.200975,1.643417,1.945446,-1,45.760130382902766
2019-05-08,0.12766,0.659574,-0.404255,-0.360399,-0.360399,1.93617,2.112766,1.723404,1.445745,1.908085,2.171631,0,45.595211532678185
2019-05-09,-1.583226,0.192555,-2.053915,-0.553191,0.408217,1.052111,1.630206,1.259247,0.969937,1.352379,1.644776,0,45.781338766235045
2019-05-10,-1.569459,0.466596,-2.205726,0.877193,0.877193,-0.265279,0.672067,0.382349,0.077845,0.339626,0.656987,1,46.18292945716693
2019-05-13,-0.107921,1.424563,-0.15109,-1.73913,-1.73913,0.793578,2.134898,2.09032,1.879907,1.944348,2.328638,-1,45.379748075303155
2019-05-14,-0.23661,0.94644,-1.09701,0.345349,0.345349,0.348451,1.470103,1.680656,1.547327,1.42813,1.843629,0,45.5364663937156
2019-05-15,0.39267,1.112565,-0.763525,-1.39815,-1.39815,1.461606,2.488288,2.950069,2.839583,2.70588,3.148975,-1,44.89979822516505
2019-05-16,0.196078,1.372549,-0.305011,0.13089,0.13089,0.962963,1.932197,2.647724,2.575009,2.446795,2.833155,0,44.95856759456971
2019-05-17,-0.568928,1.159737,-0.634573,-0.43573,-0.43573,0.770241,1.834706,2.834252,2.86807,2.756593,3.064431,0,44.76266969655416
2019-05-20,0.374037,1.012101,-0.330033,-0.547046,-0.547046,0.937294,1.841215,3.05405,3.284563,3.269458,3.421373,-1,44.51779732403472
