date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-1.09127,0.029762,-1.319444,1.204819,1.204819,-1.359127,-2.30754,-2.523148,-2.30754,-2.418084,-2.57034,1,99.33089604745808
2019-04-12,-0.551398,0.452934,-0.551398,0.753968,0.753968,-1.559669,-2.641788,-3.037285,-2.884009,-2.971384,-3.163089,1,100.07981947003813
2019-04-15,-1.103192,0.468613,-1.142243,0.856636,0.856636,-1.770966,-3.018647,-3.583586,-3.57366,-3.620674,-3.819498,1,100.93713970378107
2019-04-16,-0.038861,0.446906,-0.378898,0.488138,0.488138,-1.424269,-2.907801,-3.75336,-3.892451,-3.891187,-4.121023,0,101.42985248179426
2019-04-17,-0.155099,0.232648,-0.727026,0.223453,0.223453,-0.953858,-2.54556,-3.58343,-3.88765,-3.924777,-4.159468,0,101.65650035968032
2019-04-18,-0.067843,0.600892,-0.281062,0.019387,0.019387,-0.511727,-2.073076,-3.211217,-3.706629,-3.751115,-3.976084,0,101.67620887080085
2019-04-22,0.400508,1.142913,-0.19537,-0.785036,-0.785036,0.433721,-0.952427,-2.130181,-2.744945,-2.835206,-3.043647,-1,100.87801417041949
2019-04-23,-0.523916,0.213447,-1.096342,0.683794,0.683794,-0.124187,-1.252547,-2.455289,-3.16775,-3.362763,-3.536639,1,101.56781205963794
2019-04-24,-0.376702,0.309089,-0.424998,0.446299,0.446299,-0.452043,-1.2238,-2.464342,-3.346373,-3.649957,-3.782156,0,102.02110781541008
2019-04-25,-0.270479,0.608578,-0.666538,-0.009659,-0.009659,-0.372875,-0.835587,-2.047269,-3.032264,-3.452087,-3.611218,0,102.0112535598498
2019-04-26,-1.063725,0.797794,-1.84182,-1.922334,-1.922334,1.254802,1.179947,0.09718,-0.915,-1.462425,-1.613316,-1,100.05025670335733
2019-04-29,0.315085,0.433241,-0.768019,0.029548,0.029548,1.06538,1.150059,0.246816,-0.745865,-1.362347,-1.53932,0,100.07981947003813
2019-04-30,-1.040451,0.077791,-1.351614,1.260339,1.260339,-0.237262,-0.069039,-0.766887,-1.737165,-2.408401,-2.66174,1,101.34116418175188
2019-05-01,1.391081,1.430545,-0.078927,-1.439129,-1.439129,0.791239,1.235201,0.857669,-0.084353,-0.863457,-1.190805,-1,99.88273435883285
2019-05-02,0.276817,0.899654,-0.899654,-0.207182,-0.207182,0.531883,1.246663,1.169221,0.318833,-0.501829,-0.902949,0,99.67579499206732
2019-05-03,0.23511,0.656348,-0.274295,0.919427,0.919427,-0.276254,0.216497,0.331113,-0.400666,-1.214342,-1.707158,1,100.59224075917184
2019-05-06,-1.668944,0.087839,-1.873902,0.372257,0.372257,-0.470427,-0.146399,0.017568,-0.592914,-1.388249,-1.935715,0,100.96670247046185
